"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","15_19","PC_AGE","A","2013",86.3,
"AUS","ENROLMENT","15_19","PC_AGE","A","2014",86.8,
"AUS","ENROLMENT","20_29","PC_AGE","A","2013",34,
"AUS","ENROLMENT","20_29","PC_AGE","A","2014",34.7,
"AUT","ENROLMENT","15_19","PC_AGE","A","2013",79.2,
"AUT","ENROLMENT","15_19","PC_AGE","A","2014",79.6,
"AUT","ENROLMENT","20_29","PC_AGE","A","2013",26.6,
"AUT","ENROLMENT","20_29","PC_AGE","A","2014",26.2,
"BEL","ENROLMENT","15_19","PC_AGE","A","2013",91.8,
"BEL","ENROLMENT","15_19","PC_AGE","A","2014",92.4,
"BEL","ENROLMENT","20_29","PC_AGE","A","2013",34.2,
"BEL","ENROLMENT","20_29","PC_AGE","A","2014",29.7,
"CAN","ENROLMENT","15_19","PC_AGE","A","2013",73.1,
"CAN","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"CZE","ENROLMENT","15_19","PC_AGE","A","2013",89.9,
"CZE","ENROLMENT","15_19","PC_AGE","A","2014",90.4,
"CZE","ENROLMENT","20_29","PC_AGE","A","2013",26,
"CZE","ENROLMENT","20_29","PC_AGE","A","2014",26.2,
"DNK","ENROLMENT","15_19","PC_AGE","A","2013",87.5,
"DNK","ENROLMENT","15_19","PC_AGE","A","2014",87,
"DNK","ENROLMENT","20_29","PC_AGE","A","2013",44.9,
"DNK","ENROLMENT","20_29","PC_AGE","A","2014",45.1,
"FIN","ENROLMENT","15_19","PC_AGE","A","2013",86.1,
"FIN","ENROLMENT","15_19","PC_AGE","A","2014",86,
"FIN","ENROLMENT","20_29","PC_AGE","A","2013",41.3,
"FIN","ENROLMENT","20_29","PC_AGE","A","2014",41.2,
"FRA","ENROLMENT","15_19","PC_AGE","A","2013",84.9,
"FRA","ENROLMENT","15_19","PC_AGE","A","2014",85.1,
"FRA","ENROLMENT","20_29","PC_AGE","A","2013",21,
"FRA","ENROLMENT","20_29","PC_AGE","A","2014",21.2,
"DEU","ENROLMENT","15_19","PC_AGE","A","2013",89.2,
"DEU","ENROLMENT","15_19","PC_AGE","A","2014",89.7,
"DEU","ENROLMENT","20_29","PC_AGE","A","2013",33.5,
"DEU","ENROLMENT","20_29","PC_AGE","A","2014",34.7,
"GRC","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","15_19","PC_AGE","A","2014",83.3,
"GRC","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","20_29","PC_AGE","A","2014",28.1,
"HUN","ENROLMENT","15_19","PC_AGE","A","2013",87.4,
"HUN","ENROLMENT","15_19","PC_AGE","A","2014",86.4,
"HUN","ENROLMENT","20_29","PC_AGE","A","2013",27.3,
"HUN","ENROLMENT","20_29","PC_AGE","A","2014",25.2,
"ISL","ENROLMENT","15_19","PC_AGE","A","2013",88,
"ISL","ENROLMENT","15_19","PC_AGE","A","2014",,"M"
"ISL","ENROLMENT","20_29","PC_AGE","A","2013",40.4,
"ISL","ENROLMENT","20_29","PC_AGE","A","2014",,"M"
"IRL","ENROLMENT","15_19","PC_AGE","A","2013",96.7,
"IRL","ENROLMENT","15_19","PC_AGE","A","2014",94.8,
"IRL","ENROLMENT","20_29","PC_AGE","A","2013",22.1,
"IRL","ENROLMENT","20_29","PC_AGE","A","2014",26.3,
"ITA","ENROLMENT","15_19","PC_AGE","A","2013",77.7,
"ITA","ENROLMENT","15_19","PC_AGE","A","2014",77.4,
"ITA","ENROLMENT","20_29","PC_AGE","A","2013",25.2,
"ITA","ENROLMENT","20_29","PC_AGE","A","2014",24.5,
"KOR","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"KOR","ENROLMENT","15_19","PC_AGE","A","2014",87.2,
"KOR","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"KOR","ENROLMENT","20_29","PC_AGE","A","2014",,"M"
"LUX","ENROLMENT","15_19","PC_AGE","A","2013",77.7,
"LUX","ENROLMENT","15_19","PC_AGE","A","2014",76.3,
"LUX","ENROLMENT","20_29","PC_AGE","A","2013",12.8,
"LUX","ENROLMENT","20_29","PC_AGE","A","2014",12.9,
"MEX","ENROLMENT","15_19","PC_AGE","A","2013",54,
"MEX","ENROLMENT","15_19","PC_AGE","A","2014",55.6,
"MEX","ENROLMENT","20_29","PC_AGE","A","2013",14,
"MEX","ENROLMENT","20_29","PC_AGE","A","2014",14.7,
"NLD","ENROLMENT","15_19","PC_AGE","A","2013",91.3,
"NLD","ENROLMENT","15_19","PC_AGE","A","2014",92.1,
"NLD","ENROLMENT","20_29","PC_AGE","A","2013",31.3,
"NLD","ENROLMENT","20_29","PC_AGE","A","2014",32,
"NZL","ENROLMENT","15_19","PC_AGE","A","2013",83.7,
"NZL","ENROLMENT","15_19","PC_AGE","A","2014",82.2,
"NZL","ENROLMENT","20_29","PC_AGE","A","2013",27.5,
"NZL","ENROLMENT","20_29","PC_AGE","A","2014",29.3,
"NOR","ENROLMENT","15_19","PC_AGE","A","2013",86.9,
"NOR","ENROLMENT","15_19","PC_AGE","A","2014",87,
"NOR","ENROLMENT","20_29","PC_AGE","A","2013",30.3,
"NOR","ENROLMENT","20_29","PC_AGE","A","2014",30.8,
"POL","ENROLMENT","15_19","PC_AGE","A","2013",90.1,
"POL","ENROLMENT","15_19","PC_AGE","A","2014",89.3,
"POL","ENROLMENT","20_29","PC_AGE","A","2013",33,
"POL","ENROLMENT","20_29","PC_AGE","A","2014",31,
"PRT","ENROLMENT","15_19","PC_AGE","A","2013",88.4,
"PRT","ENROLMENT","15_19","PC_AGE","A","2014",89.2,
"PRT","ENROLMENT","20_29","PC_AGE","A","2013",24.2,
"PRT","ENROLMENT","20_29","PC_AGE","A","2014",24.2,
"SVK","ENROLMENT","15_19","PC_AGE","A","2013",84.6,
"SVK","ENROLMENT","15_19","PC_AGE","A","2014",84.7,
"SVK","ENROLMENT","20_29","PC_AGE","A","2013",20.8,
"SVK","ENROLMENT","20_29","PC_AGE","A","2014",20.5,
"ESP","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"ESP","ENROLMENT","15_19","PC_AGE","A","2014",87.2,
"ESP","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"ESP","ENROLMENT","20_29","PC_AGE","A","2014",30.6,
"SWE","ENROLMENT","15_19","PC_AGE","A","2013",85.9,
"SWE","ENROLMENT","15_19","PC_AGE","A","2014",85.3,
"SWE","ENROLMENT","20_29","PC_AGE","A","2013",34.9,
"SWE","ENROLMENT","20_29","PC_AGE","A","2014",34.5,
"CHE","ENROLMENT","15_19","PC_AGE","A","2013",85.7,
"CHE","ENROLMENT","15_19","PC_AGE","A","2014",85.5,
"CHE","ENROLMENT","20_29","PC_AGE","A","2013",26.3,
"CHE","ENROLMENT","20_29","PC_AGE","A","2014",26.7,
"TUR","ENROLMENT","15_19","PC_AGE","A","2013",69.1,
"TUR","ENROLMENT","15_19","PC_AGE","A","2014",72.2,
"TUR","ENROLMENT","20_29","PC_AGE","A","2013",30.9,
"TUR","ENROLMENT","20_29","PC_AGE","A","2014",33.8,
"GBR","ENROLMENT","15_19","PC_AGE","A","2013",81.4,
"GBR","ENROLMENT","15_19","PC_AGE","A","2014",84.6,
"GBR","ENROLMENT","20_29","PC_AGE","A","2013",21,
"GBR","ENROLMENT","20_29","PC_AGE","A","2014",21.8,
"USA","ENROLMENT","15_19","PC_AGE","A","2013",80.8,
"USA","ENROLMENT","15_19","PC_AGE","A","2014",81.6,
