"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","1991",35.7075386,
"AUS","EDUTRY","25_34","PC_AGE","A","1993",22.83651733,
"AUS","EDUTRY","25_34","PC_AGE","A","1994",23.6249485,
"AUS","EDUTRY","25_34","PC_AGE","A","1995",24.69714165,
"AUS","EDUTRY","25_34","PC_AGE","A","1997",25.70216751,
"AUS","EDUTRY","25_34","PC_AGE","A","1998",28.13957787,
"AUS","EDUTRY","25_34","PC_AGE","A","1999",28.98158646,
"AUS","EDUTRY","25_34","PC_AGE","A","2000",31.37251663,
"AUS","EDUTRY","25_34","PC_AGE","A","2001",33.51193237,
"AUS","EDUTRY","25_34","PC_AGE","A","2002",35.79733658,
"AUS","EDUTRY","25_34","PC_AGE","A","2003",36.32281494,
"AUS","EDUTRY","25_34","PC_AGE","A","2004",36.16824722,
"AUS","EDUTRY","25_34","PC_AGE","A","2005",38.09831238,
"AUS","EDUTRY","25_34","PC_AGE","A","2006",38.80412292,
"AUS","EDUTRY","25_34","PC_AGE","A","2007",40.72885513,
"AUS","EDUTRY","25_34","PC_AGE","A","2008",41.99682999,
"AUS","EDUTRY","25_34","PC_AGE","A","2009",44.77848816,
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.37483597,
"AUS","EDUTRY","25_34","PC_AGE","A","2011",44.61552811,
"AUS","EDUTRY","25_34","PC_AGE","A","2012",47.2310791,
"AUS","EDUTRY","25_34","PC_AGE","A","2013",45.74518204,
"AUS","EDUTRY","25_34","PC_AGE","A","2014",48.13138962,
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.46627426,
"AUT","EDUTRY","25_34","PC_AGE","A","2004",30.47341347,
"AUT","EDUTRY","25_34","PC_AGE","A","2005",30.57097054,
"AUT","EDUTRY","25_34","PC_AGE","A","2006",31.51883316,
"AUT","EDUTRY","25_34","PC_AGE","A","2007",31.06587219,
"AUT","EDUTRY","25_34","PC_AGE","A","2008",32.6807251,
"AUT","EDUTRY","25_34","PC_AGE","A","2009",33.40867615,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",33.8637886,
