"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2012",16036.7,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2013",16695,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2012",9721.1,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2013",9956.9,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2013",10432,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15370.6,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2013",16194.2,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2012",8933.1,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2013",9979.8,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2012",10444.2,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2013",10663.8,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2012",10006.8,
"GBR","EDUEXP","PRY","USD_STUDENT","A","2013",10669.4,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2013",7879.7,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2014",7642,
"CHN","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"SAU","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"AUS","EDUEXP","TRY","USD_STUDENT","A","2012",16661.9,
"AUS","EDUEXP","TRY","USD_STUDENT","A","2013",18336.9,
"CAN","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"FIN","EDUEXP","TRY","USD_STUDENT","A","2012",17964.8,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2013",17868.4,
"POL","EDUEXP","PRY","USD_STUDENT","A","2012",6519.7,
"POL","EDUEXP","PRY","USD_STUDENT","A","2013",6919.1,
"ESP","EDUEXP","PRY","USD_STUDENT","A","2012",7077.7,
"ESP","EDUEXP","PRY","USD_STUDENT","A","2013",6955.6,
"CHE","EDUEXP","TRY","USD_STUDENT","A","2012",24668.8,
"CHE","EDUEXP","TRY","USD_STUDENT","A","2013",25125.5,
"TUR","EDUEXP","PRY","USD_STUDENT","A","2012",2639.8,
"TUR","EDUEXP","PRY","USD_STUDENT","A","2013",2893.7,
"USA","EDUEXP","TRY","USD_STUDENT","A","2012",26561.9,
"USA","EDUEXP","TRY","USD_STUDENT","A","2013",27923.7,
"ARG","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"CHL","EDUEXP","PRY","USD_STUDENT","A","2012",4515.9,
"CHL","EDUEXP","PRY","USD_STUDENT","A","2013",4306.5,
"CHL","EDUEXP","PRY","USD_STUDENT","A","2014",4021.4,
"GRC","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"IRL","EDUEXP","PRY","USD_STUDENT","A","2012",8683.5,
"IRL","EDUEXP","PRY","USD_STUDENT","A","2013",8042,
"KOR","EDUEXP","PRY","USD_STUDENT","A","2012",7441.9,
"KOR","EDUEXP","PRY","USD_STUDENT","A","2013",7957.5,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2012",8188,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2013",7567.6,
"NLD","EDUEXP","PRY","USD_STUDENT","A","2012",8197.4,
"NLD","EDUEXP","PRY","USD_STUDENT","A","2013",8371.4,
"NOR","EDUEXP","TRY","USD_STUDENT","A","2012",19725.8,
"NOR","EDUEXP","TRY","USD_STUDENT","A","2013",20378.5,
"SVK","EDUEXP","TRY","USD_STUDENT","A","2012",9123.5,
"SVK","EDUEXP","TRY","USD_STUDENT","A","2013",10320.7,
"BRA","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"BRA","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"IND","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"ISR","EDUEXP","TRY","USD_STUDENT","A","2012",12495.5,
"ISR","EDUEXP","TRY","USD_STUDENT","A","2013",15184.7,
"RUS","EDUEXP","TRY","USD_STUDENT","A","2012",8173.6,
"RUS","EDUEXP","TRY","USD_STUDENT","A","2013",8483,
"AUS","EDUEXP","PRY","USD_STUDENT","A","2012",7614.8,
"AUS","EDUEXP","PRY","USD_STUDENT","A","2013",8289.2,
"CAN","EDUEXP","PRY","USD_STUDENT","A","2012",9129.7,
"CAN","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"DNK","EDUEXP","TRY","USD_STUDENT","A","2012",3721.6,
"DNK","EDUEXP","TRY","USD_STUDENT","A","2013",16460.5,
"FIN","EDUEXP","PRY","USD_STUDENT","A","2012",8363.4,
"FIN","EDUEXP","PRY","USD_STUDENT","A","2013",8519,
"DEU","EDUEXP","TRY","USD_STUDENT","A","2012",17156.6,
"DEU","EDUEXP","TRY","USD_STUDENT","A","2013",16894.5,
"ISL","EDUEXP","TRY","USD_STUDENT","A","2012",10867.9,
"ISL","EDUEXP","TRY","USD_STUDENT","A","2013",11255.5,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2012",16929,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2013",17882.6,
"USA","EDUEXP","PRY","USD_STUDENT","A","2012",11029.5,
"USA","EDUEXP","PRY","USD_STUDENT","A","2013",10958.7,
"ARG","EDUEXP","PRY","USD_STUDENT","A","2013",3728.8,
"BEL","EDUEXP","TRY","USD_STUDENT","A","2012",15217.4,
"BEL","EDUEXP","TRY","USD_STUDENT","A","2013",15910.7,
"MEX","EDUEXP","PRY","USD_STUDENT","A","2012",2656,
"MEX","EDUEXP","PRY","USD_STUDENT","A","2013",2717.2,
"NOR","EDUEXP","PRY","USD_STUDENT","A","2012",12543.2,
"NOR","EDUEXP","PRY","USD_STUDENT","A","2013",13273.9,
"PRT","EDUEXP","TRY","USD_STUDENT","A","2012",10046.8,
"PRT","EDUEXP","TRY","USD_STUDENT","A","2013",11106,
"SVK","EDUEXP","PRY","USD_STUDENT","A","2012",5475.2,
"SVK","EDUEXP","PRY","USD_STUDENT","A","2013",5941.8,
"SWE","EDUEXP","TRY","USD_STUDENT","A","2012",22824.3,
"SWE","EDUEXP","TRY","USD_STUDENT","A","2013",23219.2,
"CHE","EDUEXP","PRY","USD_STUDENT","A","2012",15335.9,
"CHE","EDUEXP","PRY","USD_STUDENT","A","2013",15930,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2012",24313.2,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2013",25743.8,
"BRA","EDUEXP","PRY","USD_STUDENT","A","2012",,"M"
"BRA","EDUEXP","PRY","USD_STUDENT","A","2013",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"ISR","EDUEXP","PRY","USD_STUDENT","A","2012",7019.7,
"ISR","EDUEXP","PRY","USD_STUDENT","A","2013",6941.2,
"DNK","EDUEXP","PRY","USD_STUDENT","A","2012",11031.8,
"DNK","EDUEXP","PRY","USD_STUDENT","A","2013",11355.4,
"DEU","EDUEXP","PRY","USD_STUDENT","A","2012",7748.9,
"DEU","EDUEXP","PRY","USD_STUDENT","A","2013",8103.5,
"ISL","EDUEXP","PRY","USD_STUDENT","A","2012",9871.4,
"ISL","EDUEXP","PRY","USD_STUDENT","A","2013",10569.1,
"ITA","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"ITA","EDUEXP","TRY","USD_STUDENT","A","2013",11171.7,
"JPN","EDUEXP","PRY","USD_STUDENT","A","2012",8624.5,
"JPN","EDUEXP","PRY","USD_STUDENT","A","2013",8748.1,
"LUX","EDUEXP","TRY","USD_STUDENT","A","2012",32673.9,
"LUX","EDUEXP","TRY","USD_STUDENT","A","2013",40932.9,
"NZL","EDUEXP","TRY","USD_STUDENT","A","2012",13602.6,
"NZL","EDUEXP","TRY","USD_STUDENT","A","2013",14585.4,
"EST","EDUEXP","TRY","USD_STUDENT","A","2012",8423.3,
"EST","EDUEXP","TRY","USD_STUDENT","A","2013",11607.2,
"IDN","EDUEXP","TRY","USD_STUDENT","A","2013",2094.5,
"SVN","EDUEXP","TRY","USD_STUDENT","A","2012",11728.7,
"SVN","EDUEXP","TRY","USD_STUDENT","A","2013",12063.7,
"ZAF","EDUEXP","TRY","USD_STUDENT","A","2013",,"M"
"AUT","EDUEXP","PRY","USD_STUDENT","A","2012",9790.3,
"AUT","EDUEXP","PRY","USD_STUDENT","A","2013",10780.1,
"CZE","EDUEXP","PRY","USD_STUDENT","A","2012",4743.4,
