"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","STUDENT","TRY","IDX2005","A","2000",90.35,
"PRT","STUDENT","TRY","IDX2005","A","2008",101.45,
"PRT","STUDENT","TRY","IDX2005","A","2009",102.54,
"PRT","STUDENT","TRY","IDX2005","A","2010",106.98,
"PRT","STUDENT","TRY","IDX2005","A","2011",110.04,
"SWE","STUDENT","TRY","IDX2005","A","2000",82.3,
"SWE","STUDENT","TRY","IDX2005","A","2008",93.84,
"SWE","STUDENT","TRY","IDX2005","A","2009",97.78,
"SWE","STUDENT","TRY","IDX2005","A","2010",103.38,
"SWE","STUDENT","TRY","IDX2005","A","2011",106.47,
"GBR","STUDENT","TRY","IDX2005","A","2000",93.37,
"GBR","STUDENT","TRY","IDX2005","A","2008",103.04,
"GBR","STUDENT","TRY","IDX2005","A","2009",105.1,
"GBR","STUDENT","TRY","IDX2005","A","2010",109.88,
"GBR","STUDENT","TRY","IDX2005","A","2011",110.2,
"EST","STUDENT","TRY","IDX2005","A","2000",85.48,
"EST","STUDENT","TRY","IDX2005","A","2008",99.46,
"EST","STUDENT","TRY","IDX2005","A","2009",99.49,
"EST","STUDENT","TRY","IDX2005","A","2010",100.44,
"EST","STUDENT","TRY","IDX2005","A","2011",100.7,
"NLD","STUDENT","TRY","IDX2005","A","2000",85.31,
"NLD","STUDENT","TRY","IDX2005","A","2008",109.95,
"NLD","STUDENT","TRY","IDX2005","A","2009",114.18,
"NLD","STUDENT","TRY","IDX2005","A","2010",118.5,
"NLD","STUDENT","TRY","IDX2005","A","2011",121.73,
"POL","STUDENT","TRY","IDX2005","A","2000",59.74,
"POL","STUDENT","TRY","IDX2005","A","2008",99.07,
"POL","STUDENT","TRY","IDX2005","A","2009",96.05,
"POL","STUDENT","TRY","IDX2005","A","2010",95.37,
"POL","STUDENT","TRY","IDX2005","A","2011",93.26,
"ESP","STUDENT","TRY","IDX2005","A","2000",107.49,
