"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2012",1.1,
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2013",1.3,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2012",1.8,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2013",1.8,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.4,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.3,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2013",,"M"
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2013",0.9,
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2012",2.2,
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2013",2.3,
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2012",2.1,
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2013",2,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2013",1.2,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2012",1.3,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2013",1.3,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.8,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2013",0.9,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.5,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.5,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.1,
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2012",,"M"
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2013",0.8,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.8,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2013",0.8,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2013",1,
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2013",1,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2012",1.6,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2013",1.6,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.7,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.6,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2012",2.5,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2013",2.4,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.1,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.2,
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2012",,"M"
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2013",0.9,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2013",1,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2013",1,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2012",1.9,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2013",2,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2012",1.3,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2013",1.3,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2013",1.4,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2013",1.3,
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2012",,"M"
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2013",1.1,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2013",1.2,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.2,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2013",1.4,
"IND","EDUPUBEXP","TRY","PC_GDP","A","2013",,"M"
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.6,
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2013",,"M"
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2013",0.9,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2013",,"M"
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2013",1.1,
"ZAF","EDUPUBEXP","TRY","PC_GDP","A","2013",0.7,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.4,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.4,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.2,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.3,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.3,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.6,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.5,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.9,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.1,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.6,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.9,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.5,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.4,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.5,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.4,
