"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",38.6,
"CZE","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",48.4,
"DNK","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",32.4,
"FIN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",40.6,
"FRA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",41.7,
"ISL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",54.6,
"ITA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",55.2,
"JPN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",6,
"KOR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",13.3,
"MEX","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",40.8,
"NLD","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",30.8,
"NOR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",58.2,
"POL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",66.6,
"PRT","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",39.4,
"SVK","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",60,
"ESP","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",44.7,
"SWE","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",54.9,
"BRA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",74.5,
"BGR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",71.5,
"CHL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",53.4,
"HRV","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",59.9,
"EST","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",60.2,
"ISR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",52.6,
"LVA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",77,
"MYS","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",49.1,
"ROU","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",63.9,
"SGP","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",52.5,
"SRB","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",55.3,
"OAVG","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",44.6,
"AUS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.2,
"AUS","PRINCIPAL","LOWSRY_WORK","YR","A","2013",8,
"CZE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.3,
"CZE","PRINCIPAL","LOWSRY_WORK","YR","A","2013",9.7,
"DNK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.9,
"DNK","PRINCIPAL","LOWSRY_WORK","YR","A","2013",12.6,
"FIN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.2,
"FIN","PRINCIPAL","LOWSRY_WORK","YR","A","2013",11.3,
"FRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52,
"FRA","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7.5,
"ISL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.9,
"ISL","PRINCIPAL","LOWSRY_WORK","YR","A","2013",10.6,
"ITA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",57,
"ITA","PRINCIPAL","LOWSRY_WORK","YR","A","2013",10.8,
"JPN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",57,
"JPN","PRINCIPAL","LOWSRY_WORK","YR","A","2013",4.5,
"KOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",58.8,
"KOR","PRINCIPAL","LOWSRY_WORK","YR","A","2013",3.1,
"MEX","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.9,
"MEX","PRINCIPAL","LOWSRY_WORK","YR","A","2013",10.8,
"NLD","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.2,
"NLD","PRINCIPAL","LOWSRY_WORK","YR","A","2013",10,
"NOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.1,
"NOR","PRINCIPAL","LOWSRY_WORK","YR","A","2013",8.7,
"POL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49.9,
"POL","PRINCIPAL","LOWSRY_WORK","YR","A","2013",11.2,
"PRT","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.1,
"PRT","PRINCIPAL","LOWSRY_WORK","YR","A","2013",6.6,
"SVK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.5,
"SVK","PRINCIPAL","LOWSRY_WORK","YR","A","2013",11,
"ESP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49.4,
"ESP","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7.9,
"SWE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.7,
"SWE","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7,
"BRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",45,
"BRA","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7.3,
"BGR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.1,
"BGR","PRINCIPAL","LOWSRY_WORK","YR","A","2013",12.5,
"CHL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.7,
"CHL","PRINCIPAL","LOWSRY_WORK","YR","A","2013",11.3,
"HRV","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52,
"HRV","PRINCIPAL","LOWSRY_WORK","YR","A","2013",10.4,
"EST","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.2,
"EST","PRINCIPAL","LOWSRY_WORK","YR","A","2013",12.1,
"ISR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",48.9,
"ISR","PRINCIPAL","LOWSRY_WORK","YR","A","2013",9.8,
"LVA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.9,
"LVA","PRINCIPAL","LOWSRY_WORK","YR","A","2013",13,
"MYS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.5,
"MYS","PRINCIPAL","LOWSRY_WORK","YR","A","2013",6.5,
"ROU","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",46.7,
"ROU","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7,
"SGP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",48.3,
"SGP","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7.7,
"SRB","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49,
"SRB","PRINCIPAL","LOWSRY_WORK","YR","A","2013",7.4,
"OAVG","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.4,
"OAVG","PRINCIPAL","LOWSRY_WORK","YR","A","2013",9.2,
"NZL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",57,
"NZL","PRINCIPAL","LOWSRY_WORK","YR","A","2013",11,
"NZL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",33.1,
"GEO","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.4,
"GEO","PRINCIPAL","LOWSRY_WORK","YR","A","2013",9.8,
"GEO","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",58.8,
"RUS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.3,
"RUS","PRINCIPAL","LOWSRY_WORK","YR","A","2013",12.5,
"RUS","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2013",77.8,
