"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2012",40,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2013",42.2,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",15,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",15.3,
"AUS","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",10.1,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2012",2.1,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2013",2.6,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",2.8,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",2.8,
"AUT","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",9.4,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",5.1,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",5,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",5.4,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",5.7,
"BEL","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",15.7,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2012",24.6,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2013",,"M"
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",23.5,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",,"M"
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2012",8.5,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2013",9.4,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",12.3,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",13.6,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2012",10.6,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2013",10.8,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",9.6,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",10.3,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",7.6,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",8.2,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",0.6,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",0.6,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",14.3,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",19.2,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",2.1,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",3,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2012",,"M"
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2013",26.3,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",,"M"
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",6.5,
"ITA","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",19.6,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2012",51.6,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2013",51,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",14.1,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",13.8,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2012",42.1,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2013",43.9,
