"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.4,
"AUS","TEACHER","LOWSRY_WORK","YR","A","2013",16.7,
"CZE","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.2,
"CZE","TEACHER","LOWSRY_WORK","YR","A","2013",17.7,
"DNK","TEACHER","LOWSRY_AVGAGE","YR","A","2013",45,
"DNK","TEACHER","LOWSRY_WORK","YR","A","2013",16.1,
"FIN","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.1,
"FIN","TEACHER","LOWSRY_WORK","YR","A","2013",15.5,
"FRA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.6,
"FRA","TEACHER","LOWSRY_WORK","YR","A","2013",17.1,
"ISL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.6,
"ISL","TEACHER","LOWSRY_WORK","YR","A","2013",14.3,
"ITA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",48.9,
"ITA","TEACHER","LOWSRY_WORK","YR","A","2013",19.8,
"JPN","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.9,
"JPN","TEACHER","LOWSRY_WORK","YR","A","2013",17.4,
"KOR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.4,
"KOR","TEACHER","LOWSRY_WORK","YR","A","2013",16.4,
"MEX","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.1,
"MEX","TEACHER","LOWSRY_WORK","YR","A","2013",15.8,
"NLD","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.2,
"NLD","TEACHER","LOWSRY_WORK","YR","A","2013",15.7,
"NOR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.2,
"NOR","TEACHER","LOWSRY_WORK","YR","A","2013",15.5,
"POL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.9,
"POL","TEACHER","LOWSRY_WORK","YR","A","2013",17.1,
"PRT","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.7,
"PRT","TEACHER","LOWSRY_WORK","YR","A","2013",19.4,
"SVK","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.4,
"SVK","TEACHER","LOWSRY_WORK","YR","A","2013",17.7,
"ESP","TEACHER","LOWSRY_AVGAGE","YR","A","2013",45.6,
"ESP","TEACHER","LOWSRY_WORK","YR","A","2013",18.3,
"SWE","TEACHER","LOWSRY_AVGAGE","YR","A","2013",46,
"SWE","TEACHER","LOWSRY_WORK","YR","A","2013",16.4,
"BRA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",39.2,
"BRA","TEACHER","LOWSRY_WORK","YR","A","2013",13.6,
"BGR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.4,
"BGR","TEACHER","LOWSRY_WORK","YR","A","2013",21.5,
"CHL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.3,
"CHL","TEACHER","LOWSRY_WORK","YR","A","2013",15.1,
"HRV","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.6,
"HRV","TEACHER","LOWSRY_WORK","YR","A","2013",15.7,
"EST","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.9,
"EST","TEACHER","LOWSRY_WORK","YR","A","2013",21.6,
"ISR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.1,
"ISR","TEACHER","LOWSRY_WORK","YR","A","2013",16.1,
"LVA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.1,
"LVA","TEACHER","LOWSRY_WORK","YR","A","2013",22,
"MYS","TEACHER","LOWSRY_AVGAGE","YR","A","2013",38.9,
"MYS","TEACHER","LOWSRY_WORK","YR","A","2013",13.6,
"ROU","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.6,
"ROU","TEACHER","LOWSRY_WORK","YR","A","2013",16.5,
"SGP","TEACHER","LOWSRY_AVGAGE","YR","A","2013",36,
"SGP","TEACHER","LOWSRY_WORK","YR","A","2013",9.7,
"SRB","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.1,
"SRB","TEACHER","LOWSRY_WORK","YR","A","2013",14.9,
"OAVG","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44,
"OAVG","TEACHER","LOWSRY_WORK","YR","A","2013",17,
"NZL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.8,
"NZL","TEACHER","LOWSRY_WORK","YR","A","2013",16.2,
"GEO","TEACHER","LOWSRY_AVGAGE","YR","A","2013",48.3,
"GEO","TEACHER","LOWSRY_WORK","YR","A","2013",22.8,
"RUS","TEACHER","LOWSRY_AVGAGE","YR","A","2013",45.5,
"RUS","TEACHER","LOWSRY_WORK","YR","A","2013",20.3,
