"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2000",882,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2005",888,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2006",884,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2007",877,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2008",873,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2009",874,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2010",868,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2011",873,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2012",871,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2000",803,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",810,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",817,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",813,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",810,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",797,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",803,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",802,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",801,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2000",811,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",810,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",818,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",815,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",812,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",812,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",819,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",811,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",809,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2005",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2006",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2007",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2008",779,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2009",779,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2010",779,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2011",779,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2012",779,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",589,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",589,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",607,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",607,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2010",799,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2011",799,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2012",802,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",744,
