"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2005",,"M"
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2010",63.85,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2011",64.5,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2012",64.856,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",65.41,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2014",65.841,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2005",,"M"
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2010",90.041,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2011",90.421,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2012",90.883,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2013",91.11,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2014",91.437,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2005",,"M"
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2010",40.248,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2011",40.668,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2012",41.522,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2013",42.101,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2014",42.555,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2005",,"M"
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2010",,"M"
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2011",,"M"
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2012",,"M"
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",69.627,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2014",70.076,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2005",78.675,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2010",80.987,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2011",81.025,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2012",81.295,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",81.603,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2014",81.709,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2005",40.657,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2010",44.961,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2011",45.48,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2012",45.965,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",46.877,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2014",48.168,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2010",72.582,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2011",73.039,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2012",73.274,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",73.274,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2014",73.63,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2005",,"M"
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2010",47.665,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2011",49.363,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2012",49.364,
