"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19","PC_AGE","A","1997",8.06968212,
"AUS","NEET","15_19","PC_AGE","A","1998",8.82456207,
"AUS","NEET","15_19","PC_AGE","A","1999",7.40464687,
"AUS","NEET","15_19","PC_AGE","A","2000",6.82476616,
"AUS","NEET","15_19","PC_AGE","A","2001",7.5513854,
"AUS","NEET","15_19","PC_AGE","A","2002",7.02774525,
"AUS","NEET","15_19","PC_AGE","A","2003",6.77475405,
"AUS","NEET","15_19","PC_AGE","A","2004",7.51515532,
"AUS","NEET","15_19","PC_AGE","A","2005",7.39390612,
"AUS","NEET","15_19","PC_AGE","A","2006",7.05160809,
"AUS","NEET","15_19","PC_AGE","A","2007",6.48775053,
"AUS","NEET","15_19","PC_AGE","A","2008",6.31005287,
"AUS","NEET","15_19","PC_AGE","A","2009",8.34154606,
"AUS","NEET","15_19","PC_AGE","A","2010",8.05996799,
"AUS","NEET","15_19","PC_AGE","A","2011",7.83981562,
"AUS","NEET","15_19","PC_AGE","A","2012",7.2310648,
"AUS","NEET","15_19","PC_AGE","A","2013",7.33630419,
"AUS","NEET","15_19","PC_AGE","A","2014",7.21728802,
"AUS","NEET","15_19","PC_AGE","A","2015",5.98547268,
"AUS","NEET","20_24","PC_AGE","A","1997",17.47441101,
"AUS","NEET","20_24","PC_AGE","A","1998",15.98461533,
"AUS","NEET","20_24","PC_AGE","A","1999",14.54881859,
"AUS","NEET","20_24","PC_AGE","A","2000",13.29395294,
"AUS","NEET","20_24","PC_AGE","A","2001",13.92672157,
"AUS","NEET","20_24","PC_AGE","A","2002",13.20924377,
"AUS","NEET","20_24","PC_AGE","A","2003",13.31050682,
"AUS","NEET","20_24","PC_AGE","A","2004",12.31172562,
"AUS","NEET","20_24","PC_AGE","A","2005",11.64818764,
"AUS","NEET","20_24","PC_AGE","A","2006",11.48741436,
"AUS","NEET","20_24","PC_AGE","A","2007",10.73628902,
"AUS","NEET","20_24","PC_AGE","A","2008",10.71009636,
"AUS","NEET","20_24","PC_AGE","A","2009",11.58228207,
"AUS","NEET","20_24","PC_AGE","A","2010",11.20938206,
"AUS","NEET","20_24","PC_AGE","A","2011",11.69028664,
"AUS","NEET","20_24","PC_AGE","A","2012",12.1918478,
"AUS","NEET","20_24","PC_AGE","A","2013",13.92837906,
"AUS","NEET","20_24","PC_AGE","A","2014",13.24603367,
"AUS","NEET","20_24","PC_AGE","A","2015",13.13339615,
"AUT","NEET","15_19","PC_AGE","A","2004",7.93734217,
"AUT","NEET","15_19","PC_AGE","A","2005",7.02639008,
"AUT","NEET","15_19","PC_AGE","A","2006",6.61994076,
"AUT","NEET","15_19","PC_AGE","A","2007",5.54436731,
"AUT","NEET","15_19","PC_AGE","A","2008",5.71287155,
"AUT","NEET","15_19","PC_AGE","A","2009",6.59695005,
"AUT","NEET","15_19","PC_AGE","A","2010",5.66280127,
"AUT","NEET","15_19","PC_AGE","A","2011",5.8195653,
"AUT","NEET","15_19","PC_AGE","A","2012",4.75685024,
"AUT","NEET","15_19","PC_AGE","A","2013",5.09055328,
"AUT","NEET","15_19","PC_AGE","A","2014",7.23014212,
"AUT","NEET","15_19","PC_AGE","A","2015",5.73139572,
"AUT","NEET","20_24","PC_AGE","A","2004",13.87387562,
"AUT","NEET","20_24","PC_AGE","A","2005",13.05652714,
"AUT","NEET","20_24","PC_AGE","A","2006",12.93387508,
"AUT","NEET","20_24","PC_AGE","A","2007",11.76482391,
"AUT","NEET","20_24","PC_AGE","A","2008",12.0346241,
"AUT","NEET","20_24","PC_AGE","A","2009",12.0222435,
"AUT","NEET","20_24","PC_AGE","A","2010",13.43263149,
"AUT","NEET","20_24","PC_AGE","A","2011",10.91699886,
"AUT","NEET","20_24","PC_AGE","A","2012",11.74526215,
"AUT","NEET","20_24","PC_AGE","A","2013",12.08349991,
"AUT","NEET","20_24","PC_AGE","A","2014",12.00826073,
"AUT","NEET","20_24","PC_AGE","A","2015",11.74678421,
"BEL","NEET","15_19","PC_AGE","A","1997",8.96626282,
"BEL","NEET","15_19","PC_AGE","A","1998",10.76180458,
"BEL","NEET","15_19","PC_AGE","A","1999",6.81941843,
"BEL","NEET","15_19","PC_AGE","A","2000",6.52333879,
"BEL","NEET","15_19","PC_AGE","A","2001",6.22151089,
"BEL","NEET","15_19","PC_AGE","A","2002",6.82651997,
"BEL","NEET","15_19","PC_AGE","A","2003",7.13205242,
"BEL","NEET","15_19","PC_AGE","A","2004",4.8880558,
"BEL","NEET","15_19","PC_AGE","A","2005",6.23900461,
"BEL","NEET","15_19","PC_AGE","A","2006",7.11469078,
"BEL","NEET","15_19","PC_AGE","A","2007",5.22682476,
"BEL","NEET","15_19","PC_AGE","A","2008",5.47322416,
"BEL","NEET","15_19","PC_AGE","A","2009",5.67322683,
"BEL","NEET","15_19","PC_AGE","A","2010",5.94504738,
"BEL","NEET","15_19","PC_AGE","A","2011",6.08942032,
"BEL","NEET","15_19","PC_AGE","A","2012",8.27770519,
"BEL","NEET","15_19","PC_AGE","A","2013",6.72212267,
"BEL","NEET","15_19","PC_AGE","A","2014",5.3908639,
"BEL","NEET","15_19","PC_AGE","A","2015",4.33564806,
"BEL","NEET","20_24","PC_AGE","A","1997",18.27544594,
"BEL","NEET","20_24","PC_AGE","A","1998",16.91009712,
"BEL","NEET","20_24","PC_AGE","A","1999",17.69975662,
"BEL","NEET","20_24","PC_AGE","A","2000",16.03962898,
"BEL","NEET","20_24","PC_AGE","A","2001",13.02393436,
"BEL","NEET","20_24","PC_AGE","A","2002",17.41417503,
"BEL","NEET","20_24","PC_AGE","A","2003",17.10154152,
"BEL","NEET","20_24","PC_AGE","A","2004",16.85778999,
"BEL","NEET","20_24","PC_AGE","A","2005",18.29088974,
"BEL","NEET","20_24","PC_AGE","A","2006",16.87147141,
"BEL","NEET","20_24","PC_AGE","A","2007",15.47540379,
"BEL","NEET","20_24","PC_AGE","A","2008",14.13553524,
"BEL","NEET","20_24","PC_AGE","A","2009",16.09766769,
"BEL","NEET","20_24","PC_AGE","A","2010",18.01810646,
"BEL","NEET","20_24","PC_AGE","A","2011",17.13882065,
"BEL","NEET","20_24","PC_AGE","A","2012",17.53430557,
"BEL","NEET","20_24","PC_AGE","A","2013",18.61680984,
"BEL","NEET","20_24","PC_AGE","A","2014",18.85497665,
"BEL","NEET","20_24","PC_AGE","A","2015",15.82019711,
"CAN","NEET","15_19","PC_AGE","A","1997",7.74291515,
"CAN","NEET","15_19","PC_AGE","A","1998",8.47542667,
"CAN","NEET","15_19","PC_AGE","A","1999",8.31683159,
"CAN","NEET","15_19","PC_AGE","A","2000",8.1902895,
"CAN","NEET","15_19","PC_AGE","A","2001",7.38940191,
"CAN","NEET","15_19","PC_AGE","A","2002",7.92270517,
"CAN","NEET","15_19","PC_AGE","A","2003",8.05984592,
"CAN","NEET","15_19","PC_AGE","A","2004",8.82070923,
"CAN","NEET","15_19","PC_AGE","A","2005",6.89491224,
"CAN","NEET","15_19","PC_AGE","A","2006",7.37284184,
"CAN","NEET","15_19","PC_AGE","A","2007",7.20554256,
