"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"AUT","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"BEL","NUCLEARPLANT","TOT","NBR","A","2014",7,
"CAN","NUCLEARPLANT","TOT","NBR","A","2014",19,
"CZE","NUCLEARPLANT","TOT","NBR","A","2014",6,
"DNK","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"FIN","NUCLEARPLANT","TOT","NBR","A","2014",4,
"FRA","NUCLEARPLANT","TOT","NBR","A","2014",58,
"DEU","NUCLEARPLANT","TOT","NBR","A","2014",9,
"GRC","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"HUN","NUCLEARPLANT","TOT","NBR","A","2014",4,
"ISL","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"IRL","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"ITA","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"JPN","NUCLEARPLANT","TOT","NBR","A","2014",48,
"KOR","NUCLEARPLANT","TOT","NBR","A","2014",23,
"LUX","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"MEX","NUCLEARPLANT","TOT","NBR","A","2014",2,
"NLD","NUCLEARPLANT","TOT","NBR","A","2014",1,
"NZL","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"NOR","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"POL","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"PRT","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"SVK","NUCLEARPLANT","TOT","NBR","A","2014",4,
"ESP","NUCLEARPLANT","TOT","NBR","A","2014",8,
"SWE","NUCLEARPLANT","TOT","NBR","A","2014",10,
"CHE","NUCLEARPLANT","TOT","NBR","A","2014",5,
"TUR","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"GBR","NUCLEARPLANT","TOT","NBR","A","2014",16,
"USA","NUCLEARPLANT","TOT","NBR","A","2014",99,
"BRA","NUCLEARPLANT","TOT","NBR","A","2014",2,
"CHL","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"CHN","NUCLEARPLANT","TOT","NBR","A","2014",23,
"EST","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"IND","NUCLEARPLANT","TOT","NBR","A","2014",21,
"IDN","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"ISR","NUCLEARPLANT","TOT","NBR","A","2014",0,"Z"
"RUS","NUCLEARPLANT","TOT","NBR","A","2014",34,
"SVN","NUCLEARPLANT","TOT","NBR","A","2014",1,
"ZAF","NUCLEARPLANT","TOT","NBR","A","2014",2,
"WLD","NUCLEARPLANT","TOT","NBR","A","2014",438,
"OECD","NUCLEARPLANT","TOT","NBR","A","2014",324,
"EU28","NUCLEARPLANT","TOT","NBR","A","2014",131,
