"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","CONTTRANSP","RAIL","TFEU","A","1970",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1971",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1972",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1973",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1974",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1975",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1976",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1977",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1978",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1979",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1980",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1981",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1982",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1983",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1984",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1985",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1986",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1987",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1988",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1989",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1990",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1991",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1992",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1993",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1994",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1995",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1996",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1997",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1998",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","1999",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2000",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2001",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2002",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2003",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2004",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2005",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2006",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2007",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2008",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2009",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2010",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2011",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2012",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2013",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2014",,"M"
"ISL","CONTTRANSP","RAIL","TFEU","A","2015",,"M"
"SWE","CONTTRANSP","SEA","TFEU","A","1970",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1971",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1972",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1973",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1974",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1975",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1976",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1977",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1978",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1979",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1980",,"L"
"SWE","CONTTRANSP","SEA","TFEU","A","1981",,"L"
