"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","RAIL","EUR","A","1995",571356018,
"AUS","INFRAINVEST","RAIL","EUR","A","1996",802659326,
"AUS","INFRAINVEST","RAIL","EUR","A","1997",747517222,
"AUS","INFRAINVEST","RAIL","EUR","A","1998",648569973,
"AUS","INFRAINVEST","RAIL","EUR","A","1999",565077827,
"AUS","INFRAINVEST","RAIL","EUR","A","2000",411031482,
"AUS","INFRAINVEST","RAIL","EUR","A","2001",366368841,
"AUS","INFRAINVEST","RAIL","EUR","A","2002",662698543,
"AUS","INFRAINVEST","RAIL","EUR","A","2003",748768609,
"AUS","INFRAINVEST","RAIL","EUR","A","2004",1105525258,
"AUS","INFRAINVEST","RAIL","EUR","A","2005",1492432113,
"AUS","INFRAINVEST","RAIL","EUR","A","2006",1251524658,
"AUS","INFRAINVEST","RAIL","EUR","A","2007",1961924006,
"AUS","INFRAINVEST","RAIL","EUR","A","2008",1727232122,
"AUS","INFRAINVEST","RAIL","EUR","A","2009",2284886626,
"AUS","INFRAINVEST","RAIL","EUR","A","2010",3611848525,
"AUS","INFRAINVEST","RAIL","EUR","A","2011",5497640741,
"AUS","INFRAINVEST","RAIL","EUR","A","2012",6601212961,
"AUS","INFRAINVEST","RAIL","EUR","A","2013",4973019805,
"AUS","INFRAINVEST","RAIL","EUR","A","2014",4320634563,
"AUS","INFRAINVEST","RAIL","EUR","A","2015",2756077390,
"AUS","INFRAINVEST","ROAD","EUR","A","1995",2424295328,
"AUS","INFRAINVEST","ROAD","EUR","A","1996",2926220739,
"AUS","INFRAINVEST","ROAD","EUR","A","1997",3331753641,
"AUS","INFRAINVEST","ROAD","EUR","A","1998",3535969803,
"AUS","INFRAINVEST","ROAD","EUR","A","1999",3930712858,
"AUS","INFRAINVEST","ROAD","EUR","A","2000",3696769381,
"AUS","INFRAINVEST","ROAD","EUR","A","2001",3258663325,
"AUS","INFRAINVEST","ROAD","EUR","A","2002",3428744636,
"AUS","INFRAINVEST","ROAD","EUR","A","2003",4085497432,
"AUS","INFRAINVEST","ROAD","EUR","A","2004",5194251506,
"AUS","INFRAINVEST","ROAD","EUR","A","2005",6735864032,
"AUS","INFRAINVEST","ROAD","EUR","A","2006",6972780239,
"AUS","INFRAINVEST","ROAD","EUR","A","2007",8025552685,
"AUS","INFRAINVEST","ROAD","EUR","A","2008",9263310368,
"AUS","INFRAINVEST","ROAD","EUR","A","2009",9196247621,
"AUS","INFRAINVEST","ROAD","EUR","A","2010",11200539665,
"AUS","INFRAINVEST","ROAD","EUR","A","2011",13806060687,
"AUS","INFRAINVEST","ROAD","EUR","A","2012",15898162840,
"AUS","INFRAINVEST","ROAD","EUR","A","2013",12990760446,
