"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAMAINT","ROAD","EUR","A","2001",630615973,
"AUS","INFRAMAINT","ROAD","EUR","A","2002",614292736,
"AUS","INFRAMAINT","ROAD","EUR","A","2003",624739453,
"AUS","INFRAMAINT","ROAD","EUR","A","2004",707015082,
"AUS","INFRAMAINT","ROAD","EUR","A","2005",755103229,
"AUS","INFRAMAINT","ROAD","EUR","A","2006",769753661,
"AUS","INFRAMAINT","ROAD","EUR","A","2007",873392338,
"AUS","INFRAMAINT","ROAD","EUR","A","2008",899600064,
"AUS","INFRAMAINT","ROAD","EUR","A","2009",1055988143,
"AUS","INFRAMAINT","ROAD","EUR","A","2010",1326999382,"B"
"AUS","INFRAMAINT","ROAD","EUR","A","2011",1553051973,
"AUS","INFRAMAINT","ROAD","EUR","A","2012",1817024944,
"AUS","INFRAMAINT","ROAD","EUR","A","2013",1854888416,
"AUS","INFRAMAINT","ROAD","EUR","A","2014",1930698652,
"AUS","INFRAMAINT","ROAD","EUR","A","2015",1654038940,
"AUT","INFRAMAINT","RAIL","EUR","A","1997",384000000,
"AUT","INFRAMAINT","RAIL","EUR","A","1998",378000000,
"AUT","INFRAMAINT","RAIL","EUR","A","1999",364000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2000",347000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2001",338000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2002",339000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2003",335000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2004",341000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2005",302000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2006",362000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2007",325000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2008",356000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2009",348000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2010",344000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2011",451000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2012",480000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2013",497000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2014",504000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2015",503000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1995",532000000,
