"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1970",12505,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1971",12675,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1972",11616,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1973",11474,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1974",10520,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1975",9996,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1976",8928,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1977",8875,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1978",8663,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1979",8503,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1980",8815,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1981",9113,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1982",9088,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1983",8932,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1984",8846,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1985",8825,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1986",9215,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1987",9484,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1988",9936,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1989",10161,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1990",9969,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1991",9986,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1992",9886,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1993",9661,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1994",9870,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1995",10240,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1996",10583,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1997",10854,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1998",10821,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1999",11026,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2000",11401,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2001",11979,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2002",11835,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2003",11842,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2004",11905,
