"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1960",88.45,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1961",91.88,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1962",95.01,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1963",100.64,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1964",105.98,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1965",111.96,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1966",116.62,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1967",123.21,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1968",130.18,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1969",136.43,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1970",141.63,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1971",143.36,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1972",148.41,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1973",157.72,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1974",172.53,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1975",179.45,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1976",181.88,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1977",195.91,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1978",191.09,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1979",197.38,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1980",206.74,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1981",207.37,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1982",213.69,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1983",201.78,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1984",208.06,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1985",220.15,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1986",221.52,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1987",231.84,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1988",240.83,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1989",254.31,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.73,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261.07,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.09,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",269,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.94,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.35,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.84,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.14,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",323.8,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.86,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",341.03,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",349.01,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",352.86,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",366.65,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",371.92,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",377.35,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",387.45,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",389.95,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",396.02,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",389.54,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",387.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",387.09,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",383.12,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",373.78,
"AUS","AIREMISSION","CO","THND_TONNE","A","1990",5718.951,
"AUS","AIREMISSION","CO","THND_TONNE","A","1991",5738.548,
"AUS","AIREMISSION","CO","THND_TONNE","A","1992",5887.463,
"AUS","AIREMISSION","CO","THND_TONNE","A","1993",6112.312,
"AUS","AIREMISSION","CO","THND_TONNE","A","1994",6255.087,
"AUS","AIREMISSION","CO","THND_TONNE","A","1995",6102.057,
"AUS","AIREMISSION","CO","THND_TONNE","A","1996",6275.023,
"AUS","AIREMISSION","CO","THND_TONNE","A","1997",6291.944,
"AUS","AIREMISSION","CO","THND_TONNE","A","1998",5942.909,
"AUS","AIREMISSION","CO","THND_TONNE","A","1999",5752.787,
"AUS","AIREMISSION","CO","THND_TONNE","A","2000",5425.511,
"AUS","AIREMISSION","CO","THND_TONNE","A","2001",5176.395,
"AUS","AIREMISSION","CO","THND_TONNE","A","2002",4878.802,
"AUS","AIREMISSION","CO","THND_TONNE","A","2003",4425.149,
"AUS","AIREMISSION","CO","THND_TONNE","A","2004",4496.761,
"AUS","AIREMISSION","CO","THND_TONNE","A","2005",3948.299,
"AUS","AIREMISSION","CO","THND_TONNE","A","2006",3779.715,
"AUS","AIREMISSION","CO","THND_TONNE","A","2007",3325.033,
"AUS","AIREMISSION","CO","THND_TONNE","A","2008",3152.956,
"AUS","AIREMISSION","CO","THND_TONNE","A","2009",3105.441,
"AUS","AIREMISSION","CO","THND_TONNE","A","2010",2945.372,
"AUS","AIREMISSION","CO","THND_TONNE","A","2011",2902.867,
"AUS","AIREMISSION","CO","THND_TONNE","A","2012",2873.652,
"AUS","AIREMISSION","CO","THND_TONNE","A","2013",2789.04,
"AUS","AIREMISSION","CO","THND_TONNE","A","2014",2706.735,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1990",1609.178,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1991",1585.036,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1992",1629.4,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1993",1673.031,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1994",1672.699,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1995",1702.667,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1996",1730.991,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1997",1784.698,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1998",1823.274,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1999",1850.862,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2000",1887.724,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2001",1956.811,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2002",2029.469,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2003",2110.694,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2004",2159.969,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2005",2187.359,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2006",2187.4,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2007",2212.015,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2008",2258.708,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2009",2263.48,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2010",2389.12,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2011",2297.155,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2012",2452.539,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2013",2530.896,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2014",2548.721,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1990",1556.136,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1991",1598.807,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1992",1707.914,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1993",1757.81,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1994",1819.367,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1995",1697.265,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1996",1757.396,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1997",1807.055,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1998",1747.833,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1999",1831.237,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2000",2290.47,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2001",2537.196,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2002",2702.134,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2003",2693.045,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2004",2440.033,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2005",2519.855,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2006",2412.324,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2007",2443.45,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2008",2621.656,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2009",2600.945,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2010",2379.734,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2011",2354.95,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2012",2340.959,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2013",2309.191,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2014",2287.111,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1990",1373.788,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1991",1360.977,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1992",1362.253,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1993",1380.115,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1994",1392.826,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1995",1377.436,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1996",1354.992,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1997",1355.211,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1998",1334.717,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1999",1293.664,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2000",1269.248,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2001",1252.412,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2002",1263.346,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2003",1242.673,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2004",1247.374,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2005",1234.418,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2006",1228.597,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2007",1211.489,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2008",1208.972,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2009",1212.859,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2010",1226.115,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2011",1228.453,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2012",1238.979,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2013",1189.652,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2014",1215.887,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1960",8.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1961",8.63,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1962",8.76,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1963",9.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1964",9.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1965",9.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1966",9.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1967",10.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1968",10.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1969",11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1970",11.18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1971",10.86,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1972",11.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1973",11.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1974",12.47,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1975",12.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1976",12.89,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1977",13.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1978",13.24,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1979",13.52,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1980",13.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1981",13.78,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1982",13.98,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1983",13.03,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1984",13.27,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1985",13.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1986",13.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1987",14.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1988",14.43,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1989",15.01,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15.13,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",15.04,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15.11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.38,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.77,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.16,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.39,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.33,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.61,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.82,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.82,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.31,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.33,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.47,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",18.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.23,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.92,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.46,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.81,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.602,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.354,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.362,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1993",24.165,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1994",23.93,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1995",24.183,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1996",24.276,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1997",24.672,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1998",25.166,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1999",25.197,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2000",25.48,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2001",25.544,
