"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","1977",10900,
"AUS","WATERABST","TOT","MLN_M3","A","1985",14600,
"AUS","WATERABST","TOT","MLN_M3","A","1994",15055,
"AUS","WATERABST","TOT","MLN_M3","A","1995",24071,
"AUS","WATERABST","TOT","MLN_M3","A","1997",24071,
"AUS","WATERABST","TOT","MLN_M3","A","2001",22196,
"AUS","WATERABST","TOT","MLN_M3","A","2005",19336,
"AUS","WATERABST","TOT","MLN_M3","A","2009",14945,
"AUS","WATERABST","TOT","MLN_M3","A","2010",14189,
"AUS","WATERABST","TOT","MLN_M3","A","2011",14060,
"AUS","WATERABST","TOT","M3CAP","A","1977",768.0259,
"AUS","WATERABST","TOT","M3CAP","A","1985",924.7349,
"AUS","WATERABST","TOT","M3CAP","A","1994",845.549,
"AUS","WATERABST","TOT","M3CAP","A","1995",1336.981,
"AUS","WATERABST","TOT","M3CAP","A","1997",1306.715,
"AUS","WATERABST","TOT","M3CAP","A","2001",1151.543,
"AUS","WATERABST","TOT","M3CAP","A","2005",958.2714,
"AUS","WATERABST","TOT","M3CAP","A","2009",689.0272,
"AUS","WATERABST","TOT","M3CAP","A","2010",644.0178,
"AUS","WATERABST","TOT","M3CAP","A","2011",629.3644,
"AUT","WATERABST","TOT","MLN_M3","A","1975",2620,
"AUT","WATERABST","TOT","MLN_M3","A","1980",3341.94006,
"AUT","WATERABST","TOT","MLN_M3","A","1985",3579.80005,
"AUT","WATERABST","TOT","MLN_M3","A","1990",3806.69128,
"AUT","WATERABST","TOT","MLN_M3","A","1995",3449.42639,
"AUT","WATERABST","TOT","M3CAP","A","1975",345.6966,
"AUT","WATERABST","TOT","M3CAP","A","1980",442.6747,
"AUT","WATERABST","TOT","M3CAP","A","1985",473.2068,
"AUT","WATERABST","TOT","M3CAP","A","1990",495.8021,
"AUT","WATERABST","TOT","M3CAP","A","1995",433.9843,
"BEL","WATERABST","TOT","MLN_M3","A","1970",9481,
"BEL","WATERABST","TOT","MLN_M3","A","1995",8247.7998,
"BEL","WATERABST","TOT","MLN_M3","A","1996",7551.51013,
"BEL","WATERABST","TOT","MLN_M3","A","1997",7689.6701,
"BEL","WATERABST","TOT","MLN_M3","A","1998",7479.76001,
"BEL","WATERABST","TOT","MLN_M3","A","1999",7211.73999,
"BEL","WATERABST","TOT","MLN_M3","A","2000",7536.23169,
"BEL","WATERABST","TOT","MLN_M3","A","2001",6994.98248,
"BEL","WATERABST","TOT","MLN_M3","A","2002",6738.40363,
"BEL","WATERABST","TOT","MLN_M3","A","2003",6665.93506,
"BEL","WATERABST","TOT","MLN_M3","A","2004",6447.07666,
"BEL","WATERABST","TOT","MLN_M3","A","2005",6185.43994,
"BEL","WATERABST","TOT","MLN_M3","A","2006",6429.08252,
"BEL","WATERABST","TOT","MLN_M3","A","2007",6192.0249,
"BEL","WATERABST","TOT","MLN_M3","A","2008",6136.04,
"BEL","WATERABST","TOT","MLN_M3","A","2009",6005.4,
"BEL","WATERABST","TOT","MLN_M3","A","2010",5988.37988,
"BEL","WATERABST","TOT","MLN_M3","A","2011",5296.6001,
"BEL","WATERABST","TOT","MLN_M3","A","2012",5300.56006,
"BEL","WATERABST","TOT","MLN_M3","A","2013",4829.04004,
"BEL","WATERABST","TOT","M3CAP","A","1970",981.9229,
"BEL","WATERABST","TOT","M3CAP","A","1995",813.6485,
"BEL","WATERABST","TOT","M3CAP","A","1996",743.5055,
"BEL","WATERABST","TOT","M3CAP","A","1997",755.2783,
"BEL","WATERABST","TOT","M3CAP","A","1998",733.0942,
"BEL","WATERABST","TOT","M3CAP","A","1999",705.2074,
"BEL","WATERABST","TOT","M3CAP","A","2000",735.1525,
"BEL","WATERABST","TOT","M3CAP","A","2001",680.0112,
"BEL","WATERABST","TOT","M3CAP","A","2002",652.1385,
"BEL","WATERABST","TOT","M3CAP","A","2003",642.4298,
"BEL","WATERABST","TOT","M3CAP","A","2004",618.6543,
"BEL","WATERABST","TOT","M3CAP","A","2005",590.292,
"BEL","WATERABST","TOT","M3CAP","A","2006",609.5101,
"BEL","WATERABST","TOT","M3CAP","A","2007",582.7404,
"BEL","WATERABST","TOT","M3CAP","A","2008",572.9279,
"BEL","WATERABST","TOT","M3CAP","A","2009",556.2363,
"BEL","WATERABST","TOT","M3CAP","A","2010",548.3729,
"BEL","WATERABST","TOT","M3CAP","A","2011",479.4284,
"BEL","WATERABST","TOT","M3CAP","A","2012",476.3161,
"BEL","WATERABST","TOT","M3CAP","A","2013",431.3168,
"CAN","WATERABST","TOT","MLN_M3","A","1972",24057,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1981",37508,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1986",42342,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1989",43888,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1991",45090,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1995",47250,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1996",42214,"E"
"CAN","WATERABST","TOT","MLN_M3","A","2005",40026.2,
"CAN","WATERABST","TOT","MLN_M3","A","2007",39453.8,
"CAN","WATERABST","TOT","MLN_M3","A","2009",31513.2,
"CAN","WATERABST","TOT","MLN_M3","A","2011",33335.5,
"CAN","WATERABST","TOT","MLN_M3","A","2013",35850.3,
"CAN","WATERABST","TOT","M3CAP","A","1972",1082.771,
"CAN","WATERABST","TOT","M3CAP","A","1981",1511.079,
"CAN","WATERABST","TOT","M3CAP","A","1986",1622.361,
"CAN","WATERABST","TOT","M3CAP","A","1989",1608.916,
"CAN","WATERABST","TOT","M3CAP","A","1991",1608.16,
"CAN","WATERABST","TOT","M3CAP","A","1995",1612.376,
"CAN","WATERABST","TOT","M3CAP","A","1996",1425.646,
"CAN","WATERABST","TOT","M3CAP","A","2005",1241.307,
"CAN","WATERABST","TOT","M3CAP","A","2007",1198.201,
"CAN","WATERABST","TOT","M3CAP","A","2009",934.3637,
"CAN","WATERABST","TOT","M3CAP","A","2011",966.6953,
"CAN","WATERABST","TOT","M3CAP","A","2013",1015.089,
"CZE","WATERABST","TOT","MLN_M3","A","1970",2904,
"CZE","WATERABST","TOT","MLN_M3","A","1980",3621.80005,
"CZE","WATERABST","TOT","MLN_M3","A","1985",3679.40002,
"CZE","WATERABST","TOT","MLN_M3","A","1990",3623.09998,
"CZE","WATERABST","TOT","MLN_M3","A","1992",3176.70673,
"CZE","WATERABST","TOT","MLN_M3","A","1993",3011.76001,
"CZE","WATERABST","TOT","MLN_M3","A","1994",2810.97998,
"CZE","WATERABST","TOT","MLN_M3","A","1995",2743.20001,
"CZE","WATERABST","TOT","MLN_M3","A","1996",2569.70001,"B"
"CZE","WATERABST","TOT","MLN_M3","A","1997",2492.5,
"CZE","WATERABST","TOT","MLN_M3","A","1998",2276.79999,
"CZE","WATERABST","TOT","MLN_M3","A","1999",1975.79999,
"CZE","WATERABST","TOT","MLN_M3","A","2000",1917.99994,
"CZE","WATERABST","TOT","MLN_M3","A","2001",1838.70007,
"CZE","WATERABST","TOT","MLN_M3","A","2002",1908.19995,
"CZE","WATERABST","TOT","MLN_M3","A","2003",2116.09,
"CZE","WATERABST","TOT","MLN_M3","A","2004",2027.99997,
"CZE","WATERABST","TOT","MLN_M3","A","2005",1949,
"CZE","WATERABST","TOT","MLN_M3","A","2006",1936,
"CZE","WATERABST","TOT","MLN_M3","A","2007",1970,
"CZE","WATERABST","TOT","MLN_M3","A","2008",1988,
"CZE","WATERABST","TOT","MLN_M3","A","2009",1948,
"CZE","WATERABST","TOT","MLN_M3","A","2010",1950,
"CZE","WATERABST","TOT","MLN_M3","A","2011",1886,
"CZE","WATERABST","TOT","MLN_M3","A","2012",1840,
"CZE","WATERABST","TOT","MLN_M3","A","2013",1650,
"CZE","WATERABST","TOT","MLN_M3","A","2014",1650,
"CZE","WATERABST","TOT","MLN_M3","A","2015",1603.09998,
"CZE","WATERABST","TOT","M3CAP","A","1970",296.1707,
