"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","1960",0.700946,
"AUS","PPP","TOT","NATUSD","A","1961",0.701324,
"AUS","PPP","TOT","NATUSD","A","1962",0.68799,
"AUS","PPP","TOT","NATUSD","A","1963",0.698321,
"AUS","PPP","TOT","NATUSD","A","1964",0.708346,
"AUS","PPP","TOT","NATUSD","A","1965",0.705945,
"AUS","PPP","TOT","NATUSD","A","1966",0.70894,
"AUS","PPP","TOT","NATUSD","A","1967",0.711321,
"AUS","PPP","TOT","NATUSD","A","1968",0.70353,
"AUS","PPP","TOT","NATUSD","A","1969",0.70688,
"AUS","PPP","TOT","NATUSD","A","1970",0.684104,
"AUS","PPP","TOT","NATUSD","A","1971",0.693022,
"AUS","PPP","TOT","NATUSD","A","1972",0.711627,
"AUS","PPP","TOT","NATUSD","A","1973",0.763348,
"AUS","PPP","TOT","NATUSD","A","1974",0.823389,
"AUS","PPP","TOT","NATUSD","A","1975",0.859681,
"AUS","PPP","TOT","NATUSD","A","1976",0.920686,
"AUS","PPP","TOT","NATUSD","A","1977",0.950946,
"AUS","PPP","TOT","NATUSD","A","1978",0.961338,
"AUS","PPP","TOT","NATUSD","A","1979",0.973982,
"AUS","PPP","TOT","NATUSD","A","1980",0.981371,
"AUS","PPP","TOT","NATUSD","A","1981",0.986507,
"AUS","PPP","TOT","NATUSD","A","1982",1.040496,
"AUS","PPP","TOT","NATUSD","A","1983",1.085932,
"AUS","PPP","TOT","NATUSD","A","1984",1.112885,
"AUS","PPP","TOT","NATUSD","A","1985",1.137727,
"AUS","PPP","TOT","NATUSD","A","1986",1.190447,
"AUS","PPP","TOT","NATUSD","A","1987",1.241136,
"AUS","PPP","TOT","NATUSD","A","1988",1.29859,
"AUS","PPP","TOT","NATUSD","A","1989",1.348194,
"AUS","PPP","TOT","NATUSD","A","1990",1.364986,
"AUS","PPP","TOT","NATUSD","A","1991",1.348081,
"AUS","PPP","TOT","NATUSD","A","1992",1.327669,
"AUS","PPP","TOT","NATUSD","A","1993",1.311715,
"AUS","PPP","TOT","NATUSD","A","1994",1.300958,
"AUS","PPP","TOT","NATUSD","A","1995",1.307013,
"AUS","PPP","TOT","NATUSD","A","1996",1.310166,
"AUS","PPP","TOT","NATUSD","A","1997",1.307245,
"AUS","PPP","TOT","NATUSD","A","1998",1.29917,
"AUS","PPP","TOT","NATUSD","A","1999",1.29695,
"AUS","PPP","TOT","NATUSD","A","2000",1.307971,
