"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1983",242.74,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1984",506.908,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1985",426.588,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1986",213.028,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1987",721.515,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1988",940.078,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1989",1052.598,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1990",1200.439,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1991",1142.43,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1992",1035.894,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1993",1455.692,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1994",642.552,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1995",666.873,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1996",1656.635,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1997",1939.097,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1998",1761.427,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","1999",1929.217,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2000",1700.234,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2001",1519.706,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2002",1581.537,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2003",1779.12,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2004",2118.049,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2005",2192.507,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2006",2236.385,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2007",2882.459,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2008",2770.411,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2009",2406.144,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2010",2902.36,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2011",3374.974,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2012",3330.86,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2013",3354.336,
"AUS","GDINSURANCEPREM","TOT","USD_CAP","A","2014",3691.15,
