"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1983",4438.766,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1984",8640.595,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1985",7395.536,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1986",3952.561,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1987",12401.946,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1988",16345.049,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1989",18665.572,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1990",21272.693,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1991",20724.908,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1992",19253.581,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1993",27186.911,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1994",13877.253,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1995",14120.92,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1996",32659.468,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1997",37301.979,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1998",34569.491,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1999",39494.937,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2000",34893.951,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2001",31602.698,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2002",36277.481,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2003",40803.145,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2004",47525.178,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2005",49735.036,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2006",51291.859,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2007",66969.722,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2008",65665.003,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2009",57731.563,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2010",70793.079,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2011",84540.661,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2012",85880.357,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2013",87591.017,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2014",97010.914,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2015",78796.207,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1986",4663.925,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1987",6376.321,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1988",7334.447,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1989",7217.874,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1990",8954.586,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1991",9264.596,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1992",10685.208,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1993",10913.162,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1994",11932.053,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1995",13639.801,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1996",15622.694,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1997",12908.279,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1998",12938.241,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1999",13220.707,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2000",12218.597,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2001",12107.274,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2002",13573.928,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2003",16872.668,
