"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1983",1.963,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1984",3.874,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1985",3.767,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1986",1.823,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1987",5.256,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1988",5.505,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1989",5.641,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1990",6.432,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1991",6.095,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1992",5.65,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1993",8.269,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1994",3.242,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1995",3.148,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1996",7.1,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1997",8.381,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1998",8.633,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","1999",8.761,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2000",7.953,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2001",7.531,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2002",7.094,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2003",6.286,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2004",6.243,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2005",5.835,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2006",5.632,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2007",6.134,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2008",5.609,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2009",5.179,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2010",4.974,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2011",4.947,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2012",4.835,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2013",5.103,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2014",6.008,
"AUS","INSURANCEEXP","TOT","PC_GDP","A","2015",5.701,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1987",4.585,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1988",4.884,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1989",4.84,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1990",4.771,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1991",4.721,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1992",4.808,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1993",5.299,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1994",5.197,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1995",5.351,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1996",6.004,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1997",5.304,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1998",5.29,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","1999",5.442,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2000",5.447,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2001",5.613,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2002",5.515,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2003",5.654,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2004",5.582,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2005",5.486,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2006",5.354,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2007",5.098,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2008",5.52,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2009",5.713,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2010",5.652,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2011",5.358,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2012",5.153,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2013",5.15,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2014",5.171,
"AUT","INSURANCEEXP","TOT","PC_GDP","A","2015",5.096,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1983",4.095,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1984",4.062,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1985",4.046,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1986",4.225,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1987",4.463,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1988",4.463,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1989",4.452,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1990",4.485,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1991",4.609,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1992",4.765,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1993",4.951,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1994",4.965,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1995",5.132,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1996",5.441,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1997",5.609,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1998",6.357,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","1999",6.916,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2000",7.538,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2001",7.589,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2002",7.968,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2003",8.941,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2004",9.347,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2005",10.734,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2006",8.878,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2007",9.006,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2008",8.099,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2009",8.019,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2010",7.868,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2011",7.507,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2012",8.197,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2013",6.962,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2014",6.954,
"BEL","INSURANCEEXP","TOT","PC_GDP","A","2015",6.111,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1984",4.805,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1985",5.156,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1986",5.58,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1987",5.697,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1988",4.784,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1989",4.774,
"CAN","INSURANCEEXP","TOT","PC_GDP","A","1990",4.706,
