"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1983",1.062,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1984",1.849,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1985",1.281,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1986",0.507,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1987",1.346,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1988",1.27,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1989",1.569,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1990",1.647,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1991",1.505,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1992",1.257,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1993",1.589,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1994",0.75,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1995",0.697,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1996",1.604,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1997",1.775,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1998",1.586,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","1999",1.681,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2000",1.391,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2001",1.29,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2002",1.321,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2003",1.265,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2004",1.334,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2005",1.317,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2006",1.289,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2007",1.465,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2008",1.447,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2009",1.355,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2010",1.638,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2011",1.832,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2012",1.835,
"AUS","NATINSURANCESH","TOT","OECDIDX","A","2013",1.799,
