"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINTFORECAST","TOT","PC_PA","A","1970",6.6466666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1971",6.7133333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1972",5.8316666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1973",6.9333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1974",9.0366666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1975",9.7416666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1976",10.0308333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1977",10.2266666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1978",9.06,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1979",9.7491666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1980",11.6475,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1981",13.9583333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1982",15.375,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1983",13.8875,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1984",13.525,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1985",13.9541666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1986",13.4166666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1987",13.1916666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1988",12.1041666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1989",13.4083333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1990",13.18,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1991",10.6908333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1992",9.22,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1993",7.2808333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1994",9.0416666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1995",9.2108952768,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1996",8.2092070575,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1997",6.9549185439,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1998",5.4929705283,
"AUS","LTINTFORECAST","TOT","PC_PA","A","1999",6.009311943,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2000",6.3145693344,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2001",5.6152643283,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2002",5.8439577112,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2003",5.3667754977,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2004",5.5907745075,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2005",5.3399731139,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2006",5.5878722442,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2007",5.9945208373,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2008",5.8179439397,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2009",5.0395118421,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2010",5.3660416667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2011",4.8795833333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2012",3.3791666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2013",3.6972916667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2014",3.6566666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2015",2.7108333333,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2016",2.3366666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2017",2.5416666667,
"AUS","LTINTFORECAST","TOT","PC_PA","A","2018",2.91,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1965",6.4996623296,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1966",6.9006398341,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1967",7.2042846249,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1968",7.7325433705,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1969",7.5070975121,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1970",7.801591364,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1971",7.6959396149,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1972",7.3698334286,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1973",8.23584501,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1974",9.7224566294,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1975",9.5901839671,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1976",8.7366509388,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1977",8.7150214469,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1978",8.2000731579,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1979",7.9496701935,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1980",9.3073367648,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1981",10.5884682108,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1982",9.906307311,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1983",8.1601417882,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1984",8.0020801163,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1985",7.756668573,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1986",7.3174235058,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1987",6.9264288438,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1988",6.6593878086,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1989",7.126917596,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1990",8.7275,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1991",8.5466666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1992",8.1391666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1993",6.705,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1994",7.025,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1995",7.1341666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1996",6.3225,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1997",5.6825,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1998",4.7133333333,
"AUT","LTINTFORECAST","TOT","PC_PA","A","1999",4.6791666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2000",5.5566666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2001",5.0791666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2002",4.9641666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2003",4.1408333333,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2004",4.1308333333,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2005",3.3941666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2006",3.8,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2007",4.2975,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2008",4.3583333333,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2009",3.9366666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2010",3.2258333333,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2011",3.3191666667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2012",2.3725,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2013",2.01,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2014",1.4875,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2015",0.7463516667,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2016",0.3753925,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2017",0.6657760516,
"AUT","LTINTFORECAST","TOT","PC_PA","A","2018",1.0681760516,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1960",5.5483333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1961",5.8716666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1962",5.1775,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1963",5.2825,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1964",6.4516666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1965",6.4383333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1966",6.6516666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1967",6.6841666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1968",6.545,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1969",7.2933333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1970",7.8041666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1971",7.3216666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1972",7.0441666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1973",7.4941666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1974",8.7683333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1975",8.5158333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1976",9.0883333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1977",8.7625,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1978",8.9275,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1979",9.6933333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1980",11.9,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1981",13.4366666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1982",13.4283333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1983",11.9408333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1984",12.2425,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1985",10.9683333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1986",8.6258333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1987",8.1841666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1988",8.0075,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1989",8.5391666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1990",10.0066666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1991",9.2858333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1992",8.6533333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1993",7.2283333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1994",7.7508333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1995",7.4808333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1996",6.4925,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1997",5.7533333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1998",4.7516666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","1999",4.7491666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2000",5.5925,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2001",5.1308333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2002",4.9866666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2003",4.1808333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2004",4.1525,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2005",3.4283333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2006",3.815,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2007",4.3283333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2008",4.4175,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2009",3.9016666667,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2010",3.4625,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2011",4.2333333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2012",3,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2013",2.41,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2014",1.7133333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2015",0.84,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2016",0.4758333333,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2017",0.8948927182,
"BEL","LTINTFORECAST","TOT","PC_PA","A","2018",1.2972927182,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1960",5.1883333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1961",5.0583333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1962",5.0991666667,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1963",5.0908333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1964",5.1841666667,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1965",5.1991666667,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1966",5.685,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1967",5.8983333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1968",6.725,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1969",7.5583333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1970",7.9658333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1971",6.945,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1972",7.225,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1973",7.5283333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1974",8.87,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1975",8.9933333333,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1976",9.2291666667,
"CAN","LTINTFORECAST","TOT","PC_PA","A","1977",8.6933333333,
