"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINTFORECAST","TOT","PC_PA","A","1968",5.1166666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1969",5.5666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1970",7.1083333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1971",7.0083333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1972",5.0833333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1973",6.9833333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1974",13.1583333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1975",8.525,
"AUS","STINTFORECAST","TOT","PC_PA","A","1976",9.24,
"AUS","STINTFORECAST","TOT","PC_PA","A","1977",10.2125,
"AUS","STINTFORECAST","TOT","PC_PA","A","1978",9.8433333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1979",9.7733333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1980",12.0275,
"AUS","STINTFORECAST","TOT","PC_PA","A","1981",15.0383333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1982",16.8341666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1983",12.1991666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1984",12.1,
"AUS","STINTFORECAST","TOT","PC_PA","A","1985",15.9825,
"AUS","STINTFORECAST","TOT","PC_PA","A","1986",16.4516666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1987",13.75,
"AUS","STINTFORECAST","TOT","PC_PA","A","1988",12.8,
"AUS","STINTFORECAST","TOT","PC_PA","A","1989",17.6116666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1990",14.5433333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1991",10.2258333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1992",6.4658333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1993",5.1516666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1994",5.6566666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1995",7.7258333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1996",7.1516666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1997",5.3958333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1998",5.0016666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1999",5.0116666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2000",6.1775,
"AUS","STINTFORECAST","TOT","PC_PA","A","2001",4.8991666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2002",4.7466666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2003",4.8958333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2004",5.4783333333,
