"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","M3","TOT","IDX2010","Q","1960-Q2",0.002184292,
"ISL","M3","TOT","IDX2010","Q","1960-Q3",0.002270457,
"ISL","M3","TOT","IDX2010","Q","1960-Q4",0.002311231,
"ISL","M3","TOT","IDX2010","Q","1961-Q1",0.002390536,
"ISL","M3","TOT","IDX2010","Q","1961-Q2",0.002520672,
"ISL","M3","TOT","IDX2010","Q","1961-Q3",0.002729135,
"ISL","M3","TOT","IDX2010","Q","1961-Q4",0.002902945,
"ISL","M3","TOT","IDX2010","Q","1962-Q1",0.003101512,
"ISL","M3","TOT","IDX2010","Q","1962-Q2",0.003203679,
"ISL","M3","TOT","IDX2010","Q","1962-Q3",0.003431305,
"ISL","M3","TOT","IDX2010","Q","1962-Q4",0.003651364,
"ISL","M3","TOT","IDX2010","Q","1963-Q1",0.003838523,
"ISL","M3","TOT","IDX2010","Q","1963-Q2",0.004006149,
"ISL","M3","TOT","IDX2010","Q","1963-Q3",0.004095525,
"ISL","M3","TOT","IDX2010","Q","1963-Q4",0.004198757,
"ISL","M3","TOT","IDX2010","Q","1964-Q1",0.004349423,
"ISL","M3","TOT","IDX2010","Q","1964-Q2",0.004554591,
"ISL","M3","TOT","IDX2010","Q","1964-Q3",0.004788311,
"ISL","M3","TOT","IDX2010","Q","1964-Q4",0.005008292,
"ISL","M3","TOT","IDX2010","Q","1965-Q1",0.005169612,
"ISL","M3","TOT","IDX2010","Q","1965-Q2",0.005396678,
"ISL","M3","TOT","IDX2010","Q","1965-Q3",0.005644199,
"ISL","M3","TOT","IDX2010","Q","1965-Q4",0.005995212,
"ISL","M3","TOT","IDX2010","Q","1966-Q1",0.006408349,
"ISL","M3","TOT","IDX2010","Q","1966-Q2",0.006525523,
"ISL","M3","TOT","IDX2010","Q","1966-Q3",0.006689261,
"ISL","M3","TOT","IDX2010","Q","1966-Q4",0.006927718,
"ISL","M3","TOT","IDX2010","Q","1967-Q1",0.007081565,
"ISL","M3","TOT","IDX2010","Q","1967-Q2",0.007154572,
"ISL","M3","TOT","IDX2010","Q","1967-Q3",0.007218743,
"ISL","M3","TOT","IDX2010","Q","1967-Q4",0.007314494,
"ISL","M3","TOT","IDX2010","Q","1968-Q1",0.007429588,
"ISL","M3","TOT","IDX2010","Q","1968-Q2",0.007605053,
"ISL","M3","TOT","IDX2010","Q","1968-Q3",0.007734786,
"ISL","M3","TOT","IDX2010","Q","1968-Q4",0.00774329,
"ISL","M3","TOT","IDX2010","Q","1969-Q1",0.008166932,
"ISL","M3","TOT","IDX2010","Q","1969-Q2",0.008627023,
"ISL","M3","TOT","IDX2010","Q","1969-Q3",0.009035601,
"ISL","M3","TOT","IDX2010","Q","1969-Q4",0.009554893,
"ISL","M3","TOT","IDX2010","Q","1970-Q1",0.01016025,
"ISL","M3","TOT","IDX2010","Q","1970-Q2",0.01088765,
"ISL","M3","TOT","IDX2010","Q","1970-Q3",0.01140424,
"ISL","M3","TOT","IDX2010","Q","1970-Q4",0.01200125,
"ISL","M3","TOT","IDX2010","Q","1971-Q1",0.01263503,
"ISL","M3","TOT","IDX2010","Q","1971-Q2",0.01324695,
"ISL","M3","TOT","IDX2010","Q","1971-Q3",0.0140601,
"ISL","M3","TOT","IDX2010","Q","1971-Q4",0.0145851,
"ISL","M3","TOT","IDX2010","Q","1972-Q1",0.01510337,
"ISL","M3","TOT","IDX2010","Q","1972-Q2",0.01584743,
"ISL","M3","TOT","IDX2010","Q","1972-Q3",0.01644775,
"ISL","M3","TOT","IDX2010","Q","1972-Q4",0.01708834,
"ISL","M3","TOT","IDX2010","Q","1973-Q1",0.01790321,
"ISL","M3","TOT","IDX2010","Q","1973-Q2",0.0196161,
"ISL","M3","TOT","IDX2010","Q","1973-Q3",0.0210909,
"ISL","M3","TOT","IDX2010","Q","1973-Q4",0.02244635,
"ISL","M3","TOT","IDX2010","Q","1974-Q1",0.02388495,
"ISL","M3","TOT","IDX2010","Q","1974-Q2",0.02500784,
"ISL","M3","TOT","IDX2010","Q","1974-Q3",0.02626723,
"ISL","M3","TOT","IDX2010","Q","1974-Q4",0.02839951,
"ISL","M3","TOT","IDX2010","Q","1975-Q1",0.03023833,
"ISL","M3","TOT","IDX2010","Q","1975-Q2",0.03161038,
"ISL","M3","TOT","IDX2010","Q","1975-Q3",0.0342176,
"ISL","M3","TOT","IDX2010","Q","1975-Q4",0.03654086,
"ISL","M3","TOT","IDX2010","Q","1976-Q1",0.03916579,
"ISL","M3","TOT","IDX2010","Q","1976-Q2",0.04148075,
"ISL","M3","TOT","IDX2010","Q","1976-Q3",0.04589859,
"ISL","M3","TOT","IDX2010","Q","1976-Q4",0.04871017,
"ISL","M3","TOT","IDX2010","Q","1977-Q1",0.05271652,
"ISL","M3","TOT","IDX2010","Q","1977-Q2",0.05821314,
"ISL","M3","TOT","IDX2010","Q","1977-Q3",0.06181795,
"ISL","M3","TOT","IDX2010","Q","1977-Q4",0.06795213,
"ISL","M3","TOT","IDX2010","Q","1978-Q1",0.07511895,
"ISL","M3","TOT","IDX2010","Q","1978-Q2",0.08198665,
"ISL","M3","TOT","IDX2010","Q","1978-Q3",0.08972126,
"ISL","M3","TOT","IDX2010","Q","1978-Q4",0.101033,
"ISL","M3","TOT","IDX2010","Q","1979-Q1",0.1136589,
"ISL","M3","TOT","IDX2010","Q","1979-Q2",0.128322,
"ISL","M3","TOT","IDX2010","Q","1979-Q3",0.1418758,
"ISL","M3","TOT","IDX2010","Q","1979-Q4",0.1578706,
"ISL","M3","TOT","IDX2010","Q","1980-Q1",0.1774158,
"ISL","M3","TOT","IDX2010","Q","1980-Q2",0.2018613,
"ISL","M3","TOT","IDX2010","Q","1980-Q3",0.2256298,
"ISL","M3","TOT","IDX2010","Q","1980-Q4",0.2593875,
"ISL","M3","TOT","IDX2010","Q","1981-Q1",0.3026901,
"ISL","M3","TOT","IDX2010","Q","1981-Q2",0.350735,
"ISL","M3","TOT","IDX2010","Q","1981-Q3",0.3999209,
"ISL","M3","TOT","IDX2010","Q","1981-Q4",0.4508461,
"ISL","M3","TOT","IDX2010","Q","1982-Q1",0.5004694,
"ISL","M3","TOT","IDX2010","Q","1982-Q2",0.5515493,
"ISL","M3","TOT","IDX2010","Q","1982-Q3",0.6117041,
"ISL","M3","TOT","IDX2010","Q","1982-Q4",0.6956515,
"ISL","M3","TOT","IDX2010","Q","1983-Q1",0.7959433,
"ISL","M3","TOT","IDX2010","Q","1983-Q2",0.9360346,
"ISL","M3","TOT","IDX2010","Q","1983-Q3",1.125954,
"ISL","M3","TOT","IDX2010","Q","1983-Q4",1.272422,
"ISL","M3","TOT","IDX2010","Q","1984-Q1",1.367745,
"ISL","M3","TOT","IDX2010","Q","1984-Q2",1.453617,
"ISL","M3","TOT","IDX2010","Q","1984-Q3",1.533849,
"ISL","M3","TOT","IDX2010","Q","1984-Q4",1.682995,
"ISL","M3","TOT","IDX2010","Q","1985-Q1",1.862476,
"ISL","M3","TOT","IDX2010","Q","1985-Q2",2.062654,
"ISL","M3","TOT","IDX2010","Q","1985-Q3",2.258087,
"ISL","M3","TOT","IDX2010","Q","1985-Q4",2.485022,
"ISL","M3","TOT","IDX2010","Q","1986-Q1",2.73174,
"ISL","M3","TOT","IDX2010","Q","1986-Q2",2.932625,
"ISL","M3","TOT","IDX2010","Q","1986-Q3",3.149743,
"ISL","M3","TOT","IDX2010","Q","1986-Q4",3.364643,
"ISL","M3","TOT","IDX2010","Q","1987-Q1",3.60264,
"ISL","M3","TOT","IDX2010","Q","1987-Q2",3.973818,
"ISL","M3","TOT","IDX2010","Q","1987-Q3",4.344879,
"ISL","M3","TOT","IDX2010","Q","1987-Q4",4.589606,
"ISL","M3","TOT","IDX2010","Q","1988-Q1",4.882568,
"ISL","M3","TOT","IDX2010","Q","1988-Q2",5.102879,
"ISL","M3","TOT","IDX2010","Q","1988-Q3",5.46023,
"ISL","M3","TOT","IDX2010","Q","1988-Q4",5.746249,
"ISL","M3","TOT","IDX2010","Q","1989-Q1",6.037462,
"ISL","M3","TOT","IDX2010","Q","1989-Q2",6.397947,
"ISL","M3","TOT","IDX2010","Q","1989-Q3",6.721534,
"ISL","M3","TOT","IDX2010","Q","1989-Q4",7.162912,
"ISL","M3","TOT","IDX2010","Q","1990-Q1",7.603121,
"ISL","M3","TOT","IDX2010","Q","1990-Q2",7.979355,
"ISL","M3","TOT","IDX2010","Q","1990-Q3",8.234461,
"ISL","M3","TOT","IDX2010","Q","1990-Q4",8.526502,
"ISL","M3","TOT","IDX2010","Q","1991-Q1",8.592183,
"ISL","M3","TOT","IDX2010","Q","1991-Q2",8.945788,
"ISL","M3","TOT","IDX2010","Q","1991-Q3",9.24105,
"ISL","M3","TOT","IDX2010","Q","1991-Q4",9.512662,
"ISL","M3","TOT","IDX2010","Q","1992-Q1",9.704464,
"ISL","M3","TOT","IDX2010","Q","1992-Q2",9.785379,
"ISL","M3","TOT","IDX2010","Q","1992-Q3",9.895401,
"ISL","M3","TOT","IDX2010","Q","1992-Q4",9.923673,
"ISL","M3","TOT","IDX2010","Q","1993-Q1",10.011,
"ISL","M3","TOT","IDX2010","Q","1993-Q2",10.04079,
"ISL","M3","TOT","IDX2010","Q","1993-Q3",10.35592,
"ISL","M3","TOT","IDX2010","Q","1993-Q4",10.39546,
"ISL","M3","TOT","IDX2010","Q","1994-Q1",10.64795,
"ISL","M3","TOT","IDX2010","Q","1994-Q2",10.69859,
"ISL","M3","TOT","IDX2010","Q","1994-Q3",10.68747,
"ISL","M3","TOT","IDX2010","Q","1994-Q4",10.79789,
"ISL","M3","TOT","IDX2010","Q","1995-Q1",10.83852,
"ISL","M3","TOT","IDX2010","Q","1995-Q2",10.86423,
"ISL","M3","TOT","IDX2010","Q","1995-Q3",10.96004,
"ISL","M3","TOT","IDX2010","Q","1995-Q4",11.01879,
"ISL","M3","TOT","IDX2010","Q","1996-Q1",11.25606,
"ISL","M3","TOT","IDX2010","Q","1996-Q2",11.46954,
"ISL","M3","TOT","IDX2010","Q","1996-Q3",11.55423,
"ISL","M3","TOT","IDX2010","Q","1996-Q4",11.69174,
"ISL","M3","TOT","IDX2010","Q","1997-Q1",11.94627,
"ISL","M3","TOT","IDX2010","Q","1997-Q2",12.21794,
"ISL","M3","TOT","IDX2010","Q","1997-Q3",12.43614,
"ISL","M3","TOT","IDX2010","Q","1997-Q4",12.7897,
"ISL","M3","TOT","IDX2010","Q","1998-Q1",13.23536,
"ISL","M3","TOT","IDX2010","Q","1998-Q2",13.76738,
"ISL","M3","TOT","IDX2010","Q","1998-Q3",14.26967,
"ISL","M3","TOT","IDX2010","Q","1998-Q4",14.87512,
"ISL","M3","TOT","IDX2010","Q","1999-Q1",15.5178,
"ISL","M3","TOT","IDX2010","Q","1999-Q2",16.11364,
"ISL","M3","TOT","IDX2010","Q","1999-Q3",16.74984,
"ISL","M3","TOT","IDX2010","Q","1999-Q4",17.32575,
"ISL","M3","TOT","IDX2010","Q","2000-Q1",17.85881,
"ISL","M3","TOT","IDX2010","Q","2000-Q2",18.34525,
"ISL","M3","TOT","IDX2010","Q","2000-Q3",18.81982,
"ISL","M3","TOT","IDX2010","Q","2000-Q4",19.39274,
"ISL","M3","TOT","IDX2010","Q","2001-Q1",20.00539,
"ISL","M3","TOT","IDX2010","Q","2001-Q2",20.68706,
"ISL","M3","TOT","IDX2010","Q","2001-Q3",21.44762,
"ISL","M3","TOT","IDX2010","Q","2001-Q4",22.20533,
"ISL","M3","TOT","IDX2010","Q","2002-Q1",22.90816,
"ISL","M3","TOT","IDX2010","Q","2002-Q2",23.66253,
"ISL","M3","TOT","IDX2010","Q","2002-Q3",24.44497,
"ISL","M3","TOT","IDX2010","Q","2002-Q4",25.27439,
"ISL","M3","TOT","IDX2010","Q","2003-Q1",26.33846,
"ISL","M3","TOT","IDX2010","Q","2003-Q2",27.58457,
"ISL","M3","TOT","IDX2010","Q","2003-Q3",28.84741,
"ISL","M3","TOT","IDX2010","Q","2003-Q4",30.19619,
"ISL","M3","TOT","IDX2010","Q","2004-Q1",31.44175,
"ISL","M3","TOT","IDX2010","Q","2004-Q2",32.71688,
"ISL","M3","TOT","IDX2010","Q","2004-Q3",33.96748,
"ISL","M3","TOT","IDX2010","Q","2004-Q4",35.2841,
"ISL","M3","TOT","IDX2010","Q","2005-Q1",36.884,
"ISL","M3","TOT","IDX2010","Q","2005-Q2",38.53777,
"ISL","M3","TOT","IDX2010","Q","2005-Q3",40.49665,
"ISL","M3","TOT","IDX2010","Q","2005-Q4",42.68843,
"ISL","M3","TOT","IDX2010","Q","2006-Q1",44.80837,
"ISL","M3","TOT","IDX2010","Q","2006-Q2",46.66099,
"ISL","M3","TOT","IDX2010","Q","2006-Q3",48.39403,
"ISL","M3","TOT","IDX2010","Q","2006-Q4",50.72844,
"ISL","M3","TOT","IDX2010","Q","2007-Q1",54.72942,
"ISL","M3","TOT","IDX2010","Q","2007-Q2",60.64142,
"ISL","M3","TOT","IDX2010","Q","2007-Q3",67.42496,
"ISL","M3","TOT","IDX2010","Q","2007-Q4",74.66672,
"ISL","M3","TOT","IDX2010","Q","2008-Q1",81.18107,
"ISL","M3","TOT","IDX2010","Q","2008-Q2",87.24082,
"ISL","M3","TOT","IDX2010","Q","2008-Q3",94.06405,
"ISL","M3","TOT","IDX2010","Q","2008-Q4",99.17216,
"ISL","M3","TOT","IDX2010","Q","2009-Q1",103.4872,
"ISL","M3","TOT","IDX2010","Q","2009-Q2",106.2594,
"ISL","M3","TOT","IDX2010","Q","2009-Q3",106.3476,
"ISL","M3","TOT","IDX2010","Q","2009-Q4",105.6687,
"ISL","M3","TOT","IDX2010","Q","2010-Q1",103.69,
"ISL","M3","TOT","IDX2010","Q","2010-Q2",101.1527,
"ISL","M3","TOT","IDX2010","Q","2010-Q3",98.62455,
"ISL","M3","TOT","IDX2010","Q","2010-Q4",96.53278,
"ISL","M3","TOT","IDX2010","Q","2011-Q1",95.45276,
"ISL","M3","TOT","IDX2010","Q","2011-Q2",96.22028,
"ISL","M3","TOT","IDX2010","Q","2011-Q3",98.30695,
"ISL","M3","TOT","IDX2010","Q","2011-Q4",100.6438,
"ISL","M3","TOT","IDX2010","Q","2012-Q1",102.3294,
"ISL","M3","TOT","IDX2010","Q","2012-Q2",98.64371,
"ISL","M3","TOT","IDX2010","Q","2012-Q3",96.54984,
"ISL","M3","TOT","IDX2010","Q","2012-Q4",95.55835,
"ISL","M3","TOT","IDX2010","Q","2013-Q1",95.58286,
"ISL","M3","TOT","IDX2010","Q","2013-Q2",96.29086,
"ISL","M3","TOT","IDX2010","Q","2013-Q3",97.61159,
"ISL","M3","TOT","IDX2010","Q","2013-Q4",99.20906,
"ISL","M3","TOT","IDX2010","Q","2014-Q1",100.4704,
"ISL","M3","TOT","IDX2010","Q","2014-Q2",102.2256,
"ISL","M3","TOT","IDX2010","Q","2014-Q3",104.2989,
"ISL","M3","TOT","IDX2010","Q","2014-Q4",106.971,
"ISL","M3","TOT","IDX2010","Q","2015-Q1",110.3643,
"ISL","M3","TOT","IDX2010","Q","2015-Q2",113.2821,
"ISL","M3","TOT","IDX2010","Q","2015-Q3",114.6304,
"ISL","M3","TOT","IDX2010","Q","2015-Q4",113.5091,
"ISL","M3","TOT","IDX2010","Q","2016-Q1",111.5222,
"ISL","M3","TOT","IDX2010","Q","2016-Q2",108.9895,
"ISL","M3","TOT","IDX2010","Q","2016-Q3",107.5617,
"ISL","M3","TOT","IDX2010","Q","2016-Q4",108.5829,
"ISL","M3","TOT","IDX2010","Q","2017-Q1",109.2389,
"ISL","M3","TOT","IDX2010","A","1961",0.002635822,
"ISL","M3","TOT","IDX2010","A","1962",0.003346965,
"ISL","M3","TOT","IDX2010","A","1963",0.004034739,
"ISL","M3","TOT","IDX2010","A","1964",0.004675154,
"ISL","M3","TOT","IDX2010","A","1965",0.005551425,
"ISL","M3","TOT","IDX2010","A","1966",0.006637713,
"ISL","M3","TOT","IDX2010","A","1967",0.007192343,
"ISL","M3","TOT","IDX2010","A","1968",0.007628179,
"ISL","M3","TOT","IDX2010","A","1969",0.008846113,
"ISL","M3","TOT","IDX2010","A","1970",0.01111335,
"ISL","M3","TOT","IDX2010","A","1971",0.01363179,
"ISL","M3","TOT","IDX2010","A","1972",0.01612172,
"ISL","M3","TOT","IDX2010","A","1973",0.02026414,
"ISL","M3","TOT","IDX2010","A","1974",0.02588988,
"ISL","M3","TOT","IDX2010","A","1975",0.03315179,
"ISL","M3","TOT","IDX2010","A","1976",0.04381383,
"ISL","M3","TOT","IDX2010","A","1977",0.06017493,
"ISL","M3","TOT","IDX2010","A","1978",0.08696496,
"ISL","M3","TOT","IDX2010","A","1979",0.1354318,
"ISL","M3","TOT","IDX2010","A","1980",0.2160736,
"ISL","M3","TOT","IDX2010","A","1981",0.376048,
"ISL","M3","TOT","IDX2010","A","1982",0.5898436,
"ISL","M3","TOT","IDX2010","A","1983",1.032588,
"ISL","M3","TOT","IDX2010","A","1984",1.509552,
"ISL","M3","TOT","IDX2010","A","1985",2.16706,
"ISL","M3","TOT","IDX2010","A","1986",3.044688,
"ISL","M3","TOT","IDX2010","A","1987",4.127736,
"ISL","M3","TOT","IDX2010","A","1988",5.297981,
"ISL","M3","TOT","IDX2010","A","1989",6.579964,
"ISL","M3","TOT","IDX2010","A","1990",8.085859,
"ISL","M3","TOT","IDX2010","A","1991",9.072921,
"ISL","M3","TOT","IDX2010","A","1992",9.827229,
"ISL","M3","TOT","IDX2010","A","1993",10.20079,
"ISL","M3","TOT","IDX2010","A","1994",10.70798,
"ISL","M3","TOT","IDX2010","A","1995",10.9204,
"ISL","M3","TOT","IDX2010","A","1996",11.49289,
"ISL","M3","TOT","IDX2010","A","1997",12.34751,
"ISL","M3","TOT","IDX2010","A","1998",14.03688,
"ISL","M3","TOT","IDX2010","A","1999",16.42676,
"ISL","M3","TOT","IDX2010","A","2000",18.60415,
"ISL","M3","TOT","IDX2010","A","2001",21.08635,
"ISL","M3","TOT","IDX2010","A","2002",24.07251,
"ISL","M3","TOT","IDX2010","A","2003",28.24166,
"ISL","M3","TOT","IDX2010","A","2004",33.35255,
"ISL","M3","TOT","IDX2010","A","2005",39.65171,
"ISL","M3","TOT","IDX2010","A","2006",47.64796,
"ISL","M3","TOT","IDX2010","A","2007",64.36562,
"ISL","M3","TOT","IDX2010","A","2008",90.41452,
"ISL","M3","TOT","IDX2010","A","2009",105.4407,
"ISL","M3","TOT","IDX2010","A","2010",100,
"ISL","M3","TOT","IDX2010","A","2011",97.65596,
"ISL","M3","TOT","IDX2010","A","2012",98.27033,
"ISL","M3","TOT","IDX2010","A","2013",97.17359,
