"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2014",44.5,
"AUS","GPENSION","WOMEN","PC_PRERETEARN","A","2014",40.9,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2014",78.1,
"AUT","GPENSION","WOMEN","PC_PRERETEARN","A","2014",78.1,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2014",46.6,
"BEL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",46.6,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2014",36.7,
"CAN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",36.7,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2014",49,
"CZE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",49,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2014",67.8,
"DNK","GPENSION","WOMEN","PC_PRERETEARN","A","2014",67.8,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2014",55.8,
"FIN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",55.8,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2014",55.4,
"FRA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",55.4,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2014",37.5,
"DEU","GPENSION","WOMEN","PC_PRERETEARN","A","2014",37.5,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2014",66.7,
"GRC","GPENSION","WOMEN","PC_PRERETEARN","A","2014",66.7,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2014",58.7,
"HUN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",58.7,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2014",69.2,
"ISL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",69.2,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2014",34.7,
"IRL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",34.7,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2014",69.5,
"ITA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",69.5,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2014",35.1,
"JPN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",35.1,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2014",39.3,
"KOR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",39.3,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2014",76.8,
"LUX","GPENSION","WOMEN","PC_PRERETEARN","A","2014",76.8,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2014",25.5,
"MEX","GPENSION","WOMEN","PC_PRERETEARN","A","2014",23.6,
"NLD","GPENSION","MEN","PC_PRERETEARN","A","2014",90.5,
"NLD","GPENSION","WOMEN","PC_PRERETEARN","A","2014",90.5,
"NZL","GPENSION","MEN","PC_PRERETEARN","A","2014",40.1,
"NZL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",40.1,
"NOR","GPENSION","MEN","PC_PRERETEARN","A","2014",49.8,
"NOR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",49.8,
"POL","GPENSION","MEN","PC_PRERETEARN","A","2014",43.1,
"POL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",43.1,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2014",73.8,
"PRT","GPENSION","WOMEN","PC_PRERETEARN","A","2014",73.8,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2014",62.1,
"SVK","GPENSION","WOMEN","PC_PRERETEARN","A","2014",62.1,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2014",82.1,
"ESP","GPENSION","WOMEN","PC_PRERETEARN","A","2014",82.1,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2014",56,
"SWE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",56,
"CHE","GPENSION","MEN","PC_PRERETEARN","A","2014",40.2,
"CHE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",39.9,
"TUR","GPENSION","MEN","PC_PRERETEARN","A","2014",75.7,
"TUR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",75.7,
"GBR","GPENSION","MEN","PC_PRERETEARN","A","2014",21.6,
"GBR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",21.6,
