"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.8,
"AUS","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.2,
"AUT","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",13.8,
"AUT","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",15.8,
"BEL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.1,
"BEL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",9.3,
"CAN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.2,
"CAN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7,
"CZE","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.5,
"CZE","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.7,
"DNK","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",11.3,
"DNK","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",12.6,
"FIN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.8,
"FIN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",11.7,
"FRA","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",10.4,
"FRA","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",12.3,
"DEU","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",14.5,
"DEU","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",15.7,
"GRC","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",12.7,
"GRC","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",14.1,
"HUN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.5,
"HUN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.1,
"ISL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",12.1,
"ISL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",13.4,
"IRL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.5,
"IRL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7.3,
"ITA","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",12.2,
"ITA","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",14,
"JPN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.6,
"JPN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7.7,
"KOR","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.2,
"KOR","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.4,
"LUX","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",17.8,
"LUX","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",20.4,
"MEX","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",4.5,
"MEX","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",4.5,
"NLD","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",17.2,
"NLD","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",19.6,
"NZL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.3,
"NZL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",9.3,
"NOR","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.4,
"NOR","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.8,
"POL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.5,
"POL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7.7,
"PRT","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",11.8,
"PRT","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",13.6,
"SVK","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.6,
"SVK","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.2,
"ESP","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",14.6,
"ESP","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",17.2,
"SWE","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.7,
"SWE","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.9,
"CHE","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.7,
"CHE","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",9,
"TUR","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",12.3,
"TUR","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",14.3,
"GBR","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",3.6,
"GBR","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",3.9,
"USA","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",5.7,
"USA","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",6.4,
"CHL","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",5.8,
"CHL","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",5.8,
"EST","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.2,
"EST","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.9,
"ISR","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",10.7,
"ISR","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",11.1,
"SVN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.5,
"SVN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.6,
"ARG","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",11.3,
"ARG","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",14.9,
"BRA","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",17.3,
"BRA","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",14.5,
"CHN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",13.7,
"CHN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",16.2,
"IND","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",16,
"IND","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",16.9,
"IDN","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",2.3,
"IDN","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",2.3,
"RUS","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.6,
"RUS","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",12.8,
"SAU","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",14.8,
"SAU","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",15.6,
"ZAF","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",1.4,
"ZAF","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",1.8,
"OAVG","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.6,
"OAVG","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.9,
"EU28","GPENSIONWEALTH","MEN","MULTAGEARN","A","2014",10.4,
"EU28","GPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",11.9,
