"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NPENSION","MEN","PC_PRERETEARN","A","2014",58,
"AUS","NPENSION","WOMEN","PC_PRERETEARN","A","2014",53.4,
"AUT","NPENSION","MEN","PC_PRERETEARN","A","2014",91.6,
"AUT","NPENSION","WOMEN","PC_PRERETEARN","A","2014",91.6,
"BEL","NPENSION","MEN","PC_PRERETEARN","A","2014",60.9,
"BEL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.9,
"CAN","NPENSION","MEN","PC_PRERETEARN","A","2014",47.9,
"CAN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",47.9,
"CZE","NPENSION","MEN","PC_PRERETEARN","A","2014",63.8,
"CZE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",63.8,
"DNK","NPENSION","MEN","PC_PRERETEARN","A","2014",66.4,
"DNK","NPENSION","WOMEN","PC_PRERETEARN","A","2014",66.4,
"FIN","NPENSION","MEN","PC_PRERETEARN","A","2014",63.5,
"FIN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",63.5,
"FRA","NPENSION","MEN","PC_PRERETEARN","A","2014",67.7,
"FRA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",67.7,
"DEU","NPENSION","MEN","PC_PRERETEARN","A","2014",50,
"DEU","NPENSION","WOMEN","PC_PRERETEARN","A","2014",50,
"GRC","NPENSION","MEN","PC_PRERETEARN","A","2014",72.9,
"GRC","NPENSION","WOMEN","PC_PRERETEARN","A","2014",72.9,
"HUN","NPENSION","MEN","PC_PRERETEARN","A","2014",89.6,
"HUN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.6,
"ISL","NPENSION","MEN","PC_PRERETEARN","A","2014",76.7,
"ISL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",76.7,
"IRL","NPENSION","MEN","PC_PRERETEARN","A","2014",42.2,
"IRL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",42.2,
"ITA","NPENSION","MEN","PC_PRERETEARN","A","2014",79.7,
"ITA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",79.7,
"JPN","NPENSION","MEN","PC_PRERETEARN","A","2014",40.4,
"JPN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",40.4,
"KOR","NPENSION","MEN","PC_PRERETEARN","A","2014",45,
"KOR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",45,
"LUX","NPENSION","MEN","PC_PRERETEARN","A","2014",88.6,
"LUX","NPENSION","WOMEN","PC_PRERETEARN","A","2014",88.6,
"MEX","NPENSION","MEN","PC_PRERETEARN","A","2014",28.4,
"MEX","NPENSION","WOMEN","PC_PRERETEARN","A","2014",26.2,
"NLD","NPENSION","MEN","PC_PRERETEARN","A","2014",95.7,
"NLD","NPENSION","WOMEN","PC_PRERETEARN","A","2014",95.7,
"NZL","NPENSION","MEN","PC_PRERETEARN","A","2014",43,
"NZL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",43,
"NOR","NPENSION","MEN","PC_PRERETEARN","A","2014",60.2,
"NOR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.2,
"POL","NPENSION","MEN","PC_PRERETEARN","A","2014",52.8,
"POL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",52.8,
"PRT","NPENSION","MEN","PC_PRERETEARN","A","2014",89.5,
"PRT","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.5,
"SVK","NPENSION","MEN","PC_PRERETEARN","A","2014",80.6,
"SVK","NPENSION","WOMEN","PC_PRERETEARN","A","2014",80.6,
"ESP","NPENSION","MEN","PC_PRERETEARN","A","2014",89.5,
"ESP","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.5,
"SWE","NPENSION","MEN","PC_PRERETEARN","A","2014",55.8,
"SWE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",55.8,
"CHE","NPENSION","MEN","PC_PRERETEARN","A","2014",46.9,
"CHE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",46.5,
"TUR","NPENSION","MEN","PC_PRERETEARN","A","2014",104.8,
"TUR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",104.8,
"GBR","NPENSION","MEN","PC_PRERETEARN","A","2014",28.5,
"GBR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",28.5,
"USA","NPENSION","MEN","PC_PRERETEARN","A","2014",44.8,
"USA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",44.8,
"CHL","NPENSION","MEN","PC_PRERETEARN","A","2014",37.7,
"CHL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",33.1,
"EST","NPENSION","MEN","PC_PRERETEARN","A","2014",59.8,
"EST","NPENSION","WOMEN","PC_PRERETEARN","A","2014",59.8,
"ISR","NPENSION","MEN","PC_PRERETEARN","A","2014",68.8,
"ISR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",61.9,
"SVN","NPENSION","MEN","PC_PRERETEARN","A","2014",57.4,
"SVN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.4,
"ARG","NPENSION","MEN","PC_PRERETEARN","A","2014",87.5,
"ARG","NPENSION","WOMEN","PC_PRERETEARN","A","2014",87.3,
"BRA","NPENSION","MEN","PC_PRERETEARN","A","2014",76.4,
"BRA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",58.1,
"CHN","NPENSION","MEN","PC_PRERETEARN","A","2014",80.5,
"CHN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",75,
"IND","NPENSION","MEN","PC_PRERETEARN","A","2014",109.7,
"IND","NPENSION","WOMEN","PC_PRERETEARN","A","2014",103.8,
"IDN","NPENSION","MEN","PC_PRERETEARN","A","2014",13.8,
"IDN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",12.5,
"RUS","NPENSION","MEN","PC_PRERETEARN","A","2014",86.4,
"RUS","NPENSION","WOMEN","PC_PRERETEARN","A","2014",73.7,
"SAU","NPENSION","MEN","PC_PRERETEARN","A","2014",65.4,
"SAU","NPENSION","WOMEN","PC_PRERETEARN","A","2014",65.4,
"ZAF","NPENSION","MEN","PC_PRERETEARN","A","2014",11.8,
"ZAF","NPENSION","WOMEN","PC_PRERETEARN","A","2014",11.8,
"OAVG","NPENSION","MEN","PC_PRERETEARN","A","2014",63.2,
"OAVG","NPENSION","WOMEN","PC_PRERETEARN","A","2014",62.7,
"EU28","NPENSION","MEN","PC_PRERETEARN","A","2014",70.9,
"EU28","NPENSION","WOMEN","PC_PRERETEARN","A","2014",70.7,
