"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.8,
"AUS","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.2,
"AUT","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",10.7,
"AUT","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",12.3,
"BEL","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.1,
"BEL","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7,
"CAN","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.2,
"CAN","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7,
"CZE","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.5,
"CZE","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.7,
"DNK","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.9,
"DNK","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7.7,
"FIN","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.9,
"FIN","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",9.4,
"FRA","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.1,
"FRA","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.8,
"DEU","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",12,
"DEU","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",13,
"GRC","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",10.6,
"GRC","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",11.8,
"HUN","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.5,
"HUN","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",10.1,
"ISL","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",8.9,
"ISL","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",9.9,
"IRL","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",6.3,
"IRL","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",7.2,
"ITA","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",9.6,
"ITA","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",11.1,
"JPN","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",5.9,
"JPN","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",6.9,
"KOR","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.1,
"KOR","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.4,
"LUX","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",14.4,
"LUX","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",16.5,
"MEX","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",4.5,
"MEX","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",4.5,
"NLD","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",11.3,
"NLD","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",12.9,
"NZL","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.2,
"NZL","NPENSIONWEALTH","WOMEN","MULTAGEARN","A","2014",8.1,
"NOR","NPENSIONWEALTH","MEN","MULTAGEARN","A","2014",7.8,
