"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONASSET","TOT","MLN_USD","A","2001",263407.725,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2002",292622.88,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2003",358915.039,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2004",415174.116,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2005",549124.554,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2006",645868.776,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2007",977970.414,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2008",1058376.109,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2009",839274.965,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2010",986838.568,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2011",1397418.348,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2012",1383455.627,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2013",1440897.935,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2014",1634817.606,
"AUS","PENSIONASSET","TOT","MLN_USD","A","2015",1468704.407,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2001",73.598,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2002",68.769,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2003",67.162,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2004",69.969,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2005",77.992,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2006",87.107,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2007",106.054,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2008",93.341,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2009",82.192,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2010",89.286,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2011",92.301,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2012",91.045,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2013",101.978,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2014",109.523,
"AUS","PENSIONASSET","TOT","PC_GDP","A","2015",118.693,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2001",5584.798,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2002",8749.304,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2003",11795.157,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2004",14124.977,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2005",13833.162,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2006",16783.012,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2007",19358.643,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2008",17460.124,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2009",20259.309,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2010",20332.843,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2011",19103.229,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2012",21513.655,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2013",25172.809,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2014",23275.652,
"AUT","PENSIONASSET","TOT","MLN_USD","A","2015",22393.266,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2001",2.879,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2002",3.687,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2003",4.043,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2004",4.294,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2005",4.635,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2006",4.782,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2007",4.658,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2008",4.298,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2009",4.914,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2010",5.165,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2011",4.784,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2012",5.142,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2013",5.659,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2014",5.802,
"AUT","PENSIONASSET","TOT","PC_GDP","A","2015",6.052,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2001",12571.952,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2002",13828.892,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2003",13585.013,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2004",15737.452,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2005",15708.461,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2006",17601.403,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2007",21774.733,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2008",15874.544,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2009",19878.839,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2010",17782.775,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2011",20224.837,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2012",22752.982,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2013",27212.909,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2014",27560.876,
"BEL","PENSIONASSET","TOT","MLN_USD","A","2015",25956.077,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2001",5.367,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2002",4.794,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2003",3.806,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2004",3.868,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2005",4.275,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2006",4.091,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2007",4.291,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2008",3.222,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2009",3.956,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2010",3.645,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2011",4.123,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2012",4.451,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2013",5.025,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2014",5.669,
"BEL","PENSIONASSET","TOT","PC_GDP","A","2015",5.823,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2000",402773.102,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2001",365143.966,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2002",352501.165,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2003",484289.701,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2004",578233.948,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2005",686688.776,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2006",786329.34,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2007",966116.324,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2008",673332.884,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2009",879373.228,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2010",1047503.567,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2011",1072055.632,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2012",1199201.316,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2013",1260156.579,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2014",1297731.701,
"CAN","PENSIONASSET","TOT","MLN_USD","A","2015",1195695.809,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2000",55.561,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2001",50.989,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2002",46.812,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2003",50.059,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2004",52.282,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2005",56.431,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2006",61.406,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2007",60.667,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2008",49.885,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2009",58.72,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2010",63.078,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2011",61.843,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2012",65.473,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2013",70.86,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2014",76.29,
"CAN","PENSIONASSET","TOT","PC_GDP","A","2015",83.439,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2001",1472.098,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2002",2229.732,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2003",3127.122,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2004",4462.449,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2005",5019.386,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2006",6991.167,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2007",9248.644,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2008",9909.287,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2009",11752.538,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2010",12395.19,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2011",12412.663,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2012",14337.364,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2013",14950.658,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2014",14853.952,
"CZE","PENSIONASSET","TOT","MLN_USD","A","2015",15028.456,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2001",2.083,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2002",2.513,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2003",2.864,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2004",3.264,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2005",3.788,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2006",4.161,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2007",4.363,
"CZE","PENSIONASSET","TOT","PC_GDP","A","2008",4.774,
