"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",263407.725,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",292622.88,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",358915.039,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",442936.375,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",583888.268,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",678162.183,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",1014340.569,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1095339.382,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",867428.773,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",1017081.539,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1437783.991,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",1426024.236,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",1482945.643,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",1681786.338,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",1511771.313,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",5584.798,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",8749.304,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",11795.157,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",14124.977,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",13833.162,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",16783.012,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",19358.643,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",17460.124,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",20836.057,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",20914.865,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",19745.146,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",22257.271,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",25993.714,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",,"L"
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",,"L"
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",12571.952,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",13828.892,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",13585.013,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",15737.453,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",15708.461,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",17601.402,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",21774.733,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",15874.544,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",19878.839,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",17782.775,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",20224.837,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",22752.982,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",27212.909,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",27560.876,
"BEL","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",25956.077,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",837374.192,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",757865.114,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",737387.339,
