"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CGEXP","DEF","PC","A","2007",2.28,
"AUT","CGEXP","DEF","PC","A","2008",2.64,
"AUT","CGEXP","DEF","PC","A","2009",1.92,
"AUT","CGEXP","DEF","PC","A","2010",1.82,
"AUT","CGEXP","DEF","PC","A","2011",1.81,
"AUT","CGEXP","DEF","PC","A","2012",1.71,
"AUT","CGEXP","DEF","PC","A","2013",1.82,
"AUT","CGEXP","DEF","PC","A","2014",1.63,
"AUT","CGEXP","DEF","PC","A","2015",1.66,
"AUT","CGEXP","HEALTH","PC","A","2007",3.36,
"AUT","CGEXP","HEALTH","PC","A","2008",3.58,
"AUT","CGEXP","HEALTH","PC","A","2009",3.45,
"AUT","CGEXP","HEALTH","PC","A","2010",3.79,
"AUT","CGEXP","HEALTH","PC","A","2011",3.77,
"AUT","CGEXP","HEALTH","PC","A","2012",3.89,
"AUT","CGEXP","HEALTH","PC","A","2013",3.81,
"AUT","CGEXP","HEALTH","PC","A","2014",3.5,
"AUT","CGEXP","HEALTH","PC","A","2015",3.8,
"AUT","CGEXP","HOUCOMM","PC","A","2007",1.45,
"AUT","CGEXP","HOUCOMM","PC","A","2008",1.45,
"AUT","CGEXP","HOUCOMM","PC","A","2009",0.2,
"AUT","CGEXP","HOUCOMM","PC","A","2010",0.22,
"AUT","CGEXP","HOUCOMM","PC","A","2011",0.2,
"AUT","CGEXP","HOUCOMM","PC","A","2012",0.18,
"AUT","CGEXP","HOUCOMM","PC","A","2013",0.13,
"AUT","CGEXP","HOUCOMM","PC","A","2014",0.11,
"AUT","CGEXP","HOUCOMM","PC","A","2015",0.13,
"AUT","CGEXP","PUBORD","PC","A","2007",3.44,
"AUT","CGEXP","PUBORD","PC","A","2008",3.42,
"AUT","CGEXP","PUBORD","PC","A","2009",3.32,
"AUT","CGEXP","PUBORD","PC","A","2010",3.38,
"AUT","CGEXP","PUBORD","PC","A","2011",3.37,
"AUT","CGEXP","PUBORD","PC","A","2012",3.37,
"AUT","CGEXP","PUBORD","PC","A","2013",3.35,
"AUT","CGEXP","PUBORD","PC","A","2014",3.25,
"AUT","CGEXP","PUBORD","PC","A","2015",3.46,
"BEL","CGEXP","ECOAFF","PC","A","2007",5.83,
"BEL","CGEXP","ECOAFF","PC","A","2008",6.46,
"BEL","CGEXP","ECOAFF","PC","A","2009",7.01,
"BEL","CGEXP","ECOAFF","PC","A","2010",7.44,
"BEL","CGEXP","ECOAFF","PC","A","2011",8.36,
"BEL","CGEXP","ECOAFF","PC","A","2012",9.6,
"BEL","CGEXP","ECOAFF","PC","A","2013",7.52,
"BEL","CGEXP","ECOAFF","PC","A","2014",7.59,
"BEL","CGEXP","ECOAFF","PC","A","2015",7.05,
"BEL","CGEXP","RECULTREL","PC","A","2007",0.28,
"BEL","CGEXP","RECULTREL","PC","A","2008",0.26,
"BEL","CGEXP","RECULTREL","PC","A","2009",0.27,
"BEL","CGEXP","RECULTREL","PC","A","2010",0.26,
"BEL","CGEXP","RECULTREL","PC","A","2011",0.24,
