"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",59.44018,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",57.1586,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",54.09777,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",50.06779,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",45.04856,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",42.84462,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",41.72028,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",40.69552,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",38.21686,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",37.47162,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",36.73745,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",36.38463,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",34.1666,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",35.40642,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",43.65345,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",47.10913,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",50.33977,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",62.48719,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",58.35478,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",64.02522,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",67.67892,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",73.68686,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.34107,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.86779,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.51575,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.29469,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.53667,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",70.53651,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",71.61172,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",73.37479,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.01047,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.26021,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",75.84488,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.37356,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.72357,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.03658,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.25144,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.30674,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.32893,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.58589,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",93.9263,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8956,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.0813,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",140.3688,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",142.2427,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",136.8264,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",137.7972,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",126.4584,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",120.3532,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",118.9703,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",118.1121,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",114.5786,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",110.2231,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",107.9977,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",100.0902,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",93.84459,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",101.1343,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",109.4759,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",107.7504,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",110.3704,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.3489,
"BEL","GGDEBT","TOT","PC_GDP","A","2013",118.481,
"BEL","GGDEBT","TOT","PC_GDP","A","2014",129.6698,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.7598,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.4771,
"CAN","GGDEBT","TOT","PC_GDP","A","1995",124.3585,
"CAN","GGDEBT","TOT","PC_GDP","A","1996",130.4724,
"CAN","GGDEBT","TOT","PC_GDP","A","1997",124.3579,
"CAN","GGDEBT","TOT","PC_GDP","A","1998",123.8997,
"CAN","GGDEBT","TOT","PC_GDP","A","1999",114.2691,
"CAN","GGDEBT","TOT","PC_GDP","A","2000",105.4222,
"CAN","GGDEBT","TOT","PC_GDP","A","2001",105.2199,
"CAN","GGDEBT","TOT","PC_GDP","A","2002",103.986,
"CAN","GGDEBT","TOT","PC_GDP","A","2003",99.65713,
"CAN","GGDEBT","TOT","PC_GDP","A","2004",95.72514,
"CAN","GGDEBT","TOT","PC_GDP","A","2005",94.20788,
"CAN","GGDEBT","TOT","PC_GDP","A","2006",91.41594,
"CAN","GGDEBT","TOT","PC_GDP","A","2007",87.16206,
"CAN","GGDEBT","TOT","PC_GDP","A","2008",89.97141,
"CAN","GGDEBT","TOT","PC_GDP","A","2009",103.0748,
"CAN","GGDEBT","TOT","PC_GDP","A","2010",105.2244,
"CAN","GGDEBT","TOT","PC_GDP","A","2011",107.8826,
"CAN","GGDEBT","TOT","PC_GDP","A","2012",111.5424,
"CAN","GGDEBT","TOT","PC_GDP","A","2013",107.5053,
"CAN","GGDEBT","TOT","PC_GDP","A","2014",108.8482,
"CAN","GGDEBT","TOT","PC_GDP","A","2015",115.8694,
"CAN","GGDEBT","TOT","PC_GDP","A","2016",115.5557,
"CZE","GGDEBT","TOT","PC_GDP","A","1995",17.56939,
"CZE","GGDEBT","TOT","PC_GDP","A","1996",16.16709,
"CZE","GGDEBT","TOT","PC_GDP","A","1997",16.54117,
"CZE","GGDEBT","TOT","PC_GDP","A","1998",17.45974,
"CZE","GGDEBT","TOT","PC_GDP","A","1999",23.33982,
"CZE","GGDEBT","TOT","PC_GDP","A","2000",23.94266,
"CZE","GGDEBT","TOT","PC_GDP","A","2001",27.89863,
"CZE","GGDEBT","TOT","PC_GDP","A","2002",30.06462,
"CZE","GGDEBT","TOT","PC_GDP","A","2003",32.45836,
"CZE","GGDEBT","TOT","PC_GDP","A","2004",32.17267,
"CZE","GGDEBT","TOT","PC_GDP","A","2005",31.80233,
"CZE","GGDEBT","TOT","PC_GDP","A","2006",31.52851,
"CZE","GGDEBT","TOT","PC_GDP","A","2007",30.1858,
"CZE","GGDEBT","TOT","PC_GDP","A","2008",34.12791,
"CZE","GGDEBT","TOT","PC_GDP","A","2009",40.92409,
"CZE","GGDEBT","TOT","PC_GDP","A","2010",45.6892,
"CZE","GGDEBT","TOT","PC_GDP","A","2011",48.34729,
"CZE","GGDEBT","TOT","PC_GDP","A","2012",57.87899,
"CZE","GGDEBT","TOT","PC_GDP","A","2013",57.95966,
"CZE","GGDEBT","TOT","PC_GDP","A","2014",56.73984,
"CZE","GGDEBT","TOT","PC_GDP","A","2015",53.43172,
"DNK","GGDEBT","TOT","PC_GDP","A","1995",81.55618,
"DNK","GGDEBT","TOT","PC_GDP","A","1996",79.12813,
"DNK","GGDEBT","TOT","PC_GDP","A","1997",75.0022,
"DNK","GGDEBT","TOT","PC_GDP","A","1998",72.57375,
"DNK","GGDEBT","TOT","PC_GDP","A","1999",67.09552,
"DNK","GGDEBT","TOT","PC_GDP","A","2000",60.45578,
"DNK","GGDEBT","TOT","PC_GDP","A","2001",58.27706,
"DNK","GGDEBT","TOT","PC_GDP","A","2002",58.14748,
"DNK","GGDEBT","TOT","PC_GDP","A","2003",56.06915,
"DNK","GGDEBT","TOT","PC_GDP","A","2004",52.33589,
"DNK","GGDEBT","TOT","PC_GDP","A","2005",45.11943,
"DNK","GGDEBT","TOT","PC_GDP","A","2006",40.49267,
"DNK","GGDEBT","TOT","PC_GDP","A","2007",34.59383,
"DNK","GGDEBT","TOT","PC_GDP","A","2008",41.93991,
"DNK","GGDEBT","TOT","PC_GDP","A","2009",49.26745,
"DNK","GGDEBT","TOT","PC_GDP","A","2010",53.44128,
"DNK","GGDEBT","TOT","PC_GDP","A","2011",60.11119,
"DNK","GGDEBT","TOT","PC_GDP","A","2012",60.61518,
"DNK","GGDEBT","TOT","PC_GDP","A","2013",56.73219,
"DNK","GGDEBT","TOT","PC_GDP","A","2014",58.99057,
"DNK","GGDEBT","TOT","PC_GDP","A","2015",54.18339,
"DNK","GGDEBT","TOT","PC_GDP","A","2016",52.81055,
"FIN","GGDEBT","TOT","PC_GDP","A","1995",62.91246,
"FIN","GGDEBT","TOT","PC_GDP","A","1996",63.75857,
"FIN","GGDEBT","TOT","PC_GDP","A","1997",62.16655,
"FIN","GGDEBT","TOT","PC_GDP","A","1998",59.1193,
"FIN","GGDEBT","TOT","PC_GDP","A","1999",53.01719,
"FIN","GGDEBT","TOT","PC_GDP","A","2000",51.01093,
"FIN","GGDEBT","TOT","PC_GDP","A","2001",48.40519,
"FIN","GGDEBT","TOT","PC_GDP","A","2002",48.23621,
"FIN","GGDEBT","TOT","PC_GDP","A","2003",49.1941,
"FIN","GGDEBT","TOT","PC_GDP","A","2004",49.39707,
"FIN","GGDEBT","TOT","PC_GDP","A","2005",46.53166,
"FIN","GGDEBT","TOT","PC_GDP","A","2006",43.08167,
"FIN","GGDEBT","TOT","PC_GDP","A","2007",39.09392,
"FIN","GGDEBT","TOT","PC_GDP","A","2008",38.27919,
"FIN","GGDEBT","TOT","PC_GDP","A","2009",49.23079,
"FIN","GGDEBT","TOT","PC_GDP","A","2010",55.06467,
"FIN","GGDEBT","TOT","PC_GDP","A","2011",57.52048,
"FIN","GGDEBT","TOT","PC_GDP","A","2012",64.33859,
"FIN","GGDEBT","TOT","PC_GDP","A","2013",64.76556,
"FIN","GGDEBT","TOT","PC_GDP","A","2014",71.67136,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",74.86843,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.5031,
"FRA","GGDEBT","TOT","PC_GDP","A","1995",66.58996,
"FRA","GGDEBT","TOT","PC_GDP","A","1996",72.58565,
"FRA","GGDEBT","TOT","PC_GDP","A","1997",75.24718,
