"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","1970",-1.24925639500297,
"AUS","GGNLEND","TOT","PC_GDP","A","1971",-1.215320678423,
"AUS","GGNLEND","TOT","PC_GDP","A","1972",-1.66325177775099,
"AUS","GGNLEND","TOT","PC_GDP","A","1973",-0.523846625665169,
"AUS","GGNLEND","TOT","PC_GDP","A","1974",-3.1095942358741,
"AUS","GGNLEND","TOT","PC_GDP","A","1975",-4.00595609779528,
"AUS","GGNLEND","TOT","PC_GDP","A","1976",-3.92905440549256,
"AUS","GGNLEND","TOT","PC_GDP","A","1977",-4.80118886581439,
"AUS","GGNLEND","TOT","PC_GDP","A","1978",-4.50281900235128,
"AUS","GGNLEND","TOT","PC_GDP","A","1979",-2.88796051262228,
"AUS","GGNLEND","TOT","PC_GDP","A","1980",-3.0949160110847,
"AUS","GGNLEND","TOT","PC_GDP","A","1981",-3.49582719406534,
"AUS","GGNLEND","TOT","PC_GDP","A","1982",-5.46607998394194,
"AUS","GGNLEND","TOT","PC_GDP","A","1983",-5.86754154829712,
"AUS","GGNLEND","TOT","PC_GDP","A","1984",-5.55763345800748,
"AUS","GGNLEND","TOT","PC_GDP","A","1985",-5.00326182892667,
"AUS","GGNLEND","TOT","PC_GDP","A","1986",-3.37893320754058,
"AUS","GGNLEND","TOT","PC_GDP","A","1987",-1.62997427167265,
"AUS","GGNLEND","TOT","PC_GDP","A","1988",-0.918942984813687,
"AUS","GGNLEND","TOT","PC_GDP","A","1989",-1.947625142699,
"AUS","GGNLEND","TOT","PC_GDP","A","1990",-3.14988301672428,
"AUS","GGNLEND","TOT","PC_GDP","A","1991",-5.66755923286533,
"AUS","GGNLEND","TOT","PC_GDP","A","1992",-6.04990451425988,
"AUS","GGNLEND","TOT","PC_GDP","A","1993",-4.27580745275144,
"AUS","GGNLEND","TOT","PC_GDP","A","1994",-3.9800463569485,
"AUS","GGNLEND","TOT","PC_GDP","A","1995",-2.67750255854441,
"AUS","GGNLEND","TOT","PC_GDP","A","1996",-0.845587047731164,
"AUS","GGNLEND","TOT","PC_GDP","A","1997",0.510354703305429,
"AUS","GGNLEND","TOT","PC_GDP","A","1998",0.774396135265701,
"AUS","GGNLEND","TOT","PC_GDP","A","1999",2.06586396378011,
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.07557340781427,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.676188102271462,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.81263792950734,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.814062320593724,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",1.01057057252301,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.67678560340044,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.58463915250497,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.66058199419923,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.87332443936218,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.61098659892656,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.49433581813361,
