"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","GGWEALTH","TOT","PC_GDP","A","1995",7.027477,
"FIN","GGWEALTH","TOT","PC_GDP","A","1996",6.424652,
"FIN","GGWEALTH","TOT","PC_GDP","A","1997",7.173689,
"FIN","GGWEALTH","TOT","PC_GDP","A","1998",13.7695,
"FIN","GGWEALTH","TOT","PC_GDP","A","1999",48.35924,
"FIN","GGWEALTH","TOT","PC_GDP","A","2000",30.07757,
"FIN","GGWEALTH","TOT","PC_GDP","A","2001",30.43888,
"FIN","GGWEALTH","TOT","PC_GDP","A","2002",30.23083,
"FIN","GGWEALTH","TOT","PC_GDP","A","2003",36.81359,
"FIN","GGWEALTH","TOT","PC_GDP","A","2004",44.74214,
"FIN","GGWEALTH","TOT","PC_GDP","A","2005",56.01842,
"FIN","GGWEALTH","TOT","PC_GDP","A","2006",66.5201,
"FIN","GGWEALTH","TOT","PC_GDP","A","2007",69.73803,
"FIN","GGWEALTH","TOT","PC_GDP","A","2008",49.96774,
"FIN","GGWEALTH","TOT","PC_GDP","A","2009",59.64569,
"FIN","GGWEALTH","TOT","PC_GDP","A","2010",61.75949,
"FIN","GGWEALTH","TOT","PC_GDP","A","2011",48.79488,
"FIN","GGWEALTH","TOT","PC_GDP","A","2012",49.44217,
"FIN","GGWEALTH","TOT","PC_GDP","A","2013",53.05206,
"FIN","GGWEALTH","TOT","PC_GDP","A","2014",53.51188,
"FIN","GGWEALTH","TOT","PC_GDP","A","2015",53.51344,
"FIN","GGWEALTH","TOT","PC_GDP","A","2016",53.02229,
"CHL","GGWEALTH","TOT","PC_GDP","A","2003",-12.064,
"CHL","GGWEALTH","TOT","PC_GDP","A","2004",-10.46937,
"CHL","GGWEALTH","TOT","PC_GDP","A","2005",-7.297771,
"CHL","GGWEALTH","TOT","PC_GDP","A","2006",0.0648506,
"CHL","GGWEALTH","TOT","PC_GDP","A","2007",6.962816,
"CHL","GGWEALTH","TOT","PC_GDP","A","2008",17.12938,
"CHL","GGWEALTH","TOT","PC_GDP","A","2009",6.263999,
"CHL","GGWEALTH","TOT","PC_GDP","A","2010",2.054851,
"CHL","GGWEALTH","TOT","PC_GDP","A","2011",4.899816,
"CHL","GGWEALTH","TOT","PC_GDP","A","2012",2.386775,
"CHL","GGWEALTH","TOT","PC_GDP","A","2013",2.394934,
"CHL","GGWEALTH","TOT","PC_GDP","A","2014",0.6277174,
"CHL","GGWEALTH","TOT","PC_GDP","A","2015",1.37263,
"CHL","GGWEALTH","TOT","PC_GDP","A","2016",-4.032846,
"TUR","GGWEALTH","TOT","PC_GDP","A","2010",-18.79327,
"TUR","GGWEALTH","TOT","PC_GDP","A","2011",-17.29196,
"TUR","GGWEALTH","TOT","PC_GDP","A","2012",-16.84461,
"TUR","GGWEALTH","TOT","PC_GDP","A","2013",-13.52636,
"TUR","GGWEALTH","TOT","PC_GDP","A","2014",-14.29523,
