"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","THND_USD_CAP","A","2009",13365.45,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2010",13585.9,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2011",14159.6,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2012",14371.4,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2013",15761.77,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2014",15951.36,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2015",16115.44,"E"
"AUS","GGREV","TOT","PC_GDP","A","1970",24.5860598849891,
"AUS","GGREV","TOT","PC_GDP","A","1971",25.3622374480512,
"AUS","GGREV","TOT","PC_GDP","A","1972",25.6357719657708,
"AUS","GGREV","TOT","PC_GDP","A","1973",26.3663942443181,
"AUS","GGREV","TOT","PC_GDP","A","1974",28.0902821668844,
"AUS","GGREV","TOT","PC_GDP","A","1975",29.2136990249292,
"AUS","GGREV","TOT","PC_GDP","A","1976",29.531883907209,
"AUS","GGREV","TOT","PC_GDP","A","1977",29.4053765694362,
"AUS","GGREV","TOT","PC_GDP","A","1978",28.8178730648328,
"AUS","GGREV","TOT","PC_GDP","A","1979",29.8169843299337,
"AUS","GGREV","TOT","PC_GDP","A","1980",30.2780368001471,
"AUS","GGREV","TOT","PC_GDP","A","1981",30.111900603592,
"AUS","GGREV","TOT","PC_GDP","A","1982",31.3380486284619,
"AUS","GGREV","TOT","PC_GDP","A","1983",31.3997950081201,
"AUS","GGREV","TOT","PC_GDP","A","1984",33.0610336620197,
"AUS","GGREV","TOT","PC_GDP","A","1985",33.8178748225181,
"AUS","GGREV","TOT","PC_GDP","A","1986",35.1325191746597,
"AUS","GGREV","TOT","PC_GDP","A","1987",34.6186199140335,
"AUS","GGREV","TOT","PC_GDP","A","1988",34.0117494394041,
"AUS","GGREV","TOT","PC_GDP","A","1989",32.8511630895137,
"AUS","GGREV","TOT","PC_GDP","A","1990",33.2210839487392,
"AUS","GGREV","TOT","PC_GDP","A","1991",32.7031060359199,
"AUS","GGREV","TOT","PC_GDP","A","1992",32.2280680839195,
"AUS","GGREV","TOT","PC_GDP","A","1993",33.9307805911689,
"AUS","GGREV","TOT","PC_GDP","A","1994",33.9681547918976,
"AUS","GGREV","TOT","PC_GDP","A","1995",34.1551516433219,
"AUS","GGREV","TOT","PC_GDP","A","1996",35.123087469448,
"AUS","GGREV","TOT","PC_GDP","A","1997",35.3371428959236,
"AUS","GGREV","TOT","PC_GDP","A","1998",36.5774557165862,
"AUS","GGREV","TOT","PC_GDP","A","1999",37.3580342093528,
"AUS","GGREV","TOT","PC_GDP","A","2000",35.0830403856994,
"AUS","GGREV","TOT","PC_GDP","A","2001",35.1677476837243,
"AUS","GGREV","TOT","PC_GDP","A","2002",35.697809470463,
"AUS","GGREV","TOT","PC_GDP","A","2003",35.8511004744734,
"AUS","GGREV","TOT","PC_GDP","A","2004",35.980365066723,
"AUS","GGREV","TOT","PC_GDP","A","2005",36.3261148691282,
"AUS","GGREV","TOT","PC_GDP","A","2006",36.1019458544839,
"AUS","GGREV","TOT","PC_GDP","A","2007",35.0662405868975,
"AUS","GGREV","TOT","PC_GDP","A","2008",32.9761450987866,
"AUS","GGREV","TOT","PC_GDP","A","2009",32.52951041535,
"AUS","GGREV","TOT","PC_GDP","A","2010",32.1646689477483,
"AUS","GGREV","TOT","PC_GDP","A","2011",32.3854476078622,
"AUS","GGREV","TOT","PC_GDP","A","2012",33.2903008715383,
"AUS","GGREV","TOT","PC_GDP","A","2013",33.4746594211102,
"AUS","GGREV","TOT","PC_GDP","A","2014",34.0607019349221,
"AUS","GGREV","TOT","PC_GDP","A","2015",34.2758075588085,
"AUT","GGREV","TOT","THND_USD_CAP","A","2009",19990.93,
"AUT","GGREV","TOT","THND_USD_CAP","A","2010",20368.32,
"AUT","GGREV","TOT","THND_USD_CAP","A","2011",21485.22,
"AUT","GGREV","TOT","THND_USD_CAP","A","2012",22772.27,
"AUT","GGREV","TOT","THND_USD_CAP","A","2013",23804.45,
"AUT","GGREV","TOT","THND_USD_CAP","A","2014",24304.89,
"AUT","GGREV","TOT","THND_USD_CAP","A","2015",25010.31,
"AUT","GGREV","TOT","THND_USD_CAP","A","2016",24831.22,
"AUT","GGREV","TOT","PC_GDP","A","1995",49.7920518005963,
"AUT","GGREV","TOT","PC_GDP","A","1996",51.3869581390497,
"AUT","GGREV","TOT","PC_GDP","A","1997",50.0140672534731,
"AUT","GGREV","TOT","PC_GDP","A","1998",49.6405446018778,
"AUT","GGREV","TOT","PC_GDP","A","1999",49.5987849275923,
"AUT","GGREV","TOT","PC_GDP","A","2000",48.6844882542891,
"AUT","GGREV","TOT","PC_GDP","A","2001",50.7974622673194,
"AUT","GGREV","TOT","PC_GDP","A","2002",49.7367971607933,
"AUT","GGREV","TOT","PC_GDP","A","2003",49.6324338397145,
"AUT","GGREV","TOT","PC_GDP","A","2004",49.0359827717039,
"AUT","GGREV","TOT","PC_GDP","A","2005",48.818227001582,
"AUT","GGREV","TOT","PC_GDP","A","2006",48.0561885033661,
"AUT","GGREV","TOT","PC_GDP","A","2007",48.1357879921548,
"AUT","GGREV","TOT","PC_GDP","A","2008",48.6529066055781,
"AUT","GGREV","TOT","PC_GDP","A","2009",49.1016196465852,
"AUT","GGREV","TOT","PC_GDP","A","2010",48.5903759832331,
"AUT","GGREV","TOT","PC_GDP","A","2011",48.5493840721008,
"AUT","GGREV","TOT","PC_GDP","A","2012",49.2335320066136,
"AUT","GGREV","TOT","PC_GDP","A","2013",49.8691492504648,
"AUT","GGREV","TOT","PC_GDP","A","2014",50.0074118327837,
"AUT","GGREV","TOT","PC_GDP","A","2015",50.5869529989229,
"AUT","GGREV","TOT","PC_GDP","A","2016",49.5435133763453,
"BEL","GGREV","TOT","THND_USD_CAP","A","2009",18567.18,
"BEL","GGREV","TOT","THND_USD_CAP","A","2010",19824.39,
"BEL","GGREV","TOT","THND_USD_CAP","A","2011",20891.07,
"BEL","GGREV","TOT","THND_USD_CAP","A","2012",22018.44,
"BEL","GGREV","TOT","THND_USD_CAP","A","2013",23072.51,
"BEL","GGREV","TOT","THND_USD_CAP","A","2014",23419.57,
"BEL","GGREV","TOT","THND_USD_CAP","A","2015",23557.87,
"BEL","GGREV","TOT","THND_USD_CAP","A","2016",23741.13,
"BEL","GGREV","TOT","PC_GDP","A","1995",47.940609405716,
"BEL","GGREV","TOT","PC_GDP","A","1996",48.7348917764955,
"BEL","GGREV","TOT","PC_GDP","A","1997",49.1114710424881,
"BEL","GGREV","TOT","PC_GDP","A","1998",49.6120516866391,
"BEL","GGREV","TOT","PC_GDP","A","1999",49.5176189267318,
"BEL","GGREV","TOT","PC_GDP","A","2000",48.9803734770856,
"BEL","GGREV","TOT","PC_GDP","A","2001",49.3599033816425,
"BEL","GGREV","TOT","PC_GDP","A","2002",49.5519240906695,
"BEL","GGREV","TOT","PC_GDP","A","2003",48.9534632762165,
"BEL","GGREV","TOT","PC_GDP","A","2004",48.7747019694621,
"BEL","GGREV","TOT","PC_GDP","A","2005",48.8701397517024,
"BEL","GGREV","TOT","PC_GDP","A","2006",48.6739810568722,
"BEL","GGREV","TOT","PC_GDP","A","2007",48.317818010925,
"BEL","GGREV","TOT","PC_GDP","A","2008",49.1807459626171,
"BEL","GGREV","TOT","PC_GDP","A","2009",48.7704318755896,
"BEL","GGREV","TOT","PC_GDP","A","2010",49.344071914347,
"BEL","GGREV","TOT","PC_GDP","A","2011",50.3269006557533,
"BEL","GGREV","TOT","PC_GDP","A","2012",51.6390709677419,
"BEL","GGREV","TOT","PC_GDP","A","2013",52.7290411021849,
"BEL","GGREV","TOT","PC_GDP","A","2014",52.0391120692021,
"BEL","GGREV","TOT","PC_GDP","A","2015",51.3674932418762,
"BEL","GGREV","TOT","PC_GDP","A","2016",50.7727265180463,
"CAN","GGREV","TOT","THND_USD_CAP","A","2009",15712.34,
"CAN","GGREV","TOT","THND_USD_CAP","A","2010",15714.01,
"CAN","GGREV","TOT","THND_USD_CAP","A","2011",16279.53,
"CAN","GGREV","TOT","THND_USD_CAP","A","2012",16559.95,
"CAN","GGREV","TOT","THND_USD_CAP","A","2013",17257.73,
"CAN","GGREV","TOT","THND_USD_CAP","A","2014",17592.85,
"CAN","GGREV","TOT","THND_USD_CAP","A","2015",17584.01,
"CAN","GGREV","TOT","THND_USD_CAP","A","2016",17811.17,
"CAN","GGREV","TOT","PC_GDP","A","1981",39.700262311336,
"CAN","GGREV","TOT","PC_GDP","A","1982",40.3391653502183,
"CAN","GGREV","TOT","PC_GDP","A","1983",39.8014253343531,
"CAN","GGREV","TOT","PC_GDP","A","1984",39.6518795505852,
"CAN","GGREV","TOT","PC_GDP","A","1985",39.5149324900868,
"CAN","GGREV","TOT","PC_GDP","A","1986",40.2982171799028,
"CAN","GGREV","TOT","PC_GDP","A","1987",40.4576815881775,
"CAN","GGREV","TOT","PC_GDP","A","1988",41.0747260174151,
"CAN","GGREV","TOT","PC_GDP","A","1989",41.3247018800465,
"CAN","GGREV","TOT","PC_GDP","A","1990",43.0101429010515,
"CAN","GGREV","TOT","PC_GDP","A","1991",43.9274482912479,
"CAN","GGREV","TOT","PC_GDP","A","1992",44.1604203240417,
"CAN","GGREV","TOT","PC_GDP","A","1993",43.3718144312175,
"CAN","GGREV","TOT","PC_GDP","A","1994",42.8578847305977,
"CAN","GGREV","TOT","PC_GDP","A","1995",43.0284219148271,
"CAN","GGREV","TOT","PC_GDP","A","1996",43.6082812246579,
"CAN","GGREV","TOT","PC_GDP","A","1997",44.2801321382185,
"CAN","GGREV","TOT","PC_GDP","A","1998",44.3554057153831,
"CAN","GGREV","TOT","PC_GDP","A","1999",44.2702318468903,
"CAN","GGREV","TOT","PC_GDP","A","2000",44.0206643807036,
"CAN","GGREV","TOT","PC_GDP","A","2001",42.5061705121854,
"CAN","GGREV","TOT","PC_GDP","A","2002",41.0924526588715,
"CAN","GGREV","TOT","PC_GDP","A","2003",41.0835669411308,
"CAN","GGREV","TOT","PC_GDP","A","2004",40.857270778213,
"CAN","GGREV","TOT","PC_GDP","A","2005",41.0444253747985,
"CAN","GGREV","TOT","PC_GDP","A","2006",41.4203927471189,
"CAN","GGREV","TOT","PC_GDP","A","2007",41.2710386569831,
"CAN","GGREV","TOT","PC_GDP","A","2008",39.8690683111071,
"CAN","GGREV","TOT","PC_GDP","A","2009",40.5050514717376,
"CAN","GGREV","TOT","PC_GDP","A","2010",39.2583010955822,
"CAN","GGREV","TOT","PC_GDP","A","2011",39.166211373276,
"CAN","GGREV","TOT","PC_GDP","A","2012",39.2937709292476,
"CAN","GGREV","TOT","PC_GDP","A","2013",39.1353817144489,
"CAN","GGREV","TOT","PC_GDP","A","2014",39.0231136135689,
"CAN","GGREV","TOT","PC_GDP","A","2015",39.7818842378359,
"CAN","GGREV","TOT","PC_GDP","A","2016",39.7414803328559,
"CZE","GGREV","TOT","THND_USD_CAP","A","2009",10456.93,
"CZE","GGREV","TOT","THND_USD_CAP","A","2010",10620.22,
"CZE","GGREV","TOT","THND_USD_CAP","A","2011",11607.69,
"CZE","GGREV","TOT","THND_USD_CAP","A","2012",11780.26,
"CZE","GGREV","TOT","THND_USD_CAP","A","2013",12611.62,
"CZE","GGREV","TOT","THND_USD_CAP","A","2014",13044.31,
"CZE","GGREV","TOT","THND_USD_CAP","A","2015",13987.29,
"CZE","GGREV","TOT","THND_USD_CAP","A","2016",14172.6,
"CZE","GGREV","TOT","PC_GDP","A","1995",39.2272165411136,
"CZE","GGREV","TOT","PC_GDP","A","1996",37.677620601625,
"CZE","GGREV","TOT","PC_GDP","A","1997",37.8547779805741,
"CZE","GGREV","TOT","PC_GDP","A","1998",37.0140268143379,
"CZE","GGREV","TOT","PC_GDP","A","1999",37.5108197984585,
"CZE","GGREV","TOT","PC_GDP","A","2000",36.7794643423764,
"CZE","GGREV","TOT","PC_GDP","A","2001",37.0828432248612,
"CZE","GGREV","TOT","PC_GDP","A","2002",37.9437389899629,
"CZE","GGREV","TOT","PC_GDP","A","2003",41.9704509920715,
"CZE","GGREV","TOT","PC_GDP","A","2004",39.3731281290368,
"CZE","GGREV","TOT","PC_GDP","A","2005",38.6240321770965,
"CZE","GGREV","TOT","PC_GDP","A","2006",38.4805217948769,
"CZE","GGREV","TOT","PC_GDP","A","2007",39.1728168699027,
"CZE","GGREV","TOT","PC_GDP","A","2008",37.9690501046565,
"CZE","GGREV","TOT","PC_GDP","A","2009",38.0220226444627,
"CZE","GGREV","TOT","PC_GDP","A","2010",38.4679078472385,
