"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1996",4.72895665360607,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1997",4.77278741320743,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",4.94637704716111,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",5.34062760237623,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",5.46838147674638,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",5.63079517552199,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",5.74768246591118,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",5.64104471401101,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",5.23555010338818,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",4.9575762321175,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",4.7398738270115,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",4.92317360996543,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",5.58318460674565,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",6.26881417899961,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",5.99288607092075,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",5.85636939318149,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",5.94136186390358,"E"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",6.34156221745484,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",6.69630494239712,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",7.06072629725535,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1990",10.4765112550283,"E"
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1991",11.05324139127,"E"
