"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15670.84,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15484.24,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16146.34,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15628.89,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17186.98,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17146.65,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17482.54,"E"
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22185.57,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22243.16,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22631.25,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23800.01,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24457,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25635.94,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25543.16,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",25610.25,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.9463467876921,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.7538169274883,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.3911038455378,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.3658212844637,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.1747671411913,
"AUT","GGEXP","TOT","PC_GDP","A","2000",50.7516740923803,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.4571480912301,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.1524942372526,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.4625351781476,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.8919356624554,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.3696949815076,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.6325888065807,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.5261378989414,
"AUT","GGEXP","TOT","PC_GDP","A","2008",50.1838503350062,
