"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2007",9.16,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2008",9.36,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2009",9.74,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2010",9.62,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2011",9.69,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2012",9.85,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2013",9.6,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2014",9.69,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2015",10.07,
"AUS","GGCOST","GSUSE","PC_GDP","A","2007",8.9,
"AUS","GGCOST","GSUSE","PC_GDP","A","2008",9.13,
"AUS","GGCOST","GSUSE","PC_GDP","A","2009",9.42,
"AUS","GGCOST","GSUSE","PC_GDP","A","2010",9.26,
"AUS","GGCOST","GSUSE","PC_GDP","A","2011",9.49,
"AUS","GGCOST","GSUSE","PC_GDP","A","2012",9.34,
"AUS","GGCOST","GSUSE","PC_GDP","A","2013",9.39,
"AUS","GGCOST","GSUSE","PC_GDP","A","2014",9.65,
"AUS","GGCOST","GSUSE","PC_GDP","A","2015",9.9,
"AUS","GGCOST","TOT","PC_GDP","A","2007",20.15,
"AUS","GGCOST","TOT","PC_GDP","A","2008",20.63,
"AUS","GGCOST","TOT","PC_GDP","A","2009",21.28,
"AUS","GGCOST","TOT","PC_GDP","A","2010",20.92,
"AUS","GGCOST","TOT","PC_GDP","A","2011",21.19,
"AUS","GGCOST","TOT","PC_GDP","A","2012",21.26,
"AUS","GGCOST","TOT","PC_GDP","A","2013",21.08,
"AUS","GGCOST","TOT","PC_GDP","A","2014",21.5,
"AUS","GGCOST","TOT","PC_GDP","A","2015",22.17,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2007",10.57,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2008",10.71,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2009",11.37,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2010",11.21,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2011",10.82,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2012",10.79,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2013",10.74,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2014",10.7,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2015",10.81,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2016",10.78,
"AUT","GGCOST","GSUSE","PC_GDP","A","2007",9.47,
"AUT","GGCOST","GSUSE","PC_GDP","A","2008",9.82,
"AUT","GGCOST","GSUSE","PC_GDP","A","2009",10.53,
"AUT","GGCOST","GSUSE","PC_GDP","A","2010",10.44,
"AUT","GGCOST","GSUSE","PC_GDP","A","2011",10.23,
"AUT","GGCOST","GSUSE","PC_GDP","A","2012",10.22,
"AUT","GGCOST","GSUSE","PC_GDP","A","2013",10.36,
"AUT","GGCOST","GSUSE","PC_GDP","A","2014",10.36,
"AUT","GGCOST","GSUSE","PC_GDP","A","2015",10.51,
"AUT","GGCOST","GSUSE","PC_GDP","A","2016",10.63,
"AUT","GGCOST","TOT","PC_GDP","A","2007",22.87,
"AUT","GGCOST","TOT","PC_GDP","A","2008",23.49,
"AUT","GGCOST","TOT","PC_GDP","A","2009",25.07,
"AUT","GGCOST","TOT","PC_GDP","A","2010",24.85,
"AUT","GGCOST","TOT","PC_GDP","A","2011",24.18,
"AUT","GGCOST","TOT","PC_GDP","A","2012",24.15,
"AUT","GGCOST","TOT","PC_GDP","A","2013",24.23,
"AUT","GGCOST","TOT","PC_GDP","A","2014",24.17,
"AUT","GGCOST","TOT","PC_GDP","A","2015",24.41,
"AUT","GGCOST","TOT","PC_GDP","A","2016",24.46,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2007",11.5,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2008",11.83,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2009",12.54,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2010",12.3,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2011",12.34,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2012",12.56,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2013",12.77,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2014",12.68,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2015",12.46,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2016",12.37,
"BEL","GGCOST","GSUSE","PC_GDP","A","2007",10.32,
"BEL","GGCOST","GSUSE","PC_GDP","A","2008",11.01,
"BEL","GGCOST","GSUSE","PC_GDP","A","2009",11.96,
"BEL","GGCOST","GSUSE","PC_GDP","A","2010",11.75,
"BEL","GGCOST","GSUSE","PC_GDP","A","2011",11.94,
"BEL","GGCOST","GSUSE","PC_GDP","A","2012",12.18,
"BEL","GGCOST","GSUSE","PC_GDP","A","2013",12.29,
"BEL","GGCOST","GSUSE","PC_GDP","A","2014",12.2,
"BEL","GGCOST","GSUSE","PC_GDP","A","2015",12.07,
"BEL","GGCOST","GSUSE","PC_GDP","A","2016",11.99,
"BEL","GGCOST","TOT","PC_GDP","A","2007",23.86,
"BEL","GGCOST","TOT","PC_GDP","A","2008",24.92,
"BEL","GGCOST","TOT","PC_GDP","A","2009",26.55,
"BEL","GGCOST","TOT","PC_GDP","A","2010",26.1,
"BEL","GGCOST","TOT","PC_GDP","A","2011",26.38,
"BEL","GGCOST","TOT","PC_GDP","A","2012",26.87,
"BEL","GGCOST","TOT","PC_GDP","A","2013",27.2,
"BEL","GGCOST","TOT","PC_GDP","A","2014",26.99,
"BEL","GGCOST","TOT","PC_GDP","A","2015",26.62,
"BEL","GGCOST","TOT","PC_GDP","A","2016",26.46,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2007",11.73,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2008",11.88,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2009",13.28,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2010",12.87,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2011",12.61,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2012",12.58,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2013",12.53,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2014",12.24,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2015",12.55,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2016",12.78,
"CAN","GGCOST","GSUSE","PC_GDP","A","2007",9.02,
"CAN","GGCOST","GSUSE","PC_GDP","A","2008",9.2,
"CAN","GGCOST","GSUSE","PC_GDP","A","2009",10.15,
"CAN","GGCOST","GSUSE","PC_GDP","A","2010",9.99,
"CAN","GGCOST","GSUSE","PC_GDP","A","2011",9.79,
"CAN","GGCOST","GSUSE","PC_GDP","A","2012",9.66,
"CAN","GGCOST","GSUSE","PC_GDP","A","2013",9.49,
"CAN","GGCOST","GSUSE","PC_GDP","A","2014",9.23,
"CAN","GGCOST","GSUSE","PC_GDP","A","2015",9.57,
"CAN","GGCOST","GSUSE","PC_GDP","A","2016",9.54,
"CAN","GGCOST","TOT","PC_GDP","A","2007",23.54,
"CAN","GGCOST","TOT","PC_GDP","A","2008",24.02,
"CAN","GGCOST","TOT","PC_GDP","A","2009",26.71,
"CAN","GGCOST","TOT","PC_GDP","A","2010",26.11,
"CAN","GGCOST","TOT","PC_GDP","A","2011",25.69,
"CAN","GGCOST","TOT","PC_GDP","A","2012",25.61,
"CAN","GGCOST","TOT","PC_GDP","A","2013",25.43,
"CAN","GGCOST","TOT","PC_GDP","A","2014",24.86,
"CAN","GGCOST","TOT","PC_GDP","A","2015",25.62,
"CAN","GGCOST","TOT","PC_GDP","A","2016",25.81,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2007",7.01,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2008",6.97,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2009",7.47,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2010",7.23,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2011",8.67,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2012",8.85,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2013",8.95,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2014",8.8,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2015",8.73,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2016",8.91,
"CZE","GGCOST","GSUSE","PC_GDP","A","2007",10.42,
"CZE","GGCOST","GSUSE","PC_GDP","A","2008",10.48,
"CZE","GGCOST","GSUSE","PC_GDP","A","2009",11.46,
"CZE","GGCOST","GSUSE","PC_GDP","A","2010",11.36,
"CZE","GGCOST","GSUSE","PC_GDP","A","2011",10.04,
"CZE","GGCOST","GSUSE","PC_GDP","A","2012",9.58,
"CZE","GGCOST","GSUSE","PC_GDP","A","2013",9.83,
