"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXCORP","TOT","PC_GDP","A","1965",3.362,
"AUS","TAXCORP","TOT","PC_GDP","A","1966",2.975,
"AUS","TAXCORP","TOT","PC_GDP","A","1967",2.951,
"AUS","TAXCORP","TOT","PC_GDP","A","1968",3.182,
"AUS","TAXCORP","TOT","PC_GDP","A","1969",3.25,
"AUS","TAXCORP","TOT","PC_GDP","A","1970",3.584,
"AUS","TAXCORP","TOT","PC_GDP","A","1971",3.453,
"AUS","TAXCORP","TOT","PC_GDP","A","1972",3.287,
"AUS","TAXCORP","TOT","PC_GDP","A","1973",3.375,
"AUS","TAXCORP","TOT","PC_GDP","A","1974",3.442,
"AUS","TAXCORP","TOT","PC_GDP","A","1975",3.149,
"AUS","TAXCORP","TOT","PC_GDP","A","1976",3.043,
"AUS","TAXCORP","TOT","PC_GDP","A","1977",3.07,
"AUS","TAXCORP","TOT","PC_GDP","A","1978",2.665,
"AUS","TAXCORP","TOT","PC_GDP","A","1979",2.635,
"AUS","TAXCORP","TOT","PC_GDP","A","1980",3.191,
"AUS","TAXCORP","TOT","PC_GDP","A","1981",2.993,
"AUS","TAXCORP","TOT","PC_GDP","A","1982",2.715,
"AUS","TAXCORP","TOT","PC_GDP","A","1983",2.334,
"AUS","TAXCORP","TOT","PC_GDP","A","1984",2.588,
"AUS","TAXCORP","TOT","PC_GDP","A","1985",2.599,
"AUS","TAXCORP","TOT","PC_GDP","A","1986",2.601,
"AUS","TAXCORP","TOT","PC_GDP","A","1987",2.95,
"AUS","TAXCORP","TOT","PC_GDP","A","1988",3.02,
"AUS","TAXCORP","TOT","PC_GDP","A","1989",3.557,
"AUS","TAXCORP","TOT","PC_GDP","A","1990",3.973,
"AUS","TAXCORP","TOT","PC_GDP","A","1991",3.837,
"AUS","TAXCORP","TOT","PC_GDP","A","1992",3.765,
"AUS","TAXCORP","TOT","PC_GDP","A","1993",3.39,
"AUS","TAXCORP","TOT","PC_GDP","A","1994",3.886,
"AUS","TAXCORP","TOT","PC_GDP","A","1995",4.162,
"AUS","TAXCORP","TOT","PC_GDP","A","1996",4.34,
"AUS","TAXCORP","TOT","PC_GDP","A","1997",4.176,
"AUS","TAXCORP","TOT","PC_GDP","A","1998",4.279,
"AUS","TAXCORP","TOT","PC_GDP","A","1999",4.651,
"AUS","TAXCORP","TOT","PC_GDP","A","2000",6.159,
"AUS","TAXCORP","TOT","PC_GDP","A","2001",4.346,
"AUS","TAXCORP","TOT","PC_GDP","A","2002",4.947,
"AUS","TAXCORP","TOT","PC_GDP","A","2003",4.963,
"AUS","TAXCORP","TOT","PC_GDP","A","2004",5.471,
