"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1965",7.168,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1966",6.85,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1967",6.962,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1968",6.841,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1969",6.669,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1970",6.749,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1971",6.812,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1972",6.653,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1973",6.659,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1974",6.825,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1975",7.449,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1976",7.342,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1977",7.212,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1978",7.693,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1979",8.009,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1980",8.157,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1981",7.999,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1982",8.637,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1983",8.829,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1984",9.197,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1985",9.12,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1986",8.847,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1987",8.633,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1988",8.058,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1989",8.037,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1990",7.815,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1991",7.396,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1992",7.392,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1993",7.834,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1994",8.09,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1995",8.186,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1996",8.067,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1997",7.888,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1998",8.053,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1999",7.817,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2000",8.736,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2001",8.789,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2002",9.065,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2003",8.953,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2004",8.713,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2005",8.411,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2006",8.109,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2007",8.004,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2008",7.518,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2009",7.64,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2010",7.402,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2011",7.173,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2012",7.733,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2013",7.895,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2014",7.477,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1965",34.713,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1966",34.478,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1967",34.044,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1968",33.569,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1969",32.185,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1970",31.966,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1971",31.152,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1972",31.052,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1973",29.58,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1974",27.677,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1975",29.328,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1976",28.704,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1977",28.342,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1978",31.333,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1979",31.819,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1980",31.1,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1981",30.299,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1982",32.137,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1983",33.807,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1984",33.183,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1985",32.845,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1986",31.006,
