"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","1965",7.106,
"AUS","TAXINCOME","TOT","PC_GDP","A","1966",7.082,
"AUS","TAXINCOME","TOT","PC_GDP","A","1967",7.463,
"AUS","TAXINCOME","TOT","PC_GDP","A","1968",7.272,
"AUS","TAXINCOME","TOT","PC_GDP","A","1969",7.752,
"AUS","TAXINCOME","TOT","PC_GDP","A","1970",7.881,
"AUS","TAXINCOME","TOT","PC_GDP","A","1971",8.47,
"AUS","TAXINCOME","TOT","PC_GDP","A","1972",8.216,
"AUS","TAXINCOME","TOT","PC_GDP","A","1973",9.106,
"AUS","TAXINCOME","TOT","PC_GDP","A","1974",10.844,
"AUS","TAXINCOME","TOT","PC_GDP","A","1975",11.08,
"AUS","TAXINCOME","TOT","PC_GDP","A","1976",11.509,
"AUS","TAXINCOME","TOT","PC_GDP","A","1977",11.562,
"AUS","TAXINCOME","TOT","PC_GDP","A","1978",10.796,
"AUS","TAXINCOME","TOT","PC_GDP","A","1979",11.192,
"AUS","TAXINCOME","TOT","PC_GDP","A","1980",11.531,
"AUS","TAXINCOME","TOT","PC_GDP","A","1981",12.082,
"AUS","TAXINCOME","TOT","PC_GDP","A","1982",12.138,
"AUS","TAXINCOME","TOT","PC_GDP","A","1983",11.565,
"AUS","TAXINCOME","TOT","PC_GDP","A","1984",12.454,
"AUS","TAXINCOME","TOT","PC_GDP","A","1985",12.558,
"AUS","TAXINCOME","TOT","PC_GDP","A","1986",13.299,
"AUS","TAXINCOME","TOT","PC_GDP","A","1987",12.903,
"AUS","TAXINCOME","TOT","PC_GDP","A","1988",12.896,
"AUS","TAXINCOME","TOT","PC_GDP","A","1989",12.344,
"AUS","TAXINCOME","TOT","PC_GDP","A","1990",12.068,
"AUS","TAXINCOME","TOT","PC_GDP","A","1991",11.073,
"AUS","TAXINCOME","TOT","PC_GDP","A","1992",10.705,
"AUS","TAXINCOME","TOT","PC_GDP","A","1993",10.99,
"AUS","TAXINCOME","TOT","PC_GDP","A","1994",11.025,
"AUS","TAXINCOME","TOT","PC_GDP","A","1995",11.457,
"AUS","TAXINCOME","TOT","PC_GDP","A","1996",11.908,
"AUS","TAXINCOME","TOT","PC_GDP","A","1997",12.024,
"AUS","TAXINCOME","TOT","PC_GDP","A","1998",13.068,
"AUS","TAXINCOME","TOT","PC_GDP","A","1999",13.242,
"AUS","TAXINCOME","TOT","PC_GDP","A","2000",11.509,
"AUS","TAXINCOME","TOT","PC_GDP","A","2001",11.944,
"AUS","TAXINCOME","TOT","PC_GDP","A","2002",11.803,
"AUS","TAXINCOME","TOT","PC_GDP","A","2003",11.921,
"AUS","TAXINCOME","TOT","PC_GDP","A","2004",12.179,
"AUS","TAXINCOME","TOT","PC_GDP","A","2005",11.879,
"AUS","TAXINCOME","TOT","PC_GDP","A","2006",11.019,
"AUS","TAXINCOME","TOT","PC_GDP","A","2007",10.866,
"AUS","TAXINCOME","TOT","PC_GDP","A","2008",10.142,
"AUS","TAXINCOME","TOT","PC_GDP","A","2009",9.635,
"AUS","TAXINCOME","TOT","PC_GDP","A","2010",9.826,
"AUS","TAXINCOME","TOT","PC_GDP","A","2011",10.312,
"AUS","TAXINCOME","TOT","PC_GDP","A","2012",10.692,
"AUS","TAXINCOME","TOT","PC_GDP","A","2013",10.748,
"AUS","TAXINCOME","TOT","PC_GDP","A","2014",11.429,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1965",34.415,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1966",35.647,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1967",36.493,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1968",35.685,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1969",37.413,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1970",37.327,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1971",38.735,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1972",38.347,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1973",40.45,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1974",43.974,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1975",43.622,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1976",44.996,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1977",45.435,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1978",43.973,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1979",44.467,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1980",43.964,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1981",45.768,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1982",45.162,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1983",44.284,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1984",44.938,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1985",45.229,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1986",46.609,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1987",45.068,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1988",45.607,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1989",44.089,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1990",42.972,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1991",41.57,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1992",41.017,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1993",41.386,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1994",40.161,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1995",40.61,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1996",41.266,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1997",41.987,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1998",44.411,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1999",44.401,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2000",37.813,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2001",41.283,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2002",39.623,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2003",39.778,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2004",40.16,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2005",39.635,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2006",37.277,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2007",36.563,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2008",37.451,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2009",37.303,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2010",38.386,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2011",39.253,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2012",39.082,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2013",38.999,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2014",41.041,
"AUT","TAXINCOME","TOT","PC_GDP","A","1965",6.709,
"AUT","TAXINCOME","TOT","PC_GDP","A","1966",7.108,
"AUT","TAXINCOME","TOT","PC_GDP","A","1967",7.212,
"AUT","TAXINCOME","TOT","PC_GDP","A","1968",6.663,
"AUT","TAXINCOME","TOT","PC_GDP","A","1969",6.901,
"AUT","TAXINCOME","TOT","PC_GDP","A","1970",6.955,
"AUT","TAXINCOME","TOT","PC_GDP","A","1971",7.23,
"AUT","TAXINCOME","TOT","PC_GDP","A","1972",7.721,
"AUT","TAXINCOME","TOT","PC_GDP","A","1973",7.917,
"AUT","TAXINCOME","TOT","PC_GDP","A","1974",8.467,
"AUT","TAXINCOME","TOT","PC_GDP","A","1975",7.882,
"AUT","TAXINCOME","TOT","PC_GDP","A","1976",7.871,
"AUT","TAXINCOME","TOT","PC_GDP","A","1977",8.082,
