"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2005",25.33,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2006",24.74,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2007",24.39,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2008",23.53,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2009",24.62,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2010",24.19,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2011",23.28,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2012",22.75,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.54,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2014",23.02,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2015",22.99,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2016",23.29,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.29,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2014",23.53,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2015",23.4,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2013",19.22,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2014",20.72,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2015",20.85,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",3.07,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2014",2.81,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2015",2.55,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2002",20.52,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2003",21.49,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2004",21.3,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2005",20.61,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2006",19.44,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2007",19.58,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2008",19.51,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2009",19.08,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2010",18.81,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2011",18.37,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2012",17.88,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",17.44,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2014",17.4,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2015",17.3,
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2002",19.13,"E"
