"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CTEXAM","TOT","1000HAB","A","2007",83.2,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2008",87.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2009",92.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2010",93.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2011",91.2,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2012",104.1,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2013",109.9,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2014",115.5,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2015",119.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2016",119.6,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2007",76.9,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2008",81,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2009",85.5,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2010",86.3,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2011",83.4,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2012",95.4,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2013",100.2,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2014",105.1,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2015",108.5,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2016",108.1,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2007",6.3,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2008",6.6,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2009",7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2010",7.3,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2011",7.8,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2012",8.7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2013",9.7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2014",10.3,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2015",11.1,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2016",11.5,"D"
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2004",94.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2005",96.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2006",105.5,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2007",117.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2008",127.4,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2009",139.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2010",146,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2011",130.5,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2012",133.4,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2013",133.6,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2014",143.9,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2015",142.2,
"BEL","CTEXAM","TOT","1000HAB","A","1999",122.2,
"BEL","CTEXAM","TOT","1000HAB","A","2000",114.7,
"BEL","CTEXAM","TOT","1000HAB","A","2001",124.5,
"BEL","CTEXAM","TOT","1000HAB","A","2002",118.1,
"BEL","CTEXAM","TOT","1000HAB","A","2003",126.3,
"BEL","CTEXAM","TOT","1000HAB","A","2004",138.6,
"BEL","CTEXAM","TOT","1000HAB","A","2005",146.2,
"BEL","CTEXAM","TOT","1000HAB","A","2006",157.2,
"BEL","CTEXAM","TOT","1000HAB","A","2007",167.9,
"BEL","CTEXAM","TOT","1000HAB","A","2008",179.8,
"BEL","CTEXAM","TOT","1000HAB","A","2009",185.6,
"BEL","CTEXAM","TOT","1000HAB","A","2010",187.7,
"BEL","CTEXAM","TOT","1000HAB","A","2011",184.4,
"BEL","CTEXAM","TOT","1000HAB","A","2012",186.8,
"BEL","CTEXAM","TOT","1000HAB","A","2013",186.2,
"BEL","CTEXAM","TOT","1000HAB","A","2014",193.4,
"BEL","CTEXAM","TOT","1000HAB","A","2015",198.8,
"CAN","CTEXAM","TOT","1000HAB","A","2003",87.5,
"CAN","CTEXAM","TOT","1000HAB","A","2004",90.6,
"CAN","CTEXAM","TOT","1000HAB","A","2005",101.8,
"CAN","CTEXAM","TOT","1000HAB","A","2006",110,
"CAN","CTEXAM","TOT","1000HAB","A","2008",118.5,
"CAN","CTEXAM","TOT","1000HAB","A","2009",122.6,
"CAN","CTEXAM","TOT","1000HAB","A","2010",125.4,
"CAN","CTEXAM","TOT","1000HAB","A","2011",127.5,
"CAN","CTEXAM","TOT","1000HAB","A","2012",127.2,"E"
"CAN","CTEXAM","TOT","1000HAB","A","2013",132.1,"E"
"CAN","CTEXAM","TOT","1000HAB","A","2014",148.5,
"CAN","CTEXAM","TOT","1000HAB","A","2015",152.8,"E"
"CAN","CTEXAM","TOT","1000HAB","A","2016",156.6,"P"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2008",1.3,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2009",1.8,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2010",1.8,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2011",2,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2012",2,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2013",2,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2014",2.1,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2015",2.1,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2016",2.2,"P"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2008",117.1,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2009",120.8,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2010",123.5,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2011",125.5,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2012",125.2,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2013",130,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2014",146.4,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2015",150.6,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2016",154.4,"P"
"CZE","CTEXAM","TOT","1000HAB","A","2004",66.9,
"CZE","CTEXAM","TOT","1000HAB","A","2005",70.6,
"CZE","CTEXAM","TOT","1000HAB","A","2006",72.5,
"CZE","CTEXAM","TOT","1000HAB","A","2007",75.3,
"CZE","CTEXAM","TOT","1000HAB","A","2008",82.3,
"CZE","CTEXAM","TOT","1000HAB","A","2009",87.9,
"CZE","CTEXAM","TOT","1000HAB","A","2010",86.9,
"CZE","CTEXAM","TOT","1000HAB","A","2011",89.5,
"CZE","CTEXAM","TOT","1000HAB","A","2012",94.5,
"CZE","CTEXAM","TOT","1000HAB","A","2013",95.8,
"CZE","CTEXAM","TOT","1000HAB","A","2014",98.3,
"CZE","CTEXAM","TOT","1000HAB","A","2015",101.9,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2006",2.9,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2007",3.1,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2008",3.3,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2009",4.5,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2010",4.6,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2011",4.4,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2012",5.1,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2013",5.2,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2014",5.2,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2015",6.7,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2006",69.6,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2007",72.2,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2008",79,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2009",83.4,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2010",82.3,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2011",85.1,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2012",89.4,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2013",90.5,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2014",93,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2015",95.2,
"DNK","CTEXAM","TOT","1000HAB","A","2003",43.2,
"DNK","CTEXAM","TOT","1000HAB","A","2004",49.4,
"DNK","CTEXAM","TOT","1000HAB","A","2005",55.7,
"DNK","CTEXAM","TOT","1000HAB","A","2006",63.2,
"DNK","CTEXAM","TOT","1000HAB","A","2007",73.5,
"DNK","CTEXAM","TOT","1000HAB","A","2008",84.1,
"DNK","CTEXAM","TOT","1000HAB","A","2009",95.9,
"DNK","CTEXAM","TOT","1000HAB","A","2010",111.9,
"DNK","CTEXAM","TOT","1000HAB","A","2011",124.3,
"DNK","CTEXAM","TOT","1000HAB","A","2012",130.1,
"DNK","CTEXAM","TOT","1000HAB","A","2013",141.9,
"DNK","CTEXAM","TOT","1000HAB","A","2014",150.5,"B"
"DNK","CTEXAM","TOT","1000HAB","A","2015",161.8,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2003",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2004",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2005",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2006",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2007",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2008",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2009",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2010",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2011",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2012",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2013",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2014",0.6,"B"
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2015",2.3,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2003",43.2,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2004",49.4,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2005",55.7,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2006",63.2,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2007",73.5,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2008",84.1,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2009",95.9,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2010",111.9,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2011",124.3,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2012",130.1,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2013",141.9,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2014",149.9,"B"
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2015",159.5,
"FIN","CTEXAM","TOT","1000HAB","A","2010",22.5,
"FIN","CTEXAM","TOT","1000HAB","A","2011",22.6,
"FIN","CTEXAM","TOT","1000HAB","A","2012",28.5,
"FIN","CTEXAM","TOT","1000HAB","A","2013",31,
"FIN","CTEXAM","TOT","1000HAB","A","2014",31.3,
"FIN","CTEXAM","TOT","1000HAB","A","2015",34.2,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2010",1.3,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2011",0.8,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2012",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2013",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2014",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2015",0.5,
"FIN","CTEXAM","INHOSPITAL","1000HAB","A","2010",21.2,
