"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",16504.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",16352.3,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",16468.7,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",16136.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",16170.4,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",16037.3,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",15891.6,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",15892.1,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",15788,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",15747.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",15825.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",15889.9,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",16177.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",16402.3,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",16506.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",16427.9,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",16593.9,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",16890.7,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",17264.1,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",17260.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",17239.7,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2014",17398.8,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1989",21597.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1990",22168,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1991",22206.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1992",22062.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",22204.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",22867.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",23093.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",23436.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",24517.8,"B"
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",25296.8,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",25764.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",25933.3,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",26057.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",26393,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",26598.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",27361.3,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",27317.1,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",27655.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",27934.4,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",28114.5,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",27913,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",27637,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",27442.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",27029.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",26558.1,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2014",26275.5,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2015",25581.1,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",16301,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",16209.7,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",16003.2,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",16092.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",16067.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",17241.5,"B"
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",17014.2,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",16940.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",17072.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",17057.9,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",17051.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",16954,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",16989.8,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",16854.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2014",16926.7,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1980",14365.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1981",14187.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1982",14179.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1983",14157.7,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1984",14091.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1985",13974.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1986",13949,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1987",13814.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1988",13445.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1989",13111.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1990",12902.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1991",12747,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1992",12292.1,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",11995.7,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",11583.6,"B"
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",11047.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",10414.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",10112.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",9910.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",9685.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",9402,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",9083.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",8832.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",8805.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",8760.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",8731.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",8575.1,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",8448.1,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",8365.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",8282.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",8276.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",8350,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",8351.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",8437.6,"B"
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2014",8414.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2015",8431.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",20289.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",20516,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",21209.4,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",21870.1,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",22344.2,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",22365.5,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",21652.2,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",21541.4,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",21118.3,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",20899.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",20592.1,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",20196.3,
