"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MRIEXAM","TOT","1000HAB","A","2007",18.9,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2008",19.9,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2009",21.2,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2010",23.2,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2011",24.1,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2012",26,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2013",27.6,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2014",35.3,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2015",41,"D"
"AUS","MRIEXAM","TOT","1000HAB","A","2016",42.5,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2007",17.8,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2008",18.8,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2009",20,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2010",21.9,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2011",22.7,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2012",24.5,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2013",26,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2014",33.6,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2015",39.2,"D"
"AUS","MRIEXAM","INAMBULATORY","1000HAB","A","2016",40.7,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2007",1.1,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2008",1.1,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2009",1.2,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2010",1.3,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2011",1.4,"D"
"AUS","MRIEXAM","INHOSPITAL","1000HAB","A","2012",1.5,"D"
