"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1971",1.757,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1972",1.78,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1973",1.767,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1974",1.986,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1975",1.553,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1976",1.945,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1977",2.382,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1978",2.251,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1979",2.235,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1980",2.16,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1981",2.259,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1982",2.505,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1983",2.243,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1984",1.716,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1985",1.726,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1986",1.861,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1987",1.825,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1988",1.926,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1989",1.991,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1990",2.186,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1991",2.296,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1992",2.33,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1993",2.347,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1994",2.367,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1995",2.324,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1996",2.409,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1997",2.311,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1998",2.331,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1999",2.22,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2000",2.404,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2001",2.482,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2002",2.475,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2003",2.522,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2004",2.566,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2005",2.52,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2006",2.53,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2007",2.473,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2008",2.561,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2009",2.637,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2010",2.656,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2011",2.643,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2012",2.833,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2013",2.857,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2014",2.964,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2015",3.088,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2016",3.093,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1971",2.787,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1972",2.764,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1973",2.74,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1974",3.124,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1975",4.204,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1976",3.828,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1977",3.69,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1978",3.683,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1979",3.589,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1980",3.665,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1981",3.574,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1982",3.596,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1983",3.801,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1984",4.3,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1985",4.34,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1986",4.403,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1987",4.274,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1988",4.128,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1989",4.116,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1990",4.279,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1991",4.463,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1992",4.492,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1993",4.488,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1994",4.5,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1995",4.585,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1996",4.639,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1997",4.761,
"AUS","HEALTHEXP","PUB","PC_GDP","A","1998",4.903,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","1999",5.107,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2000",5.199,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2001",5.215,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2002",5.413,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2003",5.372,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2004",5.54,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2005",5.454,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2006",5.453,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2007",5.584,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2008",5.7,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2009",5.951,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2010",5.812,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2011",5.942,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2012",5.893,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2013",5.949,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2014",6.116,"D"
"AUS","HEALTHEXP","PUB","PC_GDP","A","2015",6.358,
"AUS","HEALTHEXP","PUB","PC_GDP","A","2016",6.498,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1971",4.544,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1972",4.544,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1973",4.507,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1974",5.109,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1975",5.757,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1976",5.773,
