"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSEGRAD","TOT","100000HAB","A","2008",61.63,
"AUS","NURSEGRAD","TOT","100000HAB","A","2009",63.54,
"AUS","NURSEGRAD","TOT","100000HAB","A","2010",67.57,
"AUS","NURSEGRAD","TOT","100000HAB","A","2011",71.64,
"AUS","NURSEGRAD","TOT","100000HAB","A","2012",71.71,
"AUS","NURSEGRAD","TOT","100000HAB","A","2013",74.86,
"AUS","NURSEGRAD","TOT","100000HAB","A","2014",75.89,
"AUS","NURSEGRAD","TOT","100000HAB","A","2015",76.9,
"AUT","NURSEGRAD","TOT","100000HAB","A","2006",57.54,
"AUT","NURSEGRAD","TOT","100000HAB","A","2007",59.04,
"AUT","NURSEGRAD","TOT","100000HAB","A","2008",58.76,
"AUT","NURSEGRAD","TOT","100000HAB","A","2009",48.01,"B"
"AUT","NURSEGRAD","TOT","100000HAB","A","2010",56.23,
"AUT","NURSEGRAD","TOT","100000HAB","A","2011",58.39,
"AUT","NURSEGRAD","TOT","100000HAB","A","2012",55.72,
"AUT","NURSEGRAD","TOT","100000HAB","A","2013",58.02,
"AUT","NURSEGRAD","TOT","100000HAB","A","2014",54.18,
"BEL","NURSEGRAD","TOT","100000HAB","A","1994",33.34,
"BEL","NURSEGRAD","TOT","100000HAB","A","1995",32.95,
"BEL","NURSEGRAD","TOT","100000HAB","A","1996",37.28,
"BEL","NURSEGRAD","TOT","100000HAB","A","1997",39.2,
"BEL","NURSEGRAD","TOT","100000HAB","A","1998",42.99,
"BEL","NURSEGRAD","TOT","100000HAB","A","1999",45.97,
"BEL","NURSEGRAD","TOT","100000HAB","A","2000",44.71,
"BEL","NURSEGRAD","TOT","100000HAB","A","2001",44.28,
"BEL","NURSEGRAD","TOT","100000HAB","A","2002",43.3,
"BEL","NURSEGRAD","TOT","100000HAB","A","2003",42,
"BEL","NURSEGRAD","TOT","100000HAB","A","2004",38.22,
"BEL","NURSEGRAD","TOT","100000HAB","A","2005",39.58,
"BEL","NURSEGRAD","TOT","100000HAB","A","2006",31.51,
"BEL","NURSEGRAD","TOT","100000HAB","A","2007",33.56,
"BEL","NURSEGRAD","TOT","100000HAB","A","2008",32.46,
"BEL","NURSEGRAD","TOT","100000HAB","A","2009",37.25,
"BEL","NURSEGRAD","TOT","100000HAB","A","2010",41.69,
"BEL","NURSEGRAD","TOT","100000HAB","A","2011",37.47,
"BEL","NURSEGRAD","TOT","100000HAB","A","2012",42.55,
"BEL","NURSEGRAD","TOT","100000HAB","A","2013",47.44,
"BEL","NURSEGRAD","TOT","100000HAB","A","2014",47.42,
"BEL","NURSEGRAD","TOT","100000HAB","A","2015",49.68,
"BEL","NURSEGRAD","TOT","100000HAB","A","2016",55.13,
"CAN","NURSEGRAD","TOT","100000HAB","A","1998",27.11,
"CAN","NURSEGRAD","TOT","100000HAB","A","2000",25.19,
"CAN","NURSEGRAD","TOT","100000HAB","A","2007",47.55,"B"
"CAN","NURSEGRAD","TOT","100000HAB","A","2008",44.94,
"CAN","NURSEGRAD","TOT","100000HAB","A","2009",45.84,
"CAN","NURSEGRAD","TOT","100000HAB","A","2010",51.38,
"CAN","NURSEGRAD","TOT","100000HAB","A","2011",55.48,
"CAN","NURSEGRAD","TOT","100000HAB","A","2012",57.76,
"CAN","NURSEGRAD","TOT","100000HAB","A","2013",56.93,
"CAN","NURSEGRAD","TOT","100000HAB","A","2015",58.76,
"CZE","NURSEGRAD","TOT","100000HAB","A","1980",37.28,
"CZE","NURSEGRAD","TOT","100000HAB","A","1981",39.09,
"CZE","NURSEGRAD","TOT","100000HAB","A","1982",41.35,
"CZE","NURSEGRAD","TOT","100000HAB","A","1983",44.6,
"CZE","NURSEGRAD","TOT","100000HAB","A","1984",40.23,
"CZE","NURSEGRAD","TOT","100000HAB","A","1985",40.84,
"CZE","NURSEGRAD","TOT","100000HAB","A","1986",46.15,
"CZE","NURSEGRAD","TOT","100000HAB","A","1987",40.69,
"CZE","NURSEGRAD","TOT","100000HAB","A","1988",39.3,
"CZE","NURSEGRAD","TOT","100000HAB","A","1989",45.09,
"CZE","NURSEGRAD","TOT","100000HAB","A","1990",45.33,
"CZE","NURSEGRAD","TOT","100000HAB","A","1991",51.53,
"CZE","NURSEGRAD","TOT","100000HAB","A","1992",60.55,
"CZE","NURSEGRAD","TOT","100000HAB","A","1993",65.94,
"CZE","NURSEGRAD","TOT","100000HAB","A","1994",71.37,
"CZE","NURSEGRAD","TOT","100000HAB","A","1995",63.14,
"CZE","NURSEGRAD","TOT","100000HAB","A","1996",48.41,
"CZE","NURSEGRAD","TOT","100000HAB","A","1997",42.46,
"CZE","NURSEGRAD","TOT","100000HAB","A","1998",41.72,
"CZE","NURSEGRAD","TOT","100000HAB","A","1999",41.13,
"CZE","NURSEGRAD","TOT","100000HAB","A","2000",15.62,"B"
"CZE","NURSEGRAD","TOT","100000HAB","A","2001",45,
"CZE","NURSEGRAD","TOT","100000HAB","A","2002",43.36,
"CZE","NURSEGRAD","TOT","100000HAB","A","2003",46.46,
"CZE","NURSEGRAD","TOT","100000HAB","A","2004",50.56,
"CZE","NURSEGRAD","TOT","100000HAB","A","2005",47.43,
"CZE","NURSEGRAD","TOT","100000HAB","A","2006",49.12,
"CZE","NURSEGRAD","TOT","100000HAB","A","2007",35.37,"B"
"CZE","NURSEGRAD","TOT","100000HAB","A","2008",15.52,
"CZE","NURSEGRAD","TOT","100000HAB","A","2009",13.95,
"CZE","NURSEGRAD","TOT","100000HAB","A","2010",12.25,
"CZE","NURSEGRAD","TOT","100000HAB","A","2011",17.36,
"CZE","NURSEGRAD","TOT","100000HAB","A","2012",17.22,
"CZE","NURSEGRAD","TOT","100000HAB","A","2013",14.88,
"CZE","NURSEGRAD","TOT","100000HAB","A","2014",15.16,
"CZE","NURSEGRAD","TOT","100000HAB","A","2015",15.79,
"DNK","NURSEGRAD","TOT","100000HAB","A","1980",29.61,
"DNK","NURSEGRAD","TOT","100000HAB","A","1981",30.58,
"DNK","NURSEGRAD","TOT","100000HAB","A","1982",30.05,
"DNK","NURSEGRAD","TOT","100000HAB","A","1983",31.48,
"DNK","NURSEGRAD","TOT","100000HAB","A","1984",34.86,
"DNK","NURSEGRAD","TOT","100000HAB","A","1985",35.69,
"DNK","NURSEGRAD","TOT","100000HAB","A","1986",36.19,
"DNK","NURSEGRAD","TOT","100000HAB","A","1987",37.33,
"DNK","NURSEGRAD","TOT","100000HAB","A","1988",38.27,
"DNK","NURSEGRAD","TOT","100000HAB","A","1989",35.83,
"DNK","NURSEGRAD","TOT","100000HAB","A","1990",36.16,
"DNK","NURSEGRAD","TOT","100000HAB","A","1991",35.06,
"DNK","NURSEGRAD","TOT","100000HAB","A","1992",34.48,
"DNK","NURSEGRAD","TOT","100000HAB","A","1993",49.05,
"DNK","NURSEGRAD","TOT","100000HAB","A","1994",60.29,
"DNK","NURSEGRAD","TOT","100000HAB","A","1995",65.64,
"DNK","NURSEGRAD","TOT","100000HAB","A","1996",84.48,
"DNK","NURSEGRAD","TOT","100000HAB","A","1997",90.37,
"DNK","NURSEGRAD","TOT","100000HAB","A","1998",100.07,
"DNK","NURSEGRAD","TOT","100000HAB","A","1999",104.65,
"DNK","NURSEGRAD","TOT","100000HAB","A","2000",103.64,
"DNK","NURSEGRAD","TOT","100000HAB","A","2001",101.93,
"DNK","NURSEGRAD","TOT","100000HAB","A","2002",105.9,
"DNK","NURSEGRAD","TOT","100000HAB","A","2003",80.27,
"DNK","NURSEGRAD","TOT","100000HAB","A","2004",84.93,
"DNK","NURSEGRAD","TOT","100000HAB","A","2005",81.06,
"DNK","NURSEGRAD","TOT","100000HAB","A","2006",83.77,
"DNK","NURSEGRAD","TOT","100000HAB","A","2007",84.72,
"DNK","NURSEGRAD","TOT","100000HAB","A","2008",90.72,
"DNK","NURSEGRAD","TOT","100000HAB","A","2009",83.23,
"DNK","NURSEGRAD","TOT","100000HAB","A","2010",93.99,
"DNK","NURSEGRAD","TOT","100000HAB","A","2011",96,
"DNK","NURSEGRAD","TOT","100000HAB","A","2012",92.41,
"FIN","NURSEGRAD","TOT","100000HAB","A","1980",74.69,
"FIN","NURSEGRAD","TOT","100000HAB","A","1981",68.5,
"FIN","NURSEGRAD","TOT","100000HAB","A","1982",70.27,
"FIN","NURSEGRAD","TOT","100000HAB","A","1983",76.59,
"FIN","NURSEGRAD","TOT","100000HAB","A","1984",69.3,
"FIN","NURSEGRAD","TOT","100000HAB","A","1985",85.59,
"FIN","NURSEGRAD","TOT","100000HAB","A","1986",87.94,
"FIN","NURSEGRAD","TOT","100000HAB","A","1987",97.1,
"FIN","NURSEGRAD","TOT","100000HAB","A","1988",87.48,
"FIN","NURSEGRAD","TOT","100000HAB","A","1989",80.53,
"FIN","NURSEGRAD","TOT","100000HAB","A","1990",60.26,
"FIN","NURSEGRAD","TOT","100000HAB","A","1991",86.42,
"FIN","NURSEGRAD","TOT","100000HAB","A","1992",110.69,
"FIN","NURSEGRAD","TOT","100000HAB","A","1993",130.86,
"FIN","NURSEGRAD","TOT","100000HAB","A","1994",133.15,
"FIN","NURSEGRAD","TOT","100000HAB","A","1995",112.61,
"FIN","NURSEGRAD","TOT","100000HAB","A","1996",88.28,
"FIN","NURSEGRAD","TOT","100000HAB","A","1997",90.26,
"FIN","NURSEGRAD","TOT","100000HAB","A","1998",85.98,
"FIN","NURSEGRAD","TOT","100000HAB","A","1999",79.1,
