"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DEATHCANCER","TOT","100000PER","A","1960",213.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1961",215,
"AUS","DEATHCANCER","TOT","100000PER","A","1962",213.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1963",219,
"AUS","DEATHCANCER","TOT","100000PER","A","1964",220.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1965",215.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1966",219.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1967",220.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1968",230.6,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1969",229.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1970",234.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1971",233.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1972",234.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1973",239.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1974",242.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1975",234.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1976",236.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1977",235.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1978",235.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1979",233.7,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1980",239.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1981",236.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1982",240.6,
"AUS","DEATHCANCER","TOT","100000PER","A","1983",243.4,
"AUS","DEATHCANCER","TOT","100000PER","A","1984",246,
"AUS","DEATHCANCER","TOT","100000PER","A","1985",248.1,
"AUS","DEATHCANCER","TOT","100000PER","A","1986",241.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1987",244.2,
"AUS","DEATHCANCER","TOT","100000PER","A","1988",243.5,
"AUS","DEATHCANCER","TOT","100000PER","A","1989",246.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1990",241,
"AUS","DEATHCANCER","TOT","100000PER","A","1991",241.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1992",241.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1993",240.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1994",244.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1995",235.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1996",236.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1997",229.1,
