"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","BSNSBROADBAND","MFG","PC","A","2010",91.4094063029156,
"HUN","BSNSBROADBAND","FINANCEINS","PC","A","2007",94.0802095808383,
"HUN","BSNSBROADBAND","FINANCEINS","PC","A","2008",94.1761363636364,
"HUN","BSNSBROADBAND","FINANCEINS","PC","A","2009",95.392156862745,
"HUN","BSNSBROADBAND","FINANCEINS","PC","A","2010",94.5578231292516,
"DNK","BSNSBROADBAND","MFG","PC","A","2010",85.494705081826,
"GBR","BSNSBROADBAND","WHLETRADE","PC","A","2009",84.4675,
"GBR","BSNSBROADBAND","WHLETRADE","PC","A","2010",86.852789333868,
"ITA","BSNSBROADBAND","50_249","PC","A","2010",94.0367192368535,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2004",50.389729481889,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2005",47.2259209942299,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2006",60.3579418344519,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2007",64.4001732351667,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2008",66.276640200585,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2009",65.6669297553275,
"AUT","BSNSBROADBAND","TRANSPCOM","PC","A","2010",77.3498964803313,
"ISL","BSNSBROADBAND","FINANCEINS","PC","A","2010",100,
"ISL","BSNSBROADBAND","250MORE","PC","A","2010",100,
"IRL","BSNSBROADBAND","10_49","PC","A","2010",84.5168847507472,
"NLD","BSNSBROADBAND","CONSTR","PC","A","2009",82.6579788578278,
"NLD","BSNSBROADBAND","CONSTR","PC","A","2010",88.3393231984162,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2005",65.7664047280257,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2006",68.470757821728,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2007",85.3729350858638,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2008",85.6538184864691,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2009",93.9867623673014,
"SVK","BSNSBROADBAND","REALRENTBSNS","PC","A","2010",82.2862966071215,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2003",66.0809362391837,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2004",64.9755570466289,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2005",59.7696534873581,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2006",75.6483870967742,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2007",62.8731904493326,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2008",73.885264435294,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2009",77.2903033908388,
"EST","BSNSBROADBAND","REALRENTBSNS","PC","A","2010",87.9609392119295,
"CZE","BSNSBROADBAND","FINANCEINS","PC","A","2006",94.3985629355198,
"CZE","BSNSBROADBAND","FINANCEINS","PC","A","2007",95.5608921025247,
"CZE","BSNSBROADBAND","FINANCEINS","PC","A","2008",91.7511941535853,
"CZE","BSNSBROADBAND","FINANCEINS","PC","A","2009",96.1156504371079,
"CZE","BSNSBROADBAND","FINANCEINS","PC","A","2010",97.3238898240497,
"PRT","BSNSBROADBAND","250MORE","PC","A","2010",98.5546151811691,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2003",27.4655045210799,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2005",47.6185983381747,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2006",61.665226423347,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2007",73.4048583281728,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2008",79.1217992911221,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2009",83.7307669830326,
"DEU","BSNSBROADBAND","CONSTR","PC","A","2010",86.1328930827154,
"PRT","BSNSBROADBAND","FINANCEINS","PC","A","2009",93.04,
"PRT","BSNSBROADBAND","FINANCEINS","PC","A","2010",96.2069676355392,
"NOR","BSNSBROADBAND","10_49","PC","A","2010",85.4192202708966,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2004",71.6417910447761,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2006",100,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2007",85.7142857142857,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2008",79.2079207920792,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2009",81.9277108433735,
"SVN","BSNSBROADBAND","REALRENTBSNS","PC","A","2010",87.5,
"CZE","BSNSBROADBAND","250MORE","PC","A","2010",98.86705231129,
"GBR","BSNSBROADBAND","CONSTR","PC","A","2009",82.7347391786903,
"GBR","BSNSBROADBAND","CONSTR","PC","A","2010",90.3106616753367,
"POL","BSNSBROADBAND","HTELREST","PC","A","2005",24.6730901582932,
"POL","BSNSBROADBAND","HTELREST","PC","A","2006",40.9680207433016,
"POL","BSNSBROADBAND","HTELREST","PC","A","2007",57.7586206896552,
"POL","BSNSBROADBAND","HTELREST","PC","A","2008",60.8208955223881,
"POL","BSNSBROADBAND","HTELREST","PC","A","2010",59.0154383920769,
"NLD","BSNSBROADBAND","HTELREST","PC","A","2009",72.4479129444822,
"NLD","BSNSBROADBAND","HTELREST","PC","A","2010",83.7755806550458,
"ESP","BSNSBROADBAND","TOT","PC","A","2009",93.0359557924321,
"ESP","BSNSBROADBAND","TOT","PC","A","2010",95.4386715531182,
"SWE","BSNSBROADBAND","TOT","PC","A","2009",88.2989191642825,
"SWE","BSNSBROADBAND","TOT","PC","A","2010",91.4051805871945,
"ESP","BSNSBROADBAND","MFG","PC","A","2009",93.1908949029835,
"ESP","BSNSBROADBAND","MFG","PC","A","2010",94.8170962305879,
"BEL","BSNSBROADBAND","RETAILTRADE","PC","A","2009",86.9909002165423,
"BEL","BSNSBROADBAND","RETAILTRADE","PC","A","2010",85.3691856800369,
"SWE","BSNSBROADBAND","MFG","PC","A","2009",91.3786258495338,
"SWE","BSNSBROADBAND","MFG","PC","A","2010",93.8314429941645,
"TUR","BSNSBROADBAND","10_49","PC","A","2010",87.4373396285407,
"EST","BSNSBROADBAND","FINANCEINS","PC","A","2006",88.8888888888889,
"EST","BSNSBROADBAND","FINANCEINS","PC","A","2007",88.1909547738694,
"EST","BSNSBROADBAND","FINANCEINS","PC","A","2008",91.2574850299401,
"EST","BSNSBROADBAND","FINANCEINS","PC","A","2009",93.4782608695652,
