"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FIXWIRED","TOT","100HAB","A","2009",23.813,
"AUS","FIXWIRED","TOT","100HAB","A","2010",24.827,
"AUS","FIXWIRED","TOT","100HAB","A","2011",24.948,
"AUS","FIXWIRED","TOT","100HAB","A","2012",25.61,
"AUS","FIXWIRED","TOT","100HAB","A","2013",26.356,
"AUS","FIXWIRED","TOT","100HAB","A","2014",27.621,
"AUS","FIXWIRED","TOT","100HAB","A","2015",28.102,
"AUT","FIXWIRED","TOT","100HAB","A","2009",21.499,
"AUT","FIXWIRED","TOT","100HAB","A","2010",23.187,
"AUT","FIXWIRED","TOT","100HAB","A","2011",24.456,
"AUT","FIXWIRED","TOT","100HAB","A","2012",25.218,
"AUT","FIXWIRED","TOT","100HAB","A","2013",26.308,
"AUT","FIXWIRED","TOT","100HAB","A","2014",27.554,
"AUT","FIXWIRED","TOT","100HAB","A","2015",28.488,
"BEL","FIXWIRED","TOT","100HAB","A","2009",29.044,
"BEL","FIXWIRED","TOT","100HAB","A","2010",30.995,
"BEL","FIXWIRED","TOT","100HAB","A","2011",32.281,
"BEL","FIXWIRED","TOT","100HAB","A","2012",33.4,
"BEL","FIXWIRED","TOT","100HAB","A","2013",34.479,
"BEL","FIXWIRED","TOT","100HAB","A","2014",35.952,
"BEL","FIXWIRED","TOT","100HAB","A","2015",36.756,
"CAN","FIXWIRED","TOT","100HAB","A","2009",30.599,
"CAN","FIXWIRED","TOT","100HAB","A","2010",31.81,
"CAN","FIXWIRED","TOT","100HAB","A","2011",32.838,
"CAN","FIXWIRED","TOT","100HAB","A","2012",33.621,
"CAN","FIXWIRED","TOT","100HAB","A","2013",34.386,
"CAN","FIXWIRED","TOT","100HAB","A","2014",35.362,
"CAN","FIXWIRED","TOT","100HAB","A","2015",36.323,
"CZE","FIXWIRED","TOT","100HAB","A","2009",19.407,
"CZE","FIXWIRED","TOT","100HAB","A","2010",21.507,
"CZE","FIXWIRED","TOT","100HAB","A","2011",23.782,
"CZE","FIXWIRED","TOT","100HAB","A","2012",25.277,
"CZE","FIXWIRED","TOT","100HAB","A","2013",26.662,
"CZE","FIXWIRED","TOT","100HAB","A","2014",28.75,
"CZE","FIXWIRED","TOT","100HAB","A","2015",28.175,
"DNK","FIXWIRED","TOT","100HAB","A","2009",36.597,
"DNK","FIXWIRED","TOT","100HAB","A","2010",38.045,
"DNK","FIXWIRED","TOT","100HAB","A","2011",38.478,
"DNK","FIXWIRED","TOT","100HAB","A","2012",38.959,
"DNK","FIXWIRED","TOT","100HAB","A","2013",40.485,
"DNK","FIXWIRED","TOT","100HAB","A","2014",41.498,
"DNK","FIXWIRED","TOT","100HAB","A","2015",42.404,
"FIN","FIXWIRED","TOT","100HAB","A","2009",29.332,
"FIN","FIXWIRED","TOT","100HAB","A","2010",29.067,
"FIN","FIXWIRED","TOT","100HAB","A","2011",30.399,
"FIN","FIXWIRED","TOT","100HAB","A","2012",31.16,
"FIN","FIXWIRED","TOT","100HAB","A","2013",31.623,
"FIN","FIXWIRED","TOT","100HAB","A","2014",32.163,
"FIN","FIXWIRED","TOT","100HAB","A","2015",31.556,
"FRA","FIXWIRED","TOT","100HAB","A","2009",30.562,
"FRA","FIXWIRED","TOT","100HAB","A","2010",32.681,
"FRA","FIXWIRED","TOT","100HAB","A","2011",34.822,
"FRA","FIXWIRED","TOT","100HAB","A","2012",36.557,
"FRA","FIXWIRED","TOT","100HAB","A","2013",37.836,
"FRA","FIXWIRED","TOT","100HAB","A","2014",39.221,
"FRA","FIXWIRED","TOT","100HAB","A","2015",40.401,
"DEU","FIXWIRED","TOT","100HAB","A","2009",31.034,
"DEU","FIXWIRED","TOT","100HAB","A","2010",32.587,
"DEU","FIXWIRED","TOT","100HAB","A","2011",33.917,
"DEU","FIXWIRED","TOT","100HAB","A","2012",34.728,
"DEU","FIXWIRED","TOT","100HAB","A","2013",35.493,
"DEU","FIXWIRED","TOT","100HAB","A","2014",36.517,
"DEU","FIXWIRED","TOT","100HAB","A","2015",37.637,
"GRC","FIXWIRED","TOT","100HAB","A","2009",17.256,
"GRC","FIXWIRED","TOT","100HAB","A","2010",20.255,
"GRC","FIXWIRED","TOT","100HAB","A","2011",22.191,
"GRC","FIXWIRED","TOT","100HAB","A","2012",24.35,
"GRC","FIXWIRED","TOT","100HAB","A","2013",26.568,
"GRC","FIXWIRED","TOT","100HAB","A","2014",28.975,
"GRC","FIXWIRED","TOT","100HAB","A","2015",31.673,
"HUN","FIXWIRED","TOT","100HAB","A","2009",18.76,
"HUN","FIXWIRED","TOT","100HAB","A","2010",20.578,
"HUN","FIXWIRED","TOT","100HAB","A","2011",21.975,
"HUN","FIXWIRED","TOT","100HAB","A","2012",22.994,
"HUN","FIXWIRED","TOT","100HAB","A","2013",24.271,
"HUN","FIXWIRED","TOT","100HAB","A","2014",26.155,
"HUN","FIXWIRED","TOT","100HAB","A","2015",27.632,
"ISL","FIXWIRED","TOT","100HAB","A","2009",33.539,
"ISL","FIXWIRED","TOT","100HAB","A","2010",34.342,
"ISL","FIXWIRED","TOT","100HAB","A","2011",34.978,
"ISL","FIXWIRED","TOT","100HAB","A","2012",35.364,
"ISL","FIXWIRED","TOT","100HAB","A","2013",36.282,
"ISL","FIXWIRED","TOT","100HAB","A","2014",36.628,
