"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WIRELESSWIRED","TOT","100HAB","A","2009",12.952,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2010",55.924,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2011",91.592,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2012",101.789,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2013",112.783,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2014",114.218,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2015",113.683,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2009",21.305,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2010",33.015,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2011",46.003,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2012",58.056,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2013",64.479,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2014",67.056,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2015",68.073,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2009",5.698,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2010",9.561,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2011",18.959,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2012",32.915,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2013",51.507,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2014",57.723,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2015",66.417,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2009",0,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2010",29.482,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2011",38.395,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2012",45.522,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2013",51.682,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2014",54.242,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2015",61.421,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2009",3.533,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2010",5.157,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2011",38.155,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2012",45.009,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2013",53.288,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2014",68.073,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2015",73.609,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2009",29.62,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2010",63.921,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2011",83.506,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2012",97.336,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2013",102.264,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2014",109.632,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2015",118.481,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2009",17.045,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2010",30.578,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2011",65.883,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2012",87.92,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2013",112.888,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2014",129.055,
"FIN","WIRELESSWIRED","TOT","100HAB","A","2015",135.421,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2009",27.078,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2010",35.545,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2011",42.492,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2012",49.992,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2013",55.437,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2014",64.794,
"FRA","WIRELESSWIRED","TOT","100HAB","A","2015",73.907,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2009",0,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2010",26.406,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2011",35.628,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2012",41.799,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2013",54.786,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2014",64.922,
"DEU","WIRELESSWIRED","TOT","100HAB","A","2015",71.665,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2009",12.376,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2010",25.056,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2011",30.565,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2012",34.631,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2013",36.601,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2014",41.496,
"GRC","WIRELESSWIRED","TOT","100HAB","A","2015",46.774,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2009",6.13,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2010",7.775,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2011",17.197,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2012",23.159,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2013",26.476,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2014",34.267,
"HUN","WIRELESSWIRED","TOT","100HAB","A","2015",40.096,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2009",30.318,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2010",45.632,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2011",57.942,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2012",71.5,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2013",75.997,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2014",86.806,
"ISL","WIRELESSWIRED","TOT","100HAB","A","2015",95.219,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2009",37.956,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2010",44.458,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2011",58.72,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2012",64.086,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2013",67.525,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2014",82.081,
"IRL","WIRELESSWIRED","TOT","100HAB","A","2015",96.779,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2009",19.562,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2010",38.211,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2011",44.916,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2012",50.361,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2013",60.828,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2014",71.648,
"ITA","WIRELESSWIRED","TOT","100HAB","A","2015",82.702,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2009",73.965,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2010",76.311,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2011",81.935,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2012",85.408,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2013",111.978,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2014",124.144,
"JPN","WIRELESSWIRED","TOT","100HAB","A","2015",138.825,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2009",86.731,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2010",95.777,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2011",102.124,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2012",103.036,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2013",103.33,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2014",106.599,
"KOR","WIRELESSWIRED","TOT","100HAB","A","2015",107.794,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2009",22.531,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2010",49.993,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2011",63.881,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2012",79.417,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2013",86.063,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2014",84.184,
"LUX","WIRELESSWIRED","TOT","100HAB","A","2015",83.876,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2009",0,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2010",4.219,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2011",12.45,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2012",20.914,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2013",29.236,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2014",42.98,
"MEX","WIRELESSWIRED","TOT","100HAB","A","2015",52.825,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2009",0.003,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2010",38.015,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2011",52.519,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2012",61.181,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2013",64.208,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2014",68.997,
"NLD","WIRELESSWIRED","TOT","100HAB","A","2015",76.589,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2009",4.169,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2010",38.668,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2011",66.254,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2012",71.127,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2013",84.993,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2014",97.948,
"NZL","WIRELESSWIRED","TOT","100HAB","A","2015",108.023,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2009",66.313,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2010",65.351,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2011",62.763,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2012",79.262,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2013",84.344,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2014",87.997,
"NOR","WIRELESSWIRED","TOT","100HAB","A","2015",99.309,
"POL","WIRELESSWIRED","TOT","100HAB","A","2009",42.734,
"POL","WIRELESSWIRED","TOT","100HAB","A","2010",47.998,
"POL","WIRELESSWIRED","TOT","100HAB","A","2011",49.673,
"POL","WIRELESSWIRED","TOT","100HAB","A","2012",58.026,
"POL","WIRELESSWIRED","TOT","100HAB","A","2013",54.532,
"POL","WIRELESSWIRED","TOT","100HAB","A","2014",55.292,
"POL","WIRELESSWIRED","TOT","100HAB","A","2015",61.549,
"PRT","WIRELESSWIRED","TOT","100HAB","A","2009",21.55,
"PRT","WIRELESSWIRED","TOT","100HAB","A","2010",24.271,
"PRT","WIRELESSWIRED","TOT","100HAB","A","2011",27.7,
"PRT","WIRELESSWIRED","TOT","100HAB","A","2012",33.039,
"PRT","WIRELESSWIRED","TOT","100HAB","A","2013",37.272,
