"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPLOYEE","0_9","NBR","A","2008",41966,
"AUT","EMPLOYEE","0_9","NBR","A","2009",40559,
"AUT","EMPLOYEE","0_9","NBR","A","2010",40239,
"AUT","EMPLOYEE","0_9","NBR","A","2011",39345,
"AUT","EMPLOYEE","0_9","NBR","A","2012",38228,
"AUT","EMPLOYEE","0_9","NBR","A","2013",37352,
"AUT","EMPLOYEE","0_9","NBR","A","2014",37753,
"AUT","EMPLOYEE","10_19","NBR","A","2008",40388,
"AUT","EMPLOYEE","10_19","NBR","A","2009",39806,
"AUT","EMPLOYEE","10_19","NBR","A","2010",39477,
"AUT","EMPLOYEE","10_19","NBR","A","2011",38836,
"AUT","EMPLOYEE","10_19","NBR","A","2012",38382,
"AUT","EMPLOYEE","10_19","NBR","A","2013",37670,
"AUT","EMPLOYEE","10_19","NBR","A","2014",36713,
"AUT","EMPLOYEE","20_49","NBR","A","2008",67764,
"AUT","EMPLOYEE","20_49","NBR","A","2009",65327,
"AUT","EMPLOYEE","20_49","NBR","A","2010",65553,
"AUT","EMPLOYEE","20_49","NBR","A","2011",65399,
"AUT","EMPLOYEE","20_49","NBR","A","2012",65773,
"AUT","EMPLOYEE","20_49","NBR","A","2013",67210,
"AUT","EMPLOYEE","20_49","NBR","A","2014",66211,
"AUT","EMPLOYEE","50_249","NBR","A","2008",164679,
"AUT","EMPLOYEE","50_249","NBR","A","2009",160458,
"AUT","EMPLOYEE","50_249","NBR","A","2010",156328,
"AUT","EMPLOYEE","50_249","NBR","A","2011",160408,
"AUT","EMPLOYEE","50_249","NBR","A","2012",160331,
"AUT","EMPLOYEE","50_249","NBR","A","2013",158002,
"AUT","EMPLOYEE","50_249","NBR","A","2014",159387,
"AUT","EMPLOYEE","250MORE","NBR","A","2008",298909,
"AUT","EMPLOYEE","250MORE","NBR","A","2009",282482,
"AUT","EMPLOYEE","250MORE","NBR","A","2010",278398,
"AUT","EMPLOYEE","250MORE","NBR","A","2011",285377,
"AUT","EMPLOYEE","250MORE","NBR","A","2012",294418,
"AUT","EMPLOYEE","250MORE","NBR","A","2013",298106,
"AUT","EMPLOYEE","250MORE","NBR","A","2014",301441,
"AUT","EMPLOYEE","TOT","NBR","A","2008",613706,
"AUT","EMPLOYEE","TOT","NBR","A","2009",588632,
"AUT","EMPLOYEE","TOT","NBR","A","2010",579995,
"AUT","EMPLOYEE","TOT","NBR","A","2011",589365,
"AUT","EMPLOYEE","TOT","NBR","A","2012",597132,
"AUT","EMPLOYEE","TOT","NBR","A","2013",598340,
"AUT","EMPLOYEE","TOT","NBR","A","2014",601505,
"BEL","EMPLOYEE","0_9","NBR","A","2008",36232,
