"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENTERPRISE","0_9","NBR","A","2006",120882,
"AUS","ENTERPRISE","0_9","NBR","A","2007",118417,
"AUS","ENTERPRISE","0_9","NBR","A","2008",115700,
"AUS","ENTERPRISE","0_9","NBR","A","2009",118586,"B"
"AUS","ENTERPRISE","0_9","NBR","A","2010",121797,
"AUS","ENTERPRISE","0_9","NBR","A","2011",120984,
"AUS","ENTERPRISE","0_9","NBR","A","2012",113421,
"AUS","ENTERPRISE","0_9","NBR","A","2013",115491,
"AUS","ENTERPRISE","0_9","NBR","A","2014",115644,
"AUS","ENTERPRISE","0_9","NBR","A","2015",116480,
"AUS","ENTERPRISE","20_49","NBR","A","2006",11139,
"AUS","ENTERPRISE","20_49","NBR","A","2007",11177,
"AUS","ENTERPRISE","20_49","NBR","A","2008",11002,
"AUS","ENTERPRISE","20_49","NBR","A","2009",10255,"B"
"AUS","ENTERPRISE","20_49","NBR","A","2010",7093,
"AUS","ENTERPRISE","20_49","NBR","A","2011",6746,
"AUS","ENTERPRISE","20_49","NBR","A","2012",6665,
"AUS","ENTERPRISE","20_49","NBR","A","2013",6544,
"AUS","ENTERPRISE","20_49","NBR","A","2014",6436,
"AUS","ENTERPRISE","20_49","NBR","A","2015",6403,
"AUS","ENTERPRISE","250MORE","NBR","A","2006",747,
"AUS","ENTERPRISE","250MORE","NBR","A","2007",778,
"AUS","ENTERPRISE","250MORE","NBR","A","2008",792,
"AUS","ENTERPRISE","250MORE","NBR","A","2009",697,"B"
"AUS","ENTERPRISE","250MORE","NBR","A","2010",610,
"AUS","ENTERPRISE","250MORE","NBR","A","2011",556,
"AUS","ENTERPRISE","250MORE","NBR","A","2012",567,
"AUS","ENTERPRISE","250MORE","NBR","A","2013",473,
"AUS","ENTERPRISE","250MORE","NBR","A","2014",508,
"AUS","ENTERPRISE","250MORE","NBR","A","2015",491,
"AUS","ENTERPRISE","TOT","NBR","A","2006",132769,
"AUS","ENTERPRISE","TOT","NBR","A","2007",130372,
"AUS","ENTERPRISE","TOT","NBR","A","2008",127494,
"AUS","ENTERPRISE","TOT","NBR","A","2009",129538,"B"
"AUS","ENTERPRISE","TOT","NBR","A","2010",129500,
"AUS","ENTERPRISE","TOT","NBR","A","2011",128286,
"AUS","ENTERPRISE","TOT","NBR","A","2012",120653,
"AUS","ENTERPRISE","TOT","NBR","A","2013",122508,
"AUS","ENTERPRISE","TOT","NBR","A","2014",122478,
"AUS","ENTERPRISE","TOT","NBR","A","2015",123328,
"AUT","ENTERPRISE","0_9","NBR","A","2005",19783,
"AUT","ENTERPRISE","0_9","NBR","A","2006",20016,
"AUT","ENTERPRISE","0_9","NBR","A","2007",19756,
"AUT","ENTERPRISE","0_9","NBR","A","2008",18768,
"AUT","ENTERPRISE","0_9","NBR","A","2009",18203,
"AUT","ENTERPRISE","0_9","NBR","A","2010",18293,
"AUT","ENTERPRISE","0_9","NBR","A","2011",18099,
"AUT","ENTERPRISE","0_9","NBR","A","2012",17946,
"AUT","ENTERPRISE","0_9","NBR","A","2013",18124,
"AUT","ENTERPRISE","0_9","NBR","A","2014",18576,
"AUT","ENTERPRISE","10_19","NBR","A","2005",3153,
"AUT","ENTERPRISE","10_19","NBR","A","2006",3091,
"AUT","ENTERPRISE","10_19","NBR","A","2007",3169,
"AUT","ENTERPRISE","10_19","NBR","A","2008",3111,
"AUT","ENTERPRISE","10_19","NBR","A","2009",3067,
"AUT","ENTERPRISE","10_19","NBR","A","2010",3021,
"AUT","ENTERPRISE","10_19","NBR","A","2011",2979,
"AUT","ENTERPRISE","10_19","NBR","A","2012",2962,
"AUT","ENTERPRISE","10_19","NBR","A","2013",2905,
"AUT","ENTERPRISE","10_19","NBR","A","2014",2842,
"AUT","ENTERPRISE","20_49","NBR","A","2005",2165,
"AUT","ENTERPRISE","20_49","NBR","A","2006",2165,
"AUT","ENTERPRISE","20_49","NBR","A","2007",2202,
"AUT","ENTERPRISE","20_49","NBR","A","2008",2230,
"AUT","ENTERPRISE","20_49","NBR","A","2009",2146,
"AUT","ENTERPRISE","20_49","NBR","A","2010",2152,
"AUT","ENTERPRISE","20_49","NBR","A","2011",2150,
"AUT","ENTERPRISE","20_49","NBR","A","2012",2161,
"AUT","ENTERPRISE","20_49","NBR","A","2013",2190,
"AUT","ENTERPRISE","20_49","NBR","A","2014",2182,
"AUT","ENTERPRISE","50_249","NBR","A","2005",1440,
"AUT","ENTERPRISE","50_249","NBR","A","2006",1469,
"AUT","ENTERPRISE","50_249","NBR","A","2007",1486,
"AUT","ENTERPRISE","50_249","NBR","A","2008",1506,
"AUT","ENTERPRISE","50_249","NBR","A","2009",1456,
"AUT","ENTERPRISE","50_249","NBR","A","2010",1429,
