"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1990",4.767,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1991",4.767,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1992",4.588,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1993",4.681,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1994",4.612,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1995",4.666,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1996",4.341,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1997",4.243,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1998",4.239,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1999",4.183,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2000",4.178,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2001",4.048,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2002",3.918,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2003",3.868,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2004",3.635,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2005",3.613,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2006",3.351,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2007",3.128,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2008",3.198,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2009",3.234,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2010",3.211,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2011",2.882,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2012",2.649,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2013",2.612,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2014",2.465,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2015",2.539,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1990",3.667,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1991",3.132,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1992",3.037,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1993",3.014,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1994",3.044,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",3.027,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",2.851,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",2.854,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",2.726,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.651,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",2.654,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",2.662,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",2.554,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.415,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.307,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.326,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.202,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.038,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.032,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",1.833,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",1.978,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",1.76,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",1.567,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",1.567,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",1.506,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",1.62,
