"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1990",11.09,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1991",11.585,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1992",11.99,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1993",12.157,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1994",11.781,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1995",11.532,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1996",11.458,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1997",11.34,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1998",11.182,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1999",11.262,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2000",11.197,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2001",11.504,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2002",11.857,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2003",11.669,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2004",11.428,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2005",11.165,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2006",10.985,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2007",10.74,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2008",10.344,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2009",10.491,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2010",10.335,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2011",10.161,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2012",9.406,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",9.166,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",9.376,
