"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",65.745,
"AUS","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",67.871,
"AUS","STARTBSNS","ACCESSFINANMEN","PC","A","2013",57.703,
"AUS","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",41.324,
"AUT","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",64.462,
"AUT","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",61.505,
"AUT","STARTBSNS","ACCESSFINANMEN","PC","A","2013",54.498,
"AUT","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",48.044,
"BEL","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",54.741,
"BEL","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",43.878,
"BEL","STARTBSNS","ACCESSFINANMEN","PC","A","2013",39.823,
"BEL","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",32.129,
"CAN","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",73.296,
"CAN","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",64.711,
"CAN","STARTBSNS","ACCESSFINANMEN","PC","A","2013",59.136,
"CAN","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",49.541,
"CZE","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",36.834,
"CZE","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",26.123,
"CZE","STARTBSNS","ACCESSFINANMEN","PC","A","2013",23.433,
"CZE","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",20.133,
"DNK","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",60.287,
"DNK","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",51.747,
"DNK","STARTBSNS","ACCESSFINANMEN","PC","A","2013",45.574,
"DNK","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",35.701,
"FIN","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",87.493,
"FIN","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",85.106,
"FIN","STARTBSNS","ACCESSFINANMEN","PC","A","2013",45.014,
"FIN","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",27.641,
"FRA","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",40.081,
"FRA","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",28.044,
"FRA","STARTBSNS","ACCESSFINANMEN","PC","A","2013",26.747,
"FRA","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",16.934,
"DEU","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",53.889,
"DEU","STARTBSNS","ACCESSTRAINWOMEN","PC","A","2013",38.273,
"DEU","STARTBSNS","ACCESSFINANMEN","PC","A","2013",48.563,
"DEU","STARTBSNS","ACCESSFINANWOMEN","PC","A","2013",31.809,
"GRC","STARTBSNS","ACCESSTRAINMEN","PC","A","2013",33.177,
