"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3381.35821077213,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4128.63590821272,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5075.3144779937,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5178.2939174558,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5500.04294955722,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6141.98209298291,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7447.28329148575,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8308.05824584349,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9412.03548410039,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9394.89727074378,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10218.9482773058,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12219.0806162958,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",13788.1179776069,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17048.9647904424,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",20198.6038599571,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",20572.8721924153,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",20647.6334764265,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",21551.9114329703,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90169017129269,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02256885413125,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17717560319374,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13546657628372,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16096297623508,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25696844821444,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.45824382716744,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50491524740502,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.57783659640446,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43610305958132,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47542214202555,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64818042208768,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73035558517411,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00261163834327,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24724445715012,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.19186609587633,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.1226875174712,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.10520522787023,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2035.42063090141,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2163.18991994363,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2245.50222101029,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2345.00122010925,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2407.63673969977,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2544.06326343159,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",2594.35310663818,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",2766.20835137483,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",2919.14255946871,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3154.23209118027,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",3448.39027898841,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",3488.83153613536,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",3548.92815494723,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",3833.36585206618,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",3987.8841841081,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4218.97290066921,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",4514.05601529834,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",4893.4250007314,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",5399.50198408045,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",5703.19619465914,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",6105.48910692119,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",6436.51139593185,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",6838.43077129789,
"AUT","GDEXPRD","TOT","MLN_USD","A","2004",6994.49204391433,
"AUT","GDEXPRD","TOT","MLN_USD","A","2005",7832.97213787025,
"AUT","GDEXPRD","TOT","MLN_USD","A","2006",8054.37669397207,
"AUT","GDEXPRD","TOT","MLN_USD","A","2007",8561.67612160573,
"AUT","GDEXPRD","TOT","MLN_USD","A","2008",9241.60726066961,
"AUT","GDEXPRD","TOT","MLN_USD","A","2009",8986.80971331975,
"AUT","GDEXPRD","TOT","MLN_USD","A","2010",9595.6791355517,
"AUT","GDEXPRD","TOT","MLN_USD","A","2011",9662.58948581328,
"AUT","GDEXPRD","TOT","MLN_USD","A","2012",10632.0256814478,
"AUT","GDEXPRD","TOT","MLN_USD","A","2013",10785.678971736,
"AUT","GDEXPRD","TOT","MLN_USD","A","2014",11317.2342636259,
"AUT","GDEXPRD","TOT","MLN_USD","A","2015",11531.6020211533,
"AUT","GDEXPRD","TOT","MLN_USD","A","2016",11700.7299573553,
"AUT","GDEXPRD","TOT","PC_GDP","A","1981",1.09261657576384,
"AUT","GDEXPRD","TOT","PC_GDP","A","1982",1.13830901484107,
"AUT","GDEXPRD","TOT","PC_GDP","A","1983",1.14750682403495,
"AUT","GDEXPRD","TOT","PC_GDP","A","1984",1.19773911446302,
"AUT","GDEXPRD","TOT","PC_GDP","A","1985",1.19975302943732,
"AUT","GDEXPRD","TOT","PC_GDP","A","1986",1.23921668920941,
"AUT","GDEXPRD","TOT","PC_GDP","A","1987",1.24679187992793,
"AUT","GDEXPRD","TOT","PC_GDP","A","1988",1.28696509077983,
"AUT","GDEXPRD","TOT","PC_GDP","A","1989",1.30730121741169,
"AUT","GDEXPRD","TOT","PC_GDP","A","1990",1.3537538142486,
"AUT","GDEXPRD","TOT","PC_GDP","A","1991",1.43076107048844,
"AUT","GDEXPRD","TOT","PC_GDP","A","1992",1.41785723696825,
"AUT","GDEXPRD","TOT","PC_GDP","A","1993",1.43472218350116,
"AUT","GDEXPRD","TOT","PC_GDP","A","1994",1.51335889276845,
"AUT","GDEXPRD","TOT","PC_GDP","A","1995",1.53344840288495,
"AUT","GDEXPRD","TOT","PC_GDP","A","1996",1.5843114431644,
"AUT","GDEXPRD","TOT","PC_GDP","A","1997",1.65854989504523,
"AUT","GDEXPRD","TOT","PC_GDP","A","1998",1.73613155491046,
"AUT","GDEXPRD","TOT","PC_GDP","A","1999",1.84929253917285,
"AUT","GDEXPRD","TOT","PC_GDP","A","2000",1.88965446463097,
"AUT","GDEXPRD","TOT","PC_GDP","A","2001",1.99599101627074,
"AUT","GDEXPRD","TOT","PC_GDP","A","2002",2.06993289738322,
"AUT","GDEXPRD","TOT","PC_GDP","A","2003",2.18268260028399,
"AUT","GDEXPRD","TOT","PC_GDP","A","2004",2.17367986802096,
"AUT","GDEXPRD","TOT","PC_GDP","A","2005",2.38323697651371,
"AUT","GDEXPRD","TOT","PC_GDP","A","2006",2.37114771200624,
"AUT","GDEXPRD","TOT","PC_GDP","A","2007",2.43240310297711,
"AUT","GDEXPRD","TOT","PC_GDP","A","2008",2.585568429515,
"AUT","GDEXPRD","TOT","PC_GDP","A","2009",2.61357415095429,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.73784354820918,
"AUT","GDEXPRD","TOT","PC_GDP","A","2011",2.68163415462669,
"AUT","GDEXPRD","TOT","PC_GDP","A","2012",2.92883736019669,
"AUT","GDEXPRD","TOT","PC_GDP","A","2013",2.96747840565007,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.09377587634557,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.12230763265144,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.12187432283853,
"BEL","GDEXPRD","TOT","MLN_USD","A","1983",3668.83232594547,
"BEL","GDEXPRD","TOT","MLN_USD","A","1984",3789.22982472141,
"BEL","GDEXPRD","TOT","MLN_USD","A","1985",3979.90899634344,
"BEL","GDEXPRD","TOT","MLN_USD","A","1986",4060.59809155453,
"BEL","GDEXPRD","TOT","MLN_USD","A","1987",4187.00307348906,
"BEL","GDEXPRD","TOT","MLN_USD","A","1988",4260.40405774094,
"BEL","GDEXPRD","TOT","MLN_USD","A","1989",4563.06675866355,
"BEL","GDEXPRD","TOT","MLN_USD","A","1991",4719.57711231242,
"BEL","GDEXPRD","TOT","MLN_USD","A","1993",4982.69691631424,
"BEL","GDEXPRD","TOT","MLN_USD","A","1994",5113.41065621993,
"BEL","GDEXPRD","TOT","MLN_USD","A","1995",5299.88670410899,
"BEL","GDEXPRD","TOT","MLN_USD","A","1996",5683.75870376176,
"BEL","GDEXPRD","TOT","MLN_USD","A","1997",6116.60247035339,
"BEL","GDEXPRD","TOT","MLN_USD","A","1998",6337.74642013625,
"BEL","GDEXPRD","TOT","MLN_USD","A","1999",6804.91282420308,
"BEL","GDEXPRD","TOT","MLN_USD","A","2000",7170.3569394797,
"BEL","GDEXPRD","TOT","MLN_USD","A","2001",7602.02935813935,
"BEL","GDEXPRD","TOT","MLN_USD","A","2002",7236.20131321585,
"BEL","GDEXPRD","TOT","MLN_USD","A","2003",7065.09663599943,
"BEL","GDEXPRD","TOT","MLN_USD","A","2004",7230.5377818111,
"BEL","GDEXPRD","TOT","MLN_USD","A","2005",7273.14834543496,
"BEL","GDEXPRD","TOT","MLN_USD","A","2006",7588.57663304441,
"BEL","GDEXPRD","TOT","MLN_USD","A","2007",7975.53023355358,
"BEL","GDEXPRD","TOT","MLN_USD","A","2008",8383.7445064684,
"BEL","GDEXPRD","TOT","MLN_USD","A","2009",8452.89885573431,
"BEL","GDEXPRD","TOT","MLN_USD","A","2010",8966.80082681293,
"BEL","GDEXPRD","TOT","MLN_USD","A","2011",9593.15946014751,
