"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PATENT","TOT","NBR","A","1985",153.3452,
"AUS","PATENT","TOT","NBR","A","1986",179.5213,
"AUS","PATENT","TOT","NBR","A","1987",187.8355,
"AUS","PATENT","TOT","NBR","A","1988",135.0797,
"AUS","PATENT","TOT","NBR","A","1989",145.6167,
"AUS","PATENT","TOT","NBR","A","1990",185.8875,
"AUS","PATENT","TOT","NBR","A","1991",188.7245,
"AUS","PATENT","TOT","NBR","A","1992",194.5009,
"AUS","PATENT","TOT","NBR","A","1993",205.8244,
"AUS","PATENT","TOT","NBR","A","1994",243.4016,
"AUS","PATENT","TOT","NBR","A","1995",238.572,
"AUS","PATENT","TOT","NBR","A","1996",246.0313,
"AUS","PATENT","TOT","NBR","A","1997",300.8672,
"AUS","PATENT","TOT","NBR","A","1998",322.6949,
"AUS","PATENT","TOT","NBR","A","1999",335.4745,
"AUS","PATENT","TOT","NBR","A","2000",516.4744,
"AUS","PATENT","TOT","NBR","A","2001",465.0489,
"AUS","PATENT","TOT","NBR","A","2002",491.3955,
"AUS","PATENT","TOT","NBR","A","2003",495.7777,
"AUS","PATENT","TOT","NBR","A","2004",521.5104,
"AUS","PATENT","TOT","NBR","A","2005",479.4544,
"AUS","PATENT","TOT","NBR","A","2006",362.7015,
"AUS","PATENT","TOT","NBR","A","2007",346.6251,
"AUS","PATENT","TOT","NBR","A","2008",316.605,
"AUS","PATENT","TOT","NBR","A","2009",348.3667,
"AUS","PATENT","TOT","NBR","A","2010",306.9248,
"AUS","PATENT","TOT","NBR","A","2011",319.1183,
"AUS","PATENT","TOT","NBR","A","2012",332.0788,
"AUS","PATENT","TOT","NBR","A","2013",330.4669,
"AUS","PATENT","TOT","NBR","A","2014",332.4259,
"AUT","PATENT","TOT","NBR","A","1985",162.0226,
"AUT","PATENT","TOT","NBR","A","1986",157.9,
"AUT","PATENT","TOT","NBR","A","1987",181.9342,
"AUT","PATENT","TOT","NBR","A","1988",213.7556,
"AUT","PATENT","TOT","NBR","A","1989",200.2913,
"AUT","PATENT","TOT","NBR","A","1990",175.0834,
"AUT","PATENT","TOT","NBR","A","1991",189.6622,
"AUT","PATENT","TOT","NBR","A","1992",148.1911,
"AUT","PATENT","TOT","NBR","A","1993",180.4643,
"AUT","PATENT","TOT","NBR","A","1994",213.0989,
"AUT","PATENT","TOT","NBR","A","1995",226.3082,
"AUT","PATENT","TOT","NBR","A","1996",215.7495,
"AUT","PATENT","TOT","NBR","A","1997",263.0844,
"AUT","PATENT","TOT","NBR","A","1998",276.2102,
"AUT","PATENT","TOT","NBR","A","1999",279.1973,
"AUT","PATENT","TOT","NBR","A","2000",346.5143,
"AUT","PATENT","TOT","NBR","A","2001",339.2433,
"AUT","PATENT","TOT","NBR","A","2002",348.3515,
"AUT","PATENT","TOT","NBR","A","2003",347.5437,
"AUT","PATENT","TOT","NBR","A","2004",352.397,
"AUT","PATENT","TOT","NBR","A","2005",408.8634,
"AUT","PATENT","TOT","NBR","A","2006",354.8874,
"AUT","PATENT","TOT","NBR","A","2007",376.424,
"AUT","PATENT","TOT","NBR","A","2008",341.9385,
"AUT","PATENT","TOT","NBR","A","2009",368.6357,
"AUT","PATENT","TOT","NBR","A","2010",388.3561,
"AUT","PATENT","TOT","NBR","A","2011",362.8902,
"AUT","PATENT","TOT","NBR","A","2012",371.7874,
"AUT","PATENT","TOT","NBR","A","2013",404.3611,
"AUT","PATENT","TOT","NBR","A","2014",430.1203,
"BEL","PATENT","TOT","NBR","A","1985",165.2021,
"BEL","PATENT","TOT","NBR","A","1986",175.018,
"BEL","PATENT","TOT","NBR","A","1987",188.9786,
"BEL","PATENT","TOT","NBR","A","1988",194.6786,
"BEL","PATENT","TOT","NBR","A","1989",247.9681,
"BEL","PATENT","TOT","NBR","A","1990",221.7952,
"BEL","PATENT","TOT","NBR","A","1991",255.5585,
"BEL","PATENT","TOT","NBR","A","1992",296.7621,
"BEL","PATENT","TOT","NBR","A","1993",351.4256,
"BEL","PATENT","TOT","NBR","A","1994",357.5952,
"BEL","PATENT","TOT","NBR","A","1995",376.9624,
"BEL","PATENT","TOT","NBR","A","1996",365.8396,
"BEL","PATENT","TOT","NBR","A","1997",445.7175,
"BEL","PATENT","TOT","NBR","A","1998",414.9288,
"BEL","PATENT","TOT","NBR","A","1999",405.5783,
"BEL","PATENT","TOT","NBR","A","2000",455.004,
"BEL","PATENT","TOT","NBR","A","2001",439.7281,
"BEL","PATENT","TOT","NBR","A","2002",473.2659,
"BEL","PATENT","TOT","NBR","A","2003",463.9241,
"BEL","PATENT","TOT","NBR","A","2004",566.8331,
"BEL","PATENT","TOT","NBR","A","2005",542.9399,
"BEL","PATENT","TOT","NBR","A","2006",477.0633,
"BEL","PATENT","TOT","NBR","A","2007",430.6237,
"BEL","PATENT","TOT","NBR","A","2008",458.3944,
"BEL","PATENT","TOT","NBR","A","2009",479.0025,
"BEL","PATENT","TOT","NBR","A","2010",461.3871,
"BEL","PATENT","TOT","NBR","A","2011",460.0019,
"BEL","PATENT","TOT","NBR","A","2012",425.7367,
"BEL","PATENT","TOT","NBR","A","2013",437.7404,
"BEL","PATENT","TOT","NBR","A","2014",442.453,
"CAN","PATENT","TOT","NBR","A","1985",205.7241,
"CAN","PATENT","TOT","NBR","A","1986",221.0536,
"CAN","PATENT","TOT","NBR","A","1987",291.2994,
"CAN","PATENT","TOT","NBR","A","1988",254.0721,
"CAN","PATENT","TOT","NBR","A","1989",320.0611,
"CAN","PATENT","TOT","NBR","A","1990",290.7644,
"CAN","PATENT","TOT","NBR","A","1991",298.7829,
"CAN","PATENT","TOT","NBR","A","1992",287.9632,
"CAN","PATENT","TOT","NBR","A","1993",305.9511,
"CAN","PATENT","TOT","NBR","A","1994",371.9607,
"CAN","PATENT","TOT","NBR","A","1995",390.841,
"CAN","PATENT","TOT","NBR","A","1996",433.5077,
"CAN","PATENT","TOT","NBR","A","1997",547.2409,
"CAN","PATENT","TOT","NBR","A","1998",566.6505,
"CAN","PATENT","TOT","NBR","A","1999",565.9148,
"CAN","PATENT","TOT","NBR","A","2000",613.2701,
"CAN","PATENT","TOT","NBR","A","2001",635.4504,
