"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",39073,
"AUS","AVWAGE","TOT","USD","A","1991",38864,
"AUS","AVWAGE","TOT","USD","A","1992",39626,
"AUS","AVWAGE","TOT","USD","A","1993",40003,
"AUS","AVWAGE","TOT","USD","A","1994",40295,
"AUS","AVWAGE","TOT","USD","A","1995",40115,
"AUS","AVWAGE","TOT","USD","A","1996",41275,
"AUS","AVWAGE","TOT","USD","A","1997",42497,
"AUS","AVWAGE","TOT","USD","A","1998",43147,
"AUS","AVWAGE","TOT","USD","A","1999",44197,
"AUS","AVWAGE","TOT","USD","A","2000",44294,
"AUS","AVWAGE","TOT","USD","A","2001",44742,
"AUS","AVWAGE","TOT","USD","A","2002",45161,
"AUS","AVWAGE","TOT","USD","A","2003",45554,
"AUS","AVWAGE","TOT","USD","A","2004",46856,
"AUS","AVWAGE","TOT","USD","A","2005",47478,
"AUS","AVWAGE","TOT","USD","A","2006",47949,
"AUS","AVWAGE","TOT","USD","A","2007",49169,
"AUS","AVWAGE","TOT","USD","A","2008",49584,
"AUS","AVWAGE","TOT","USD","A","2009",49182,
"AUS","AVWAGE","TOT","USD","A","2010",50675,
"AUS","AVWAGE","TOT","USD","A","2011",52138,
"AUS","AVWAGE","TOT","USD","A","2012",52698,
"AUS","AVWAGE","TOT","USD","A","2013",52460,
"AUS","AVWAGE","TOT","USD","A","2014",52649,
"AUS","AVWAGE","TOT","USD","A","2015",51986,
"AUS","AVWAGE","TOT","USD","A","2016",52063,
"AUT","AVWAGE","TOT","USD","A","1990",39183,
"AUT","AVWAGE","TOT","USD","A","1991",40407,
"AUT","AVWAGE","TOT","USD","A","1992",41221,
"AUT","AVWAGE","TOT","USD","A","1993",41557,
"AUT","AVWAGE","TOT","USD","A","1994",41976,
"AUT","AVWAGE","TOT","USD","A","1995",42314,
"AUT","AVWAGE","TOT","USD","A","1996",42052,
"AUT","AVWAGE","TOT","USD","A","1997",41756,
"AUT","AVWAGE","TOT","USD","A","1998",43022,
"AUT","AVWAGE","TOT","USD","A","1999",43955,
"AUT","AVWAGE","TOT","USD","A","2000",44125,
"AUT","AVWAGE","TOT","USD","A","2001",44083,
"AUT","AVWAGE","TOT","USD","A","2002",44698,
"AUT","AVWAGE","TOT","USD","A","2003",44756,
"AUT","AVWAGE","TOT","USD","A","2004",45596,
"AUT","AVWAGE","TOT","USD","A","2005",45767,
"AUT","AVWAGE","TOT","USD","A","2006",46498,
"AUT","AVWAGE","TOT","USD","A","2007",46714,
"AUT","AVWAGE","TOT","USD","A","2008",47635,
"AUT","AVWAGE","TOT","USD","A","2009",48144,
"AUT","AVWAGE","TOT","USD","A","2010",48003,
"AUT","AVWAGE","TOT","USD","A","2011",47608,
"AUT","AVWAGE","TOT","USD","A","2012",47755,
"AUT","AVWAGE","TOT","USD","A","2013",47872,
"AUT","AVWAGE","TOT","USD","A","2014",48009,
"AUT","AVWAGE","TOT","USD","A","2015",48252,
"AUT","AVWAGE","TOT","USD","A","2016",48295,
"BEL","AVWAGE","TOT","USD","A","1990",40901,
"BEL","AVWAGE","TOT","USD","A","1991",42501,
"BEL","AVWAGE","TOT","USD","A","1992",43722,
"BEL","AVWAGE","TOT","USD","A","1993",44251,
"BEL","AVWAGE","TOT","USD","A","1994",44860,
"BEL","AVWAGE","TOT","USD","A","1995",44521,
"BEL","AVWAGE","TOT","USD","A","1996",45033,
"BEL","AVWAGE","TOT","USD","A","1997",45580,
"BEL","AVWAGE","TOT","USD","A","1998",45613,
"BEL","AVWAGE","TOT","USD","A","1999",47917,
"BEL","AVWAGE","TOT","USD","A","2000",47763,
"BEL","AVWAGE","TOT","USD","A","2001",47979,
"BEL","AVWAGE","TOT","USD","A","2002",48734,
"BEL","AVWAGE","TOT","USD","A","2003",48955,
"BEL","AVWAGE","TOT","USD","A","2004",48682,
"BEL","AVWAGE","TOT","USD","A","2005",48431,
"BEL","AVWAGE","TOT","USD","A","2006",48499,
"BEL","AVWAGE","TOT","USD","A","2007",48414,
"BEL","AVWAGE","TOT","USD","A","2008",48562,
"BEL","AVWAGE","TOT","USD","A","2009",48974,
"BEL","AVWAGE","TOT","USD","A","2010",48699,
"BEL","AVWAGE","TOT","USD","A","2011",49104,
"BEL","AVWAGE","TOT","USD","A","2012",49395,
"BEL","AVWAGE","TOT","USD","A","2013",50014,
"BEL","AVWAGE","TOT","USD","A","2014",50020,
"BEL","AVWAGE","TOT","USD","A","2015",50098,
"BEL","AVWAGE","TOT","USD","A","2016",49587,
"CAN","AVWAGE","TOT","USD","A","1990",34760,
"CAN","AVWAGE","TOT","USD","A","1991",34487,
"CAN","AVWAGE","TOT","USD","A","1992",34979,
"CAN","AVWAGE","TOT","USD","A","1993",34927,
"CAN","AVWAGE","TOT","USD","A","1994",34776,
"CAN","AVWAGE","TOT","USD","A","1995",34931,
"CAN","AVWAGE","TOT","USD","A","1996",35300,
"CAN","AVWAGE","TOT","USD","A","1997",36620,
"CAN","AVWAGE","TOT","USD","A","1998",37346,
"CAN","AVWAGE","TOT","USD","A","1999",37869,
"CAN","AVWAGE","TOT","USD","A","2000",38941,
"CAN","AVWAGE","TOT","USD","A","2001",38671,
"CAN","AVWAGE","TOT","USD","A","2002",38340,
"CAN","AVWAGE","TOT","USD","A","2003",38311,
"CAN","AVWAGE","TOT","USD","A","2004",39424,
"CAN","AVWAGE","TOT","USD","A","2005",41105,
"CAN","AVWAGE","TOT","USD","A","2006",42385,
