"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGELEVEL","LPAY","PC","A","1975",11.2487611,
"AUS","WAGELEVEL","LPAY","PC","A","1976",11.5901026,
"AUS","WAGELEVEL","LPAY","PC","A","1977",11.7015974,
"AUS","WAGELEVEL","LPAY","PC","A","1978",12.7720207,
"AUS","WAGELEVEL","LPAY","PC","A","1979",13.5935866,
"AUS","WAGELEVEL","LPAY","PC","A","1980",13.5403241,
"AUS","WAGELEVEL","LPAY","PC","A","1981",13.9340964,
"AUS","WAGELEVEL","LPAY","PC","A","1982",13.5849057,
"AUS","WAGELEVEL","LPAY","PC","A","1983",14.5803978,
"AUS","WAGELEVEL","LPAY","PC","A","1984",14.4458197,
"AUS","WAGELEVEL","LPAY","PC","A","1985",13.6782798,
"AUS","WAGELEVEL","LPAY","PC","A","1986",13.8319699,
"AUS","WAGELEVEL","LPAY","PC","A","1987",14.2564015,
"AUS","WAGELEVEL","LPAY","PC","A","1988",14.5824755,
"AUS","WAGELEVEL","LPAY","PC","A","1989",14.3621924,
"AUS","WAGELEVEL","LPAY","PC","A","1990",14.6073937,
"AUS","WAGELEVEL","LPAY","PC","A","1991",13.9145813,
"AUS","WAGELEVEL","LPAY","PC","A","1992",13.8419916,
"AUS","WAGELEVEL","LPAY","PC","A","1993",13.2275574,
"AUS","WAGELEVEL","LPAY","PC","A","1994",13.4991484,
"AUS","WAGELEVEL","LPAY","PC","A","1995",13.8337676,
"AUS","WAGELEVEL","LPAY","PC","A","1997",12.4053471,
"AUS","WAGELEVEL","LPAY","PC","A","1998",12.2776853,
"AUS","WAGELEVEL","LPAY","PC","A","1999",14.3071548,
"AUS","WAGELEVEL","LPAY","PC","A","2000",14.5510504,
"AUS","WAGELEVEL","LPAY","PC","A","2001",13.9406036,
"AUS","WAGELEVEL","LPAY","PC","A","2002",13.7700937,
"AUS","WAGELEVEL","LPAY","PC","A","2003",13.4414227,
"AUS","WAGELEVEL","LPAY","PC","A","2004",14.4858401,
"AUS","WAGELEVEL","LPAY","PC","A","2005",15.8556526,
"AUS","WAGELEVEL","LPAY","PC","A","2006",15.232578,
"AUS","WAGELEVEL","LPAY","PC","A","2007",16.0004482,
"AUS","WAGELEVEL","LPAY","PC","A","2008",17.5032036,
"AUS","WAGELEVEL","LPAY","PC","A","2009",14.4394253,
"AUS","WAGELEVEL","LPAY","PC","A","2010",16.0958665,
"AUS","WAGELEVEL","LPAY","PC","A","2011",16.9100467,
"AUS","WAGELEVEL","LPAY","PC","A","2012",18.9435053,
"AUS","WAGELEVEL","LPAY","PC","A","2013",15.8294736,
"AUS","WAGELEVEL","LPAY","PC","A","2014",16.5545106,
"AUS","WAGELEVEL","LPAY","PC","A","2015",15.4803421,
"AUS","WAGELEVEL","LPAY","PC","A","2016",15.7221233,
"AUT","WAGELEVEL","LPAY","PC","A","2004",15.1530881,
"AUT","WAGELEVEL","LPAY","PC","A","2005",15.2759616,
"AUT","WAGELEVEL","LPAY","PC","A","2006",15.7899151,
"AUT","WAGELEVEL","LPAY","PC","A","2007",16.1934825,
"AUT","WAGELEVEL","LPAY","PC","A","2008",15.8655558,
"AUT","WAGELEVEL","LPAY","PC","A","2009",16.0218085,
"AUT","WAGELEVEL","LPAY","PC","A","2010",16.4701128,
"AUT","WAGELEVEL","LPAY","PC","A","2011",16.0763006,
"AUT","WAGELEVEL","LPAY","PC","A","2012",16.0727267,
"AUT","WAGELEVEL","LPAY","PC","A","2013",15.8536381,
"AUT","WAGELEVEL","LPAY","PC","A","2014",15.8869887,
"AUT","WAGELEVEL","LPAY","PC","A","2015",15.8611062,
"AUT","WAGELEVEL","HPAY","PC","A","2004",19.6780539,
"AUT","WAGELEVEL","HPAY","PC","A","2005",20.0000201,
"AUT","WAGELEVEL","HPAY","PC","A","2006",20.2032312,
"AUT","WAGELEVEL","HPAY","PC","A","2007",20.3799333,
"AUT","WAGELEVEL","HPAY","PC","A","2008",20.4558207,
"AUT","WAGELEVEL","HPAY","PC","A","2009",20.7936255,
"AUT","WAGELEVEL","HPAY","PC","A","2010",20.7341335,
"AUT","WAGELEVEL","HPAY","PC","A","2011",20.7264483,
"AUT","WAGELEVEL","HPAY","PC","A","2012",20.8531018,
"AUT","WAGELEVEL","HPAY","PC","A","2013",20.7018643,
"AUT","WAGELEVEL","HPAY","PC","A","2014",20.7778649,
"AUT","WAGELEVEL","HPAY","PC","A","2015",20.9069174,
"BEL","WAGELEVEL","LPAY","PC","A","2004",6.2987403,
"BEL","WAGELEVEL","LPAY","PC","A","2005",6.6993301,
"BEL","WAGELEVEL","LPAY","PC","A","2006",6.2993701,
"BEL","WAGELEVEL","LPAY","PC","A","2007",5.6005601,
"BEL","WAGELEVEL","LPAY","PC","A","2008",3.99988,
"BEL","WAGELEVEL","LPAY","PC","A","2009",3.7,
"BEL","WAGELEVEL","LPAY","PC","A","2010",4.3,
"BEL","WAGELEVEL","LPAY","PC","A","2011",5.4,
"BEL","WAGELEVEL","LPAY","PC","A","2012",6,
"BEL","WAGELEVEL","LPAY","PC","A","2013",4.600132,
"BEL","WAGELEVEL","LPAY","PC","A","2014",3.4,
"BEL","WAGELEVEL","HPAY","PC","A","1999",10.6,
"BEL","WAGELEVEL","HPAY","PC","A","2000",11.6011601,
"BEL","WAGELEVEL","HPAY","PC","A","2001",11.0011001,
"BEL","WAGELEVEL","HPAY","PC","A","2002",10.6989301,
"BEL","WAGELEVEL","HPAY","PC","A","2003",12.4,
"BEL","WAGELEVEL","HPAY","PC","A","2004",12.6974605,
"BEL","WAGELEVEL","HPAY","PC","A","2005",13.3986601,
"BEL","WAGELEVEL","HPAY","PC","A","2006",12.7987201,
"BEL","WAGELEVEL","HPAY","PC","A","2007",11.4011401,
"BEL","WAGELEVEL","HPAY","PC","A","2008",11.199664,
"BEL","WAGELEVEL","HPAY","PC","A","2009",11.7,
"BEL","WAGELEVEL","HPAY","PC","A","2010",13.1,
"BEL","WAGELEVEL","HPAY","PC","A","2011",13.8,
"BEL","WAGELEVEL","HPAY","PC","A","2012",13.4,
"BEL","WAGELEVEL","HPAY","PC","A","2013",13.8,
"BEL","WAGELEVEL","HPAY","PC","A","2014",12.9,
"CAN","WAGELEVEL","LPAY","PC","A","1997",21.8544619,
"CAN","WAGELEVEL","LPAY","PC","A","1998",21.1407107,
"CAN","WAGELEVEL","LPAY","PC","A","1999",23.0483914,
"CAN","WAGELEVEL","LPAY","PC","A","2000",23.2400996,
"CAN","WAGELEVEL","LPAY","PC","A","2001",22.0180488,
"CAN","WAGELEVEL","LPAY","PC","A","2002",22.3783274,
"CAN","WAGELEVEL","LPAY","PC","A","2003",22.0024047,
"CAN","WAGELEVEL","LPAY","PC","A","2004",22.3965944,
"CAN","WAGELEVEL","LPAY","PC","A","2005",21.3366159,
"CAN","WAGELEVEL","LPAY","PC","A","2006",22.5001312,
"CAN","WAGELEVEL","LPAY","PC","A","2007",22.0091662,
"CAN","WAGELEVEL","LPAY","PC","A","2008",22.1221646,
"CAN","WAGELEVEL","LPAY","PC","A","2009",20.629193,
"CAN","WAGELEVEL","LPAY","PC","A","2010",21.2032503,
"CAN","WAGELEVEL","LPAY","PC","A","2011",21.5924723,
"CAN","WAGELEVEL","LPAY","PC","A","2012",21.8443384,
"CAN","WAGELEVEL","LPAY","PC","A","2013",20.9573187,
"CAN","WAGELEVEL","LPAY","PC","A","2014",22.4539578,
"CAN","WAGELEVEL","LPAY","PC","A","2015",22.1778278,
"CAN","WAGELEVEL","HPAY","PC","A","1997",13.4713964,
"CAN","WAGELEVEL","HPAY","PC","A","1998",14.2630811,
"CAN","WAGELEVEL","HPAY","PC","A","1999",13.8385871,
"CAN","WAGELEVEL","HPAY","PC","A","2000",13.6045348,
"CAN","WAGELEVEL","HPAY","PC","A","2001",13.8172627,
"CAN","WAGELEVEL","HPAY","PC","A","2002",10.6572438,
"CAN","WAGELEVEL","HPAY","PC","A","2003",10.9147244,
"CAN","WAGELEVEL","HPAY","PC","A","2004",10.8111788,
"CAN","WAGELEVEL","HPAY","PC","A","2005",10.8576544,
"CAN","WAGELEVEL","HPAY","PC","A","2006",11.0177943,
"CAN","WAGELEVEL","HPAY","PC","A","2007",10.9564305,
"CAN","WAGELEVEL","HPAY","PC","A","2008",9.9031518,
"CAN","WAGELEVEL","HPAY","PC","A","2009",10.9250469,
"CAN","WAGELEVEL","HPAY","PC","A","2010",10.4064662,
"CAN","WAGELEVEL","HPAY","PC","A","2011",10.5168994,
"CAN","WAGELEVEL","HPAY","PC","A","2012",9.9749735,
"CAN","WAGELEVEL","HPAY","PC","A","2013",10.6731864,
"CAN","WAGELEVEL","HPAY","PC","A","2014",9.8451031,
"CAN","WAGELEVEL","HPAY","PC","A","2015",9.6607444,
"CZE","WAGELEVEL","LPAY","PC","A","1996",16.954211,
"CZE","WAGELEVEL","LPAY","PC","A","1997",17.1497902,
"CZE","WAGELEVEL","LPAY","PC","A","1999",17.6252439,
"CZE","WAGELEVEL","LPAY","PC","A","2001",17.4444417,
"CZE","WAGELEVEL","LPAY","PC","A","2002",18.3923205,
"CZE","WAGELEVEL","LPAY","PC","A","2003",19.0362273,
"CZE","WAGELEVEL","LPAY","PC","A","2004",19.6798783,
"CZE","WAGELEVEL","LPAY","PC","A","2005",20.0310956,
"CZE","WAGELEVEL","LPAY","PC","A","2006",19.7384173,
"CZE","WAGELEVEL","LPAY","PC","A","2007",19.6564656,
"CZE","WAGELEVEL","LPAY","PC","A","2008",19.7032947,
"CZE","WAGELEVEL","LPAY","PC","A","2009",20.0428057,
"CZE","WAGELEVEL","LPAY","PC","A","2010",20.1832924,
"CZE","WAGELEVEL","LPAY","PC","A","2011",20.1530632,
"CZE","WAGELEVEL","LPAY","PC","A","2012",19.7500016,
"CZE","WAGELEVEL","LPAY","PC","A","2013",19.9500022,
"CZE","WAGELEVEL","LPAY","PC","A","2014",20.260002,
"CZE","WAGELEVEL","LPAY","PC","A","2015",20.6500023,
"CZE","WAGELEVEL","LPAY","PC","A","2016",20.2900026,
"DNK","WAGELEVEL","LPAY","PC","A","2002",7.3612285,
"DNK","WAGELEVEL","LPAY","PC","A","2003",7.4618161,
"DNK","WAGELEVEL","LPAY","PC","A","2004",6.6795769,
"DNK","WAGELEVEL","LPAY","PC","A","2005",6.4025518,
"DNK","WAGELEVEL","LPAY","PC","A","2006",7.5726129,
"DNK","WAGELEVEL","LPAY","PC","A","2007",7.8392766,
"DNK","WAGELEVEL","LPAY","PC","A","2008",7.8882457,
"DNK","WAGELEVEL","LPAY","PC","A","2009",7.2773245,
"DNK","WAGELEVEL","LPAY","PC","A","2010",7.5777897,
"DNK","WAGELEVEL","LPAY","PC","A","2011",7.491378,
"DNK","WAGELEVEL","LPAY","PC","A","2012",7.5725152,
"DNK","WAGELEVEL","LPAY","PC","A","2013",7.8862596,
"DNK","WAGELEVEL","LPAY","PC","A","2014",8.4193354,
"DNK","WAGELEVEL","LPAY","PC","A","2015",8.2366634,
"FIN","WAGELEVEL","LPAY","PC","A","2001",4.6041392,
"FIN","WAGELEVEL","LPAY","PC","A","2002",7.2861437,
