"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1981",80.66899109,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1990",78.05958557,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1991",80.10869598,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1992",81.20010376,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1994",82.67716217,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1995",81.50580597,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1997",82.37039948,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",81.46238708,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",81.89687347,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",82.21257782,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",83.60714722,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",83.00434875,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",82.73706818,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",83.39550018,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",84.09736633,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",84.49974823,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",83.71575928,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",84.52480316,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",83.9797821,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",83.76451874,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",84.36325073,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",83.91886139,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",85.75977325,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",87.22930145,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",87.45874786,
"GBR","EMPEDU","TRY","PC_25_64","A","1997",79.21855927,
"GBR","EMPEDU","TRY","PC_25_64","A","1998",80.1312561,
"GBR","EMPEDU","TRY","PC_25_64","A","1999",80.50744629,
"GBR","EMPEDU","TRY","PC_25_64","A","2000",81.10163116,
"GBR","EMPEDU","TRY","PC_25_64","A","2001",80.9695282,
"GBR","EMPEDU","TRY","PC_25_64","A","2002",81.04616547,
"GBR","EMPEDU","TRY","PC_25_64","A","2003",81.48316956,
"GBR","EMPEDU","TRY","PC_25_64","A","2004",81.27281952,
"GBR","EMPEDU","TRY","PC_25_64","A","2005",81.54133606,
"GBR","EMPEDU","TRY","PC_25_64","A","2006",81.55537415,
"GBR","EMPEDU","TRY","PC_25_64","A","2007",82.31155396,
"GBR","EMPEDU","TRY","PC_25_64","A","2008",80.07514191,
"GBR","EMPEDU","TRY","PC_25_64","A","2009",78.27804565,
"GBR","EMPEDU","TRY","PC_25_64","A","2010",78.14993286,
"GBR","EMPEDU","TRY","PC_25_64","A","2011",78.20043945,
"GBR","EMPEDU","TRY","PC_25_64","A","2012",78.78822327,
"GBR","EMPEDU","TRY","PC_25_64","A","2013",78.74162292,
"GBR","EMPEDU","TRY","PC_25_64","A","2014",79.97750092,
"GBR","EMPEDU","TRY","PC_25_64","A","2015",80.70362854,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","1991",71.32328796,
