"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1979",1834,
"AUS","HRWKD","TOT","HR_WKD","A","1980",1836,
"AUS","HRWKD","TOT","HR_WKD","A","1981",1820,
"AUS","HRWKD","TOT","HR_WKD","A","1982",1802,
"AUS","HRWKD","TOT","HR_WKD","A","1983",1791,
"AUS","HRWKD","TOT","HR_WKD","A","1984",1802,
"AUS","HRWKD","TOT","HR_WKD","A","1985",1792,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1799,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1797,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1803,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1805,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1780,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1775,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1774,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1787,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1798,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1794,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1783,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1784,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1768,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1779,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1779,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1737,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1732,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1736,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1734,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1729,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1721,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1712,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1717,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1690,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1692,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1698,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1689,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1685,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1681,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1682,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1669,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1783,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1816,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1825,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1803,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1807,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1807,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1795,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1792,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1784,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1787,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1764,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1746,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1736,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1729,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1673,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1669,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1676,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1653,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1638,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1628,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1608,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1601,
"BEL","HRWKD","TOT","HR_WKD","A","1970",1883,
"BEL","HRWKD","TOT","HR_WKD","A","1971",1873,
"BEL","HRWKD","TOT","HR_WKD","A","1972",1847,
"BEL","HRWKD","TOT","HR_WKD","A","1973",1820,
"BEL","HRWKD","TOT","HR_WKD","A","1974",1792,
"BEL","HRWKD","TOT","HR_WKD","A","1975",1783,
"BEL","HRWKD","TOT","HR_WKD","A","1976",1785,
"BEL","HRWKD","TOT","HR_WKD","A","1977",1760,
"BEL","HRWKD","TOT","HR_WKD","A","1978",1743,
"BEL","HRWKD","TOT","HR_WKD","A","1979",1727,
"BEL","HRWKD","TOT","HR_WKD","A","1980",1707,
"BEL","HRWKD","TOT","HR_WKD","A","1981",1683,
"BEL","HRWKD","TOT","HR_WKD","A","1982",1669,
"BEL","HRWKD","TOT","HR_WKD","A","1983",1675,
"BEL","HRWKD","TOT","HR_WKD","A","1984",1699,
"BEL","HRWKD","TOT","HR_WKD","A","1985",1705,
"BEL","HRWKD","TOT","HR_WKD","A","1986",1685,
"BEL","HRWKD","TOT","HR_WKD","A","1987",1670,
"BEL","HRWKD","TOT","HR_WKD","A","1988",1658,
"BEL","HRWKD","TOT","HR_WKD","A","1989",1649,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1663,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1626,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1603,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1559,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1559,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1585,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1559,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1572,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1583,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1595,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1583,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1573,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1565,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1572,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1570,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1548,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1546,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1558,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1556,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1551,
"CAN","HRWKD","TOT","HR_WKD","A","1961",2059,
"CAN","HRWKD","TOT","HR_WKD","A","1962",2058,
"CAN","HRWKD","TOT","HR_WKD","A","1963",2041,
"CAN","HRWKD","TOT","HR_WKD","A","1964",2033,
"CAN","HRWKD","TOT","HR_WKD","A","1965",2016,
"CAN","HRWKD","TOT","HR_WKD","A","1966",2001,
"CAN","HRWKD","TOT","HR_WKD","A","1967",1993,
"CAN","HRWKD","TOT","HR_WKD","A","1968",1958,
"CAN","HRWKD","TOT","HR_WKD","A","1969",1943,
"CAN","HRWKD","TOT","HR_WKD","A","1970",1925,
"CAN","HRWKD","TOT","HR_WKD","A","1971",1912,
"CAN","HRWKD","TOT","HR_WKD","A","1972",1904,
"CAN","HRWKD","TOT","HR_WKD","A","1973",1898,
"CAN","HRWKD","TOT","HR_WKD","A","1974",1891,
"CAN","HRWKD","TOT","HR_WKD","A","1975",1872,
"CAN","HRWKD","TOT","HR_WKD","A","1976",1862,
"CAN","HRWKD","TOT","HR_WKD","A","1977",1834,
"CAN","HRWKD","TOT","HR_WKD","A","1978",1836,
"CAN","HRWKD","TOT","HR_WKD","A","1979",1841,
"CAN","HRWKD","TOT","HR_WKD","A","1980",1827,
"CAN","HRWKD","TOT","HR_WKD","A","1981",1812,
"CAN","HRWKD","TOT","HR_WKD","A","1982",1789,
"CAN","HRWKD","TOT","HR_WKD","A","1983",1779,
"CAN","HRWKD","TOT","HR_WKD","A","1984",1789,
"CAN","HRWKD","TOT","HR_WKD","A","1985",1795,
"CAN","HRWKD","TOT","HR_WKD","A","1986",1797,
"CAN","HRWKD","TOT","HR_WKD","A","1987",1807,
"CAN","HRWKD","TOT","HR_WKD","A","1988",1808,
"CAN","HRWKD","TOT","HR_WKD","A","1989",1802,
"CAN","HRWKD","TOT","HR_WKD","A","1990",1797,
"CAN","HRWKD","TOT","HR_WKD","A","1991",1775,
"CAN","HRWKD","TOT","HR_WKD","A","1992",1772,
"CAN","HRWKD","TOT","HR_WKD","A","1993",1769,
"CAN","HRWKD","TOT","HR_WKD","A","1994",1778,
"CAN","HRWKD","TOT","HR_WKD","A","1995",1775,
"CAN","HRWKD","TOT","HR_WKD","A","1996",1790,
"CAN","HRWKD","TOT","HR_WKD","A","1997",1785,
"CAN","HRWKD","TOT","HR_WKD","A","1998",1782,
"CAN","HRWKD","TOT","HR_WKD","A","1999",1782,
"CAN","HRWKD","TOT","HR_WKD","A","2000",1779,
"CAN","HRWKD","TOT","HR_WKD","A","2001",1771,
"CAN","HRWKD","TOT","HR_WKD","A","2002",1754,
"CAN","HRWKD","TOT","HR_WKD","A","2003",1746,
"CAN","HRWKD","TOT","HR_WKD","A","2004",1759,
"CAN","HRWKD","TOT","HR_WKD","A","2005",1747,
"CAN","HRWKD","TOT","HR_WKD","A","2006",1745,
"CAN","HRWKD","TOT","HR_WKD","A","2007",1741,
"CAN","HRWKD","TOT","HR_WKD","A","2008",1735,
"CAN","HRWKD","TOT","HR_WKD","A","2009",1701,
"CAN","HRWKD","TOT","HR_WKD","A","2010",1703,
"CAN","HRWKD","TOT","HR_WKD","A","2011",1700,
"CAN","HRWKD","TOT","HR_WKD","A","2012",1713,
"CAN","HRWKD","TOT","HR_WKD","A","2013",1707,
"CAN","HRWKD","TOT","HR_WKD","A","2014",1704,
"CAN","HRWKD","TOT","HR_WKD","A","2015",1707,
"CAN","HRWKD","TOT","HR_WKD","A","2016",1703,
"CZE","HRWKD","TOT","HR_WKD","A","1993",1857,
"CZE","HRWKD","TOT","HR_WKD","A","1994",1839,
"CZE","HRWKD","TOT","HR_WKD","A","1995",1858,
"CZE","HRWKD","TOT","HR_WKD","A","1996",1852,
"CZE","HRWKD","TOT","HR_WKD","A","1997",1858,
"CZE","HRWKD","TOT","HR_WKD","A","1998",1877,
"CZE","HRWKD","TOT","HR_WKD","A","1999",1893,
"CZE","HRWKD","TOT","HR_WKD","A","2000",1896,
"CZE","HRWKD","TOT","HR_WKD","A","2001",1818,
"CZE","HRWKD","TOT","HR_WKD","A","2002",1816,
"CZE","HRWKD","TOT","HR_WKD","A","2003",1806,
"CZE","HRWKD","TOT","HR_WKD","A","2004",1817,
"CZE","HRWKD","TOT","HR_WKD","A","2005",1817,
"CZE","HRWKD","TOT","HR_WKD","A","2006",1799,
"CZE","HRWKD","TOT","HR_WKD","A","2007",1784,
"CZE","HRWKD","TOT","HR_WKD","A","2008",1790,
"CZE","HRWKD","TOT","HR_WKD","A","2009",1779,
"CZE","HRWKD","TOT","HR_WKD","A","2010",1800,
"CZE","HRWKD","TOT","HR_WKD","A","2011",1806,
"CZE","HRWKD","TOT","HR_WKD","A","2012",1776,
"CZE","HRWKD","TOT","HR_WKD","A","2013",1763,
"CZE","HRWKD","TOT","HR_WKD","A","2014",1777,
"CZE","HRWKD","TOT","HR_WKD","A","2015",1756,
"CZE","HRWKD","TOT","HR_WKD","A","2016",1770,
"DNK","HRWKD","TOT","HR_WKD","A","1970",1845,
"DNK","HRWKD","TOT","HR_WKD","A","1971",1810,
"DNK","HRWKD","TOT","HR_WKD","A","1972",1752,
"DNK","HRWKD","TOT","HR_WKD","A","1973",1710,
"DNK","HRWKD","TOT","HR_WKD","A","1974",1691,
"DNK","HRWKD","TOT","HR_WKD","A","1975",1617,
"DNK","HRWKD","TOT","HR_WKD","A","1976",1624,
"DNK","HRWKD","TOT","HR_WKD","A","1977",1599,
"DNK","HRWKD","TOT","HR_WKD","A","1978",1575,
"DNK","HRWKD","TOT","HR_WKD","A","1979",1564,
"DNK","HRWKD","TOT","HR_WKD","A","1980",1578,
"DNK","HRWKD","TOT","HR_WKD","A","1981",1546,
"DNK","HRWKD","TOT","HR_WKD","A","1982",1553,
"DNK","HRWKD","TOT","HR_WKD","A","1983",1546,
"DNK","HRWKD","TOT","HR_WKD","A","1984",1541,
"DNK","HRWKD","TOT","HR_WKD","A","1985",1528,
"DNK","HRWKD","TOT","HR_WKD","A","1986",1531,
"DNK","HRWKD","TOT","HR_WKD","A","1987",1493,
"DNK","HRWKD","TOT","HR_WKD","A","1988",1471,
"DNK","HRWKD","TOT","HR_WKD","A","1989",1455,
"DNK","HRWKD","TOT","HR_WKD","A","1990",1441,
"DNK","HRWKD","TOT","HR_WKD","A","1991",1437,
"DNK","HRWKD","TOT","HR_WKD","A","1992",1453,
"DNK","HRWKD","TOT","HR_WKD","A","1993",1449,
"DNK","HRWKD","TOT","HR_WKD","A","1994",1407,
"DNK","HRWKD","TOT","HR_WKD","A","1995",1419,
"DNK","HRWKD","TOT","HR_WKD","A","1996",1412,
"DNK","HRWKD","TOT","HR_WKD","A","1997",1428,
"DNK","HRWKD","TOT","HR_WKD","A","1998",1441,
"DNK","HRWKD","TOT","HR_WKD","A","1999",1456,
"DNK","HRWKD","TOT","HR_WKD","A","2000",1466,
"DNK","HRWKD","TOT","HR_WKD","A","2001",1469,
"DNK","HRWKD","TOT","HR_WKD","A","2002",1463,
"DNK","HRWKD","TOT","HR_WKD","A","2003",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2004",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2005",1451,
"DNK","HRWKD","TOT","HR_WKD","A","2006",1456,
"DNK","HRWKD","TOT","HR_WKD","A","2007",1433,
"DNK","HRWKD","TOT","HR_WKD","A","2008",1430,
"DNK","HRWKD","TOT","HR_WKD","A","2009",1417,
"DNK","HRWKD","TOT","HR_WKD","A","2010",1422,
"DNK","HRWKD","TOT","HR_WKD","A","2011",1437,
"DNK","HRWKD","TOT","HR_WKD","A","2012",1423,
"DNK","HRWKD","TOT","HR_WKD","A","2013",1426,
"DNK","HRWKD","TOT","HR_WKD","A","2014",1414,
"DNK","HRWKD","TOT","HR_WKD","A","2015",1412,
"DNK","HRWKD","TOT","HR_WKD","A","2016",1410,
"FIN","HRWKD","TOT","HR_WKD","A","1960",2061,
"FIN","HRWKD","TOT","HR_WKD","A","1961",2060,
"FIN","HRWKD","TOT","HR_WKD","A","1962",2053,
"FIN","HRWKD","TOT","HR_WKD","A","1963",2049,
"FIN","HRWKD","TOT","HR_WKD","A","1964",2075,
"FIN","HRWKD","TOT","HR_WKD","A","1965",2075,
"FIN","HRWKD","TOT","HR_WKD","A","1966",2050,
"FIN","HRWKD","TOT","HR_WKD","A","1967",2033,
